Genome	SRR22878282.fastq Relative Abundance (%)
unmapped	80.50969
SRR22878281.fastq_bin_1030637	0
SRR22878281.fastq_bin_1047037	0.0071881306
SRR22878281.fastq_bin_1048668	0
SRR22878281.fastq_bin_1065179	0
SRR22878281.fastq_bin_1069559	0
SRR22878281.fastq_bin_1070024	0
SRR22878281.fastq_bin_1078928	0.011419089
SRR22878281.fastq_bin_1177133	0
SRR22878281.fastq_bin_1190068	0
SRR22878281.fastq_bin_1223417	0.0039719567
SRR22878281.fastq_bin_1272423	0.04096406
SRR22878281.fastq_bin_1299134	0
SRR22878281.fastq_bin_1315445	0.10919634
SRR22878281.fastq_bin_1318659	0
SRR22878281.fastq_bin_1327645	0.0032778159
SRR22878281.fastq_bin_1330403	0.023064632
SRR22878281.fastq_bin_1348881	0.02770302
SRR22878281.fastq_bin_1355362	0.06466581
SRR22878281.fastq_bin_1360208	0.0071076145
SRR22878281.fastq_bin_1380972	0
SRR22878281.fastq_bin_1406449	0
SRR22878281.fastq_bin_1415033	0.0038537998
SRR22878281.fastq_bin_1437311	0
SRR22878281.fastq_bin_1475309	0
SRR22878281.fastq_bin_1479957	0
SRR22878281.fastq_bin_1483024	0.005981043
SRR22878281.fastq_bin_1505020	0
SRR22878281.fastq_bin_1506086	0.004859282
SRR22878281.fastq_bin_1524409	0.022172699
SRR22878281.fastq_bin_1532639	0.03552761
SRR22878281.fastq_bin_1633526	0.015001782
SRR22878281.fastq_bin_1641228	0
SRR22878281.fastq_bin_1700770	0
SRR22878281.fastq_bin_1734399	0
SRR22878281.fastq_bin_1837401	0.0052259965
SRR22878281.fastq_bin_1874621	0.005829989
SRR22878281.fastq_bin_1875330	0.013354204
SRR22878281.fastq_bin_1885024	0.7129257
SRR22878281.fastq_bin_1944003	0.053631585
SRR22878281.fastq_bin_1964116	0.08227827
SRR22878281.fastq_bin_2009255	0
SRR22878281.fastq_bin_2019818	0.014993209
SRR22878281.fastq_bin_2040905	0.0063560638
SRR22878281.fastq_bin_2069221	0.0031827358
SRR22878281.fastq_bin_2091047	0.024361162
SRR22878281.fastq_bin_2104421	0.016558861
SRR22878281.fastq_bin_2115589	0
SRR22878281.fastq_bin_2131671	0.011517625
