analysis_accession	sample_accession	study_accession	analysis_title	tax_id	scientific_name	generated_ftp	submitted_ftp
ERZ500976	SAMN03398558	PRJEB25958	human skin metagenome 3	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500976/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500976/SRR1950744.fasta.gz
ERZ500985	SAMN03398605	PRJEB25958	human skin metagenome 12	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500985/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500985/SRR1950791.fasta.gz
ERZ500986	SAMN03398584	PRJEB25958	human skin metagenome 13	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500986/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500986/SRR1950770.fasta.gz
ERZ500989	SAMN03398560	PRJEB25958	human skin metagenome 16	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500989/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500989/SRR1950746.fasta.gz
ERZ500993	SAMN03398526	PRJEB25958	human skin metagenome 20	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500993/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500993/SRR1950712.fasta.gz
ERZ500994	SAMN03398533	PRJEB25958	human skin metagenome 21	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500994/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500994/SRR1950719.fasta.gz
ERZ501000	SAMN03398534	PRJEB25958	human skin metagenome 27	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501000/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501000/SRR1950720.fasta.gz
ERZ501002	SAMN03398601	PRJEB25958	human skin metagenome 29	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501002/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501002/SRR1950787.fasta.gz
ERZ501004	SAMN03398580	PRJEB25958	human skin metagenome 31	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501004/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501004/SRR1950766.fasta.gz
ERZ501008	SAMN03398572	PRJEB25958	human skin metagenome 35	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501008/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501008/SRR1950758.fasta.gz
ERZ501011	SAMN03398530	PRJEB25958	human skin metagenome 38	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501011/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501011/SRR1950716.fasta.gz
ERZ501015	SAMN03398568	PRJEB25958	human skin metagenome 42	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501015/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501015/SRR1950754.fasta.gz
ERZ501020	SAMN03398563	PRJEB25958	human skin metagenome 47	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501020/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501020/SRR1950749.fasta.gz
ERZ501031	SAMN03398557	PRJEB25958	human skin metagenome 58	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501031/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501031/SRR1950743.fasta.gz
ERZ501032	SAMN03398544	PRJEB25958	human skin metagenome 59	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501032/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501032/SRR1950730.fasta.gz
ERZ501033	SAMN03398539	PRJEB25958	human skin metagenome 60	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501033/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501033/SRR1950725.fasta.gz
ERZ501035	SAMN03398582	PRJEB25958	human skin metagenome 62	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501035/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501035/SRR1950768.fasta.gz
ERZ501036	SAMN03398543	PRJEB25958	human skin metagenome 63	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501036/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501036/SRR1950729.fasta.gz
ERZ501037	SAMN03398571	PRJEB25958	human skin metagenome 64	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501037/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501037/SRR1950757.fasta.gz
ERZ501039	SAMN03398559	PRJEB25958	human skin metagenome 66	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501039/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501039/SRR1950745.fasta.gz
ERZ501042	SAMN03398587	PRJEB25958	human skin metagenome 69	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501042/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501042/SRR1950773.fasta.gz
ERZ501048	SAMN03398548	PRJEB25958	human skin metagenome 75	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501048/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501048/SRR1950734.fasta.gz
