job_id,cluster_job_id,flow_run_id,task_index,task_name,pipeline,subworkflow,process,accession,cpu_percent,peak_rss,peak_vmem,rchar,wchar,submit,duration,realtime,status,exit_code,hash,task_id,native_id
37712c9a-d1a6-4838-aadc-114ca747a95b,47033717,f4944a4c-cb8a-426a-bbbd-e6f751186e1e,81,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127478),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127478,999.5%,20.6 GB,47.2 GB,35.7 GB,88.3 GB,2025-09-24 08:50:10.020,47m 20s,46m 10s,COMPLETED,0,b4/f0a9a9,53,47042142
37712c9a-d1a6-4838-aadc-114ca747a95b,47033717,f4944a4c-cb8a-426a-bbbd-e6f751186e1e,115,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127481),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127481,1045.9%,19.6 GB,47.5 GB,48.3 GB,121.4 GB,2025-09-24 08:51:10.139,1h 10s,59m 16s,COMPLETED,0,ae/c2d66a,58,47042353
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,144,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127485),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127485,1070.8%,25.7 GB,53.6 GB,54 GB,201.3 GB,2025-10-04 21:35:04.368,1h 15m 10s,1h 14m 30s,COMPLETED,0,c1/7477bf,52,53578830
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,138,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127488),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127488,1196.3%,25.2 GB,50.1 GB,62.9 GB,148.7 GB,2025-10-04 21:42:04.466,1h 3m,1h 2m 33s,COMPLETED,0,9b/ff0ff8,60,53580676
37712c9a-d1a6-4838-aadc-114ca747a95b,47033717,f4944a4c-cb8a-426a-bbbd-e6f751186e1e,49,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127491),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127491,594.2%,22.9 GB,44.4 GB,6.2 GB,30.8 GB,2025-09-24 08:39:59.836,18m 40s,17m 16s,COMPLETED,0,be/076f3b,31,47038234
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,60,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127507),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127507,1035.8%,20.2 GB,48.4 GB,29 GB,84.8 GB,2025-10-04 21:31:04.516,36m 40s,36m 2s,COMPLETED,0,5e/514f10,44,53577908
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,97,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127509),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127509,1128.4%,22.1 GB,47.2 GB,35.8 GB,114.6 GB,2025-10-04 21:31:54.314,46m 50s,46m 1s,COMPLETED,0,f8/a81471,47,53578070
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,163,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127515),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127515,1093.8%,33.8 GB,54 GB,64.6 GB,259.2 GB,2025-10-04 21:39:14.454,1h 36m 10s,1h 35m 28s,COMPLETED,0,c7/9ff748,57,53579966
a2ae6304-88e0-4fc6-b6bc-a9c0fc9418d8,53574285,264be752-5994-42ee-8148-3d8aa5925bfe,124,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127517),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127517,1030.4%,25.9 GB,53 GB,45.6 GB,146.3 GB,2025-10-04 21:36:14.465,59m 40s,58m 57s,COMPLETED,0,23/c251d5,54,53579103
37712c9a-d1a6-4838-aadc-114ca747a95b,47033717,f4944a4c-cb8a-426a-bbbd-e6f751186e1e,108,EBIMETAGENOMICS_MIASSEMBLER:MIASSEMBLER:SHORT_READS_ASSEMBLER:SPADES (DRR127521),EBIMETAGENOMICS_MIASSEMBLER,MIASSEMBLER:SHORT_READS_ASSEMBLER,SPADES,DRR127521,954.3%,27.4 GB,48.6 GB,43.3 GB,119.4 GB,2025-09-24 08:50:09.808,57m 40s,56m 51s,COMPLETED,0,0a/b07d12,51,47042140
