run_accession	Sample ID	Condition	Sampling date	Season	Sampling start	Sampling end	Sampling duration (h)	Geographic origin of the air mass	Boundary layer height (min–max [average]) (m a.s.l.)	Boundary layer height min (m a.s.l.)	Boundary layer height max (m a.s.l.)	Boundary layer height average (m a.s.l.)	Position of the sampling site relative to the boundary layer	Temperature (°C)	Relative humidity (%)	Wind speed (m s−1)	Liquid water content (LWC) (g m−3)	sample_title
ERR9966616	20200707AIR	Clear atmosphere	07/07/2020	Summer	09:00	15:30	6.5	Northwest	1268–1834 [1626]	1268	1834	1626	In	11.1	61	3.6		20200707AIR
ERR9966617	20200708AIR	Clear atmosphere	08/07/2020	Summer	08:35	14:40	6.1	Northwest	623–1675 [1253]	623	1675	1253	In	14.2	53	3.1		20200708AIR
ERR9966618	20200709AIR	Clear atmosphere	09/07/2020	Summer	08:35	14:35	6.0	North	651–2377 [1487]	651	2377	1487	In	20.3	48	3.4		20200709AIR
ERR9966619	20200922AIR	Clear atmosphere	22/09/2020	Autumn	08:51	14:46	5.9	West	665–1334 [972]	665	1334	972	Out	12.4	78	1.0		20200922AIR
ERR9966620	20201118AIR	Clear atmosphere	18/11/2020	Autumn	09:00	14:50	5.8	West	680–1142 [870]	680	1142	870	Out	14.1	41	6.4		20201118AIR
ERR9966621	20191002CLOUD	Cloud	02/10/2019	Autumn	14:47	17:10	2.4	Northwest	1422–1505 [1465]	1422	1505	1465	In	6.5	100	3.0		20191002CLOUD
ERR9966622	20191022CLOUD	Cloud	22/10/2019	Autumn	10:06	16:30	6.4	South	698–957 [813]	698	957	813	Out	5.7	100	8.7		20191022CLOUD
ERR9966623	20200311CLOUD	Cloud	11/03/2020	Winter	08:55	13:00	4.1	West	964–1145 [1060]	964	1145	1060	Out	5.0	100	7.4		20200311CLOUD
ERR9966624	20200717CLOUD	Cloud	17/07/2020	Summer	11:45	15:00	3.3	Northwest	1271–1437 [1343]	1271	1437	1343	Out	10.1	100	1.6	0.08	20200717CLOUD
ERR9966625	20201016CLOUD	Cloud	16/10/2020	Autumn	08:50	13:30	4.7	Norteast	917–1034 [958]	917	1034	958	Out	1.1	100	1.8	0.35	20201016CLOUD
ERR9966626	20201028CLOUD	Cloud	28/10/2020	Autumn	09:13	15:15	6.0	West	1026–1529 [1269]	1026	1529	1269	Out	5.2	100	11.0	0.23	20201028CLOUD
ERR9966627	20201103CLOUD	Cloud	03/11/2020	Autumn	11:00	14:30	3.5	West	1126–1593 [1390]	1126	1593	1390	In	2.2	100	8.7	0.06	20201103CLOUD
ERR9966628	20201110CLOUD	Cloud	10/11/2020	Autumn	11:02	14:10	3.1	Southwest	691–1276 [1016]	691	1276	1016	Out	5.9	100	2.5	0.07	20201110CLOUD
ERR9966629	20201119CLOUD	Cloud	19/11/2020	Autumn	08:54	11:47	2.8	West	1207–1234 [1215]	1207	1234	1215	Out	0.3	100	7.7	0.11	20201119CLOUD
