Genome	DE04NGSUKBD140741Dm	DE05NGSUKBD140723Sc	DE10NGSUKBD140730Sc	DE15NGSUKBD140737Dm	DE16NGSUKBD140719Sc	DE20NGSUKBD140744Dm	DE21NGSUKBD140726Sc	DE26NGSUKBD140733Dm	DE31NGSUKBD140740Dm	DE32NGSUKBD140722Sc	DE37NGSUKBD140729Sc	DE42NGSUKBD140736Dm	DE47NGSUKBD140743Dm	DE48NGSUKBD140725Sc	DE53NGSUKBD140732Sc	DE58NGSUKBD140739Dm	DE59NGSUKBD140721Sc	DE63NGSUKBD140746Dm	DE64NGSUKBD140728Sc	DE69NGSUKBD140735Dm	DE74NGSUKBD140742Dm	DE75NGSUKBD140724Sc	DE80NGSUKBD140731Sc	DE85NGSUKBD140738Dm	DE86NGSUKBD140720Sc	DE90NGSUKBD140745Dm	DE91NGSUKBD140727Sc	DE96NGSUKBD140734Dm
group_2_bin_247412	2.6358907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7167946
group_2_bin_253990	1.3155597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1679218
group_2_bin_256516	2.6252904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3607879
group_2_bin_312419	1.6644452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37328926
group_2_bin_360825	5.371207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.387814
group_2_bin_374764	1.8970505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84231436
group_2_bin_453546	1.0977263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_2_bin_518144	4.772705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0058365
group_2_bin_643563	7.3393197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
group_2_bin_645825	4.485637	0.0	0.0	1.2908745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7622113
group_2_bin_94618	2.0286646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1961913
group_4_bin_37618	0.76953846	8.494729	8.924404	7.8565207	6.475835	13.316703	9.37755	6.0723605	12.50128	8.137318	9.964244	7.158575	13.51859	8.203452	8.23515	7.99622	9.071162	13.475283	9.111017	11.32408	13.380179	8.439763	9.216074	7.5670033	6.4210796	14.857338	8.610433	2.4041858
group_5_bin_1238	3.3094888	63.468815	50.83999	5.6006856	60.93329	47.38433	60.354977	15.866601	46.324047	56.863388	54.603718	18.492025	49.724506	62.357357	53.279842	20.115797	55.872803	53.822758	57.50006	38.96894	47.86833	58.3061	52.791954	4.8163877	56.878323	56.60033	52.881874	6.3668647
group_7_bin_7843	0.29670575	8.833873	19.365065	10.12544	13.614523	7.9981833	10.128123	39.00033	6.5687914	15.218648	13.504389	20.95562	6.879324	11.154733	18.514719	9.32531	14.482345	7.051075	13.221215	17.748451	6.63	13.46766	15.44941	12.290122	13.242215	9.108751	17.518805	9.774717
