Assembly	DE04NGSUKBD140741Dm	DE05NGSUKBD140723Sc	DE10NGSUKBD140730Sc	DE15NGSUKBD140737Dm	DE16NGSUKBD140719Sc	DE20NGSUKBD140744Dm	DE21NGSUKBD140726Sc	DE26NGSUKBD140733Dm	DE31NGSUKBD140740Dm	DE32NGSUKBD140722Sc	DE37NGSUKBD140729Sc	DE42NGSUKBD140736Dm	DE47NGSUKBD140743Dm	DE48NGSUKBD140725Sc	DE53NGSUKBD140732Sc	DE58NGSUKBD140739Dm	DE59NGSUKBD140721Sc	DE63NGSUKBD140746Dm	DE64NGSUKBD140728Sc	DE69NGSUKBD140735Dm	DE74NGSUKBD140742Dm	DE75NGSUKBD140724Sc	DE80NGSUKBD140731Sc	DE85NGSUKBD140738Dm	DE86NGSUKBD140720Sc	DE90NGSUKBD140745Dm	DE91NGSUKBD140727Sc	DE96NGSUKBD140734Dm
Assembly	DE04NGSUKBD140741Dm	DE05NGSUKBD140723Sc	DE10NGSUKBD140730Sc	DE15NGSUKBD140737Dm	DE16NGSUKBD140719Sc	DE20NGSUKBD140744Dm	DE21NGSUKBD140726Sc	DE26NGSUKBD140733Dm	DE31NGSUKBD140740Dm	DE32NGSUKBD140722Sc	DE37NGSUKBD140729Sc	DE42NGSUKBD140736Dm	DE47NGSUKBD140743Dm	DE48NGSUKBD140725Sc	DE53NGSUKBD140732Sc	DE58NGSUKBD140739Dm	DE59NGSUKBD140721Sc	DE63NGSUKBD140746Dm	DE64NGSUKBD140728Sc	DE69NGSUKBD140735Dm	DE74NGSUKBD140742Dm	DE75NGSUKBD140724Sc	DE80NGSUKBD140731Sc	DE85NGSUKBD140738Dm	DE86NGSUKBD140720Sc	DE90NGSUKBD140745Dm	DE91NGSUKBD140727Sc	DE96NGSUKBD140734Dm
Total length (>= 0 bp)	1101195886	28061356	66520017	709076856	39559767	715628117	46192530	101391173	733183132	38116737	46844756	110447974	751431266	53519859	41537189	333809386	32423843	708503577	32656914	151964112	780489535	38619792	40450806	661833231	40330942	762812442	37480734	97243605
Total length (>= 1000 bp)	206835366	4145904	9048153	48125750	6370127	235622162	6354288	17528713	220446614	5286914	5601055	36301758	274590971	7735899	5837324	15221857	3954618	269954225	4411717	18476723	273003220	5296163	5574210	41327162	6328014	365928046	5388140	17792083
Largest contig	87662	15824	15838	16986	39865	16710	15838	41525	24277	17841	15838	18392	22657	19473	15838	20182	13309	22136	13261	15838	17718	15838	16747	20143	26389	21985	15838	26660
Total length	621785551	14733013	34950918	349465001	21355388	489627109	23934097	58191428	502476260	20371011	24501736	74942727	544804140	28437079	22392747	127530780	16445580	530439195	16884519	81384994	552878690	20335308	21141614	320309687	21764365	603416985	20498550	55821412
GC (%)	44.94	42.77	44.80	44.22	43.75	43.73	42.59	44.96	42.86	44.12	44.29	45.68	42.54	43.45	44.45	44.73	43.82	42.48	43.30	45.35	42.70	43.68	43.52	44.04	43.99	42.49	43.98	48.12
N50	764	719	739	665	734	972	724	771	917	713	701	967	1005	724	717	631	700	1013	708	705	991	713	716	660	729	1194	716	770
N90	534	528	535	525	531	565	532	540	559	529	529	555	573	533	530	519	526	578	528	529	569	530	531	524	530	604	530	537
auN	1836.2	1060.8	1012.9	789.3	1650.3	1228.2	1034.6	1616.3	1144.3	1071.0	934.8	1615.2	1255.4	1266.8	1027.0	783.8	979.4	1263.8	1028.0	905.9	1251.6	1064.9	1021.9	783.2	1579.7	1533.7	1005.2	1386.7
L50	228019	6479	15993	198343	8659	162605	10816	23822	180944	9256	11954	20698	175915	12335	10249	75948	7831	170530	7719	40061	179975	9234	9605	183979	8957	157830	9388	21836
L90	625815	16221	38502	437012	22602	431895	26447	60267	466576	22733	28260	63344	468006	30919	25027	165920	18847	451994	18954	94073	480109	22679	23526	403780	23243	446181	22907	57182
Mapped (%)	84.9	73.0	73.08	79.3	73.13	89.19	68.4	75.14	87.47	75.15	71.12	76.27	90.34	73.98	75.27	63.87	74.19	92.0	73.57	75.06	90.04	73.21	67.89	78.4	71.74	96.79	71.3	80.16
Properly paired (%)	61.36	32.45	29.33	62.97	33.97	71.62	25.66	30.17	70.34	33.81	32.53	42.81	73.78	30.27	34.92	44.53	35.38	74.25	33.45	40.93	74.04	30.38	26.39	62.1	35.29	80.5	32.27	37.0
Avg. coverage depth	13	23	18	9	20	13	19	13	11	21	21	12	11	19	22	16	24	11	23	14	12	22	19	9	21	13	20	17
Coverage >= 1x (%)	99.79	99.79	99.76	99.93	99.77	99.7	99.73	99.76	99.71	99.77	99.77	99.87	99.69	99.74	99.77	99.82	99.8	99.68	99.78	99.75	99.7	99.75	99.77	99.92	99.77	99.67	99.76	99.78
