Genome	DE04NGSUKBD140741Dm	DE05NGSUKBD140723Sc	DE10NGSUKBD140730Sc	DE15NGSUKBD140737Dm	DE16NGSUKBD140719Sc	DE20NGSUKBD140744Dm	DE21NGSUKBD140726Sc	DE26NGSUKBD140733Dm	DE31NGSUKBD140740Dm	DE32NGSUKBD140722Sc	DE37NGSUKBD140729Sc	DE42NGSUKBD140736Dm	DE47NGSUKBD140743Dm	DE48NGSUKBD140725Sc	DE53NGSUKBD140732Sc	DE58NGSUKBD140739Dm	DE59NGSUKBD140721Sc	DE63NGSUKBD140746Dm	DE64NGSUKBD140728Sc	DE69NGSUKBD140735Dm	DE74NGSUKBD140742Dm	DE75NGSUKBD140724Sc	DE80NGSUKBD140731Sc	DE85NGSUKBD140738Dm	DE86NGSUKBD140720Sc	DE90NGSUKBD140745Dm	DE91NGSUKBD140727Sc	DE96NGSUKBD140734Dm
DE04NGSUKBD140741Dm_B_22	0.37209052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11831197
DE04NGSUKBD140741Dm_binette_bin1	0.5111743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06696297
DE04NGSUKBD140741Dm_binette_bin10	0.81644154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23241611
DE04NGSUKBD140741Dm_binette_bin11	0.72620183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30711186
DE04NGSUKBD140741Dm_binette_bin12	0.36417523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin13	0.8183649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin14	3.1889853	0.0	0.0	8.972906	0.0	5.159937	0.0	0.0	5.185437	0.0	0.0	0.0	4.727805	0.0	0.0	8.357188	0.0	3.6659532	0.0	0.0	4.993044	0.0	0.0	9.235543	0.0	2.0921564	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin15	2.4848135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2967936
DE04NGSUKBD140741Dm_binette_bin16	0.33649042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin17	0.44012597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin18	1.0989347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2824011
DE04NGSUKBD140741Dm_binette_bin19	0.32311243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin2	1.5378815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.80955756
DE04NGSUKBD140741Dm_binette_bin20	0.2760748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin21	1.2909946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin22	0.55184066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin23	0.41283116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08076585
DE04NGSUKBD140741Dm_binette_bin24	0.40184447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19290036
DE04NGSUKBD140741Dm_binette_bin25	0.7304748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin26	0.36694285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28406823
DE04NGSUKBD140741Dm_binette_bin27	1.4101429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin28	1.1928427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18138266
DE04NGSUKBD140741Dm_binette_bin3	1.4368613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3805833
DE04NGSUKBD140741Dm_binette_bin30	0.7489063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin31	1.5919111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27340922
DE04NGSUKBD140741Dm_binette_bin32	0.33273372	1.274093	1.5307992	0.10214441	1.1573819	1.2663519	1.3724641	0.6943018	1.0869812	1.3646263	1.4581344	0.56977844	1.1929773	1.3082414	1.37068	0.34464383	1.4007411	1.2938038	1.3667346	1.0655956	1.1536587	1.3247794	1.3102313	0.1022608	1.0605464	1.5803598	1.3621882	0.6597675
DE04NGSUKBD140741Dm_binette_bin33	0.7913607	0.0	0.0	1.9066428	0.0	0.9581959	0.0	0.0	1.0263896	0.0	0.0	0.0	0.91432375	0.0	0.0	1.7612784	0.0	0.7231274	0.0	0.0	0.9747499	0.0	0.0	1.9806733	0.0	0.3905628	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin5	2.2020254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin6	0.64311266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22527085
DE04NGSUKBD140741Dm_binette_bin7	1.9758954	0.0	0.0	0.03507819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1895211
DE04NGSUKBD140741Dm_binette_bin8	0.61654675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17885177
DE04NGSUKBD140741Dm_binette_bin9	0.80675316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23362112
DE15NGSUKBD140737Dm_binette_bin1	0.9673244	0.9789848	1.158713	5.489106	0.88504815	1.8312526	1.1819196	22.29448	1.8409675	0.97661674	1.115445	17.436165	1.7198821	1.0814809	1.0415925	6.4091363	0.9967021	1.434024	1.0478247	13.370815	1.8993095	0.99455136	1.129644	5.1418486	1.201554	0.9896348	1.076418	20.752026
DE16NGSUKBD140719Sc_binette_bin1	0.7824877	12.059981	5.4869385	0.07151318	15.921825	2.761572	6.5548224	0.77660847	2.713435	10.668673	5.403684	0.6410325	3.0794854	12.693497	6.797853	0.8812701	7.9054475	3.6784928	7.543274	2.1280506	2.846546	9.959927	6.4065795	0.0	14.333659	3.4584548	6.4929028	0.5537824
DE20NGSUKBD140744Dm_binette_bin3	0.13091262	0.9615164	0.9879678	0.045215625	0.89796084	1.0956197	1.0902691	0.4606923	0.89903855	0.9921628	1.1213195	0.39219606	1.0193862	1.0002488	1.0187975	0.24163027	1.0052869	1.0965837	1.0332162	0.839927	0.94651276	0.94172764	1.0594696	0.039021213	0.8171799	1.2267182	1.0656843	0.34049582
DE20NGSUKBD140744Dm_binette_bin4	0.4867339	2.9502044	3.7573273	0.51738536	2.6194863	3.3509617	3.0043259	0.7658191	2.4937053	3.1920247	3.2040153	0.571027	2.6991	2.7854736	3.1769392	0.96051496	3.3222888	2.8309162	3.2334578	1.7988292	2.567349	3.0468347	2.992714	0.6008339	2.5523856	3.631996	3.189306	0.633978
DE20NGSUKBD140744Dm_binette_bin5	0.15550044	1.0768458	1.4932349	0.071314976	1.021104	1.4746288	1.2196467	0.6303386	1.0824006	1.2291802	1.3116941	0.48349288	1.1997503	1.1753659	1.1992948	0.3018627	1.2367483	1.282724	1.1463554	1.0513295	1.1556468	1.1972574	1.1912742	0.060381576	0.94224906	1.6568589	1.2383204	0.5322097
