Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq
sample_0	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_0	MetaBat2	0.22173884483047387	0.01572523055992932	0.2936927614742787	0.20277851531842828	genome	0.26190011205505387	0.1735978714287172	0.4314206431285376	0.05855655990455393	0.19870733360414586	0.13819078688377814	0.3973899122743222	0.5699622026235827	0.3679640439929286	0.03656708934857843	0.8646387125002283	0.026155288699800328	0.055412029284562125	0.831698044214227	0.028603320574685127	0.6026100877256778	0.4300377973764174	0.956472021104729	0.92829505157516	NA	0.1543222548782672	0.09648480607737475	0.012736522152340033	0.01113444749282227	0.0955469889603215	0.07326976929351592	0.11283250464322422	0.0753557616559968	0.010627213481996434	0.009447757915259244	0.3359764651471735	0.03141726265809921
sample_0	CONCOCT	0.2723918505296167	0.03403587601932828	0.4330287873021321	0.1845083073907196	genome	0.5535351597479073	0.2593570886546361	0.4645246777071316	0.09971019793843565	0.47319730042032704	0.21478318190892684	0.4252047856670451	0.5956340454303974	0.4738937342158027	0.08417097343310036	0.686493847818885	0.020320298298497203	0.09455742575323901	0.6222201405201592	0.022346498439636448	0.5747952143329549	0.4043659545696025	0.9843230418914348	0.9656702842679095	NA	0.4637223818042528	0.15987980631383752	0.017388884656842043	0.01305032187596686	0.1780978793596754	0.1107020856931205	0.3817641108702285	0.12979313379325874	0.01674446772898393	0.011546487655104614	0.3897531898389763	0.0568662549154049
sample_0	SemiBin2	0.2710962856445566	0.01389999268278802	0.8732891964784629	0.8019592197500038	genome	0.21525172626716096	0.19657020007772794	0.4213715524016061	0.028575131173543503	0.1642552529125459	0.1542509160995573	0.10345756072936518	0.19272841740772806	0.30237975780053633	0.01721848381947625	0.8185532163963406	0.022473507546575122	0.06313231768074612	0.7893617251064149	0.023997490033461254	0.8965424392706348	0.8072715825922719	0.9966569996728659	0.9934425944915145	NA	0.12391912623857593	0.11169671811589565	0.011985736276853332	0.011424898500203506	0.08461448784388571	0.07975279480711085	0.09166470482991869	0.08547709156595729	0.010163372476218683	0.009695680880288446	0.275405561956993	0.014544991368399943
sample_0	DAS Tool	0.24151018992529355	0.015357337402064538	0.9496033074793016	0.9246483185167012	genome	0.23361016731884482	0.18404383576079927	0.3936061663581466	0.032660276276436015	0.19896518239430416	0.1526707248744298	0.04448312943946919	0.10346873393189104	0.25275345456079434	0.017129728748241837	0.951865597460636	0.012087271312612856	0.009934944689360533	0.8337675793870024	0.03279597493544525	0.9555168705605308	0.896531266068109	0.9982799446943811	0.9950788793036703	NA	0.13314333381398846	0.10187025842355625	0.013199627083365209	0.011810052855898971	0.10262156137740601	0.08215215824242604	0.11296071768819897	0.08402857567534054	0.011805416855379216	0.01018321046058445	0.24785191633981338	0.016633106861105765
sample_0	MaxBin2	0.13675515576778785	0.011481247611743312	0.36791443082621933	0.20715506724756538	genome	0.34607195926114814	0.09776232737716613	0.25256310538823057	0.04746339208654349	0.2663951450085174	0.07860853187895485	0.564185124672224	0.7824423560827813	0.31379184949787314	0.05277335884420572	0.48038917133536807	0.027008771657129168	0.091184218303368	0.3199418769853662	0.02838986031113651	0.435814875327776	0.2175576439172187	0.9835340824564558	0.9739832509491676	NA	0.27045305892178423	0.05441841472728427	0.014521292495408235	0.007267477402995385	0.12420121414921052	0.03385520202175411	0.2282023083666161	0.04480896402781941	0.013894574720582196	0.006625407296572336	0.17780114488261212	0.026637361684367995
sample_0	Binette	0.29345159745629745	0.026772865609916718	0.9751057991552804	0.9197818267652453	genome	0.27100109263038286	0.21700137612514975	0.45595645736113644	0.05497385543470491	0.22012316603580873	0.1717381300318108	0.033330062719474585	0.09102201366365326	0.3035695909628133	0.029453810776898206	0.9413036034388871	0.013517364694123261	0.016627442492927635	0.9072286631972927	0.01781160624744899	0.9666699372805254	0.9089779863363467	0.9993408104889133	0.996746969789675	NA	0.15828576398022803	0.1226365647420323	0.013666386290081626	0.012318488264400946	0.11000759728131156	0.08952964034090843	0.12525733351688523	0.09484624911776748	0.011682222489224542	0.010193059309083232	0.29833785523010126	0.028344033626654164
sample_0	COMEBin	0.36396731868357496	0.04824685021125062	0.8496964378327456	0.7170745071548649	genome	0.45717223319152334	0.25252641489033695	0.5143401371799937	0.09992599043432644	0.39082232894607105	0.19610395661648033	0.14818987406781503	0.28664876885781254	0.4272869124269502	0.06763407435913418	0.7003233833150019	0.020290036128168425	0.09798116472760642	0.6534838995112612	0.021590997999747733	0.851810125932185	0.7133512311421875	0.9974705429768794	0.9954258238536154	NA	0.33935034148670984	0.15403450777999006	0.01705396393905961	0.012034578312109943	0.1713033970744651	0.09471952314830076	0.2787724306647926	0.11536137318301806	0.015879798709128302	0.010197766623997994	0.3683910389265533	0.05372595144081324
sample_1	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_1	MetaBat2	0.21638289511469644	0.0144057112274078	0.3269709902733674	0.1557682513182721	genome	0.2732469562445674	0.18765493413102394	0.4235635825037812	0.058296476761777884	0.20737446470826001	0.15074410629482723	0.38039720113255315	0.6011841105996497	0.34922840166347885	0.03612120682821307	0.8672979366605683	0.02408447265810498	0.0551058732058056	0.8306570552431217	0.027918214694764725	0.6196027988674468	0.3988158894003503	0.9675967073122863	0.9229819156713185	NA	0.16216970401824762	0.10520940590092578	0.012675068889343203	0.011205036567144954	0.09960757023674949	0.07834497494993867	0.1184760747720099	0.08289364616183001	0.010669812450010929	0.009533926347498521	0.32176025304839495	0.031446572569358136
