Genome	SRR24759596	SRR24759597	SRR24759598	SRR24759599	SRR24759600	SRR24759601	SRR24759602	SRR24759603	SRR24759604	SRR24759605	SRR24759606	SRR24759607	SRR24759608	SRR24759609	SRR24759610	SRR24759611	SRR24759612	SRR24759613	SRR24759614	SRR24759615	SRR24759616
SRR24759596_binette_bin14	0.8160415	0.38544363	0.31911272	0.44083792	0.4153529	0.48390746	0.43315068	0.55778265	0.5532944	0.5270595	0.5203772	0.53097147	0.42225325	0.6805191	0.5071262	0.4538729	0.5891798	0.557383	0.41475832	0.4806321	0.59117264
SRR24759596_binette_bin16	0.11099055	0.05921355	0.12909284	0.10317124	0.07806558	0.06290021	0.06842615	0.15096363	0.04127908	0.044227973	0.053809587	0.037853137	0.11300055	0.035054073	0.04889302	0.14994021	0.044215363	0.025844406	0.059815746	0.066111654	0.059759293
SRR24759596_binette_bin17	0.06317171	0.066982046	0.048904415	0.086883046	0.073021114	0.05817109	0.07759706	0.051031534	0.0204453	0.052280225	0.060769577	0.079134814	0.061031703	0.04147052	0.06317394	0.08005426	0.054900456	0.05909479	0.073751345	0.026735276	0.032329
SRR24759596_binette_bin18	0.8267749	0.4258761	0.38763642	0.5434752	0.37933102	0.6316335	0.42846146	0.54392576	0.5428832	0.5483605	0.53299385	0.49933752	0.45996085	0.7296802	0.63255984	0.431728	0.5835523	0.5874059	0.4471146	0.57052374	0.5938028
SRR24759596_binette_bin19	0.18485104	0.1057757	0.11125956	0.0713373	0.091966905	0.12138024	0.14204237	0.06186227	0.035790876	0.1018107	0.09354131	0.04955544	0.23305473	0.07749067	0.06573193	0.14471199	0.060733363	0.023726748	0.0662668	0.10262818	0.055959582
SRR24759596_binette_bin20	0.052069575	0.079716034	0.06159618	0.08977295	0.08378724	0.03959548	0.0668236	0.05331169	0.056947786	0.033702567	0.051037684	0.038131613	0.046537217	0.025207022	0.03375771	0.05582713	0.030051388	0.046722203	0.04286864	0.05142653	0.06114668
SRR24759596_binette_bin22	0.042605255	0.036886025	0.031461276	0.03787395	0.039580356	0.023640577	0.04282067	0.024636026	0.026763521	0.019891972	0.031445414	0.020376664	0.03131785	0.021974705	0.01712957	0.02989013	0.02935892	0.022783987	0.030367134	0.025162518	0.03519331
SRR24759596_binette_bin23	0.045597084	0.03938661	0.02668064	0.024344519	0.03183283	0.040205676	0.08100885	0.01553435	0.013979635	0.029052434	0.056865312	0.03509441	0.08263456	0.06149295	0.027127292	0.044194505	0.07721436	0.028879676	0.09168572	0.01609096	0.034899086
SRR24759596_binette_bin27	0.058969367	0.053028557	0.07653519	0.08247039	0.07017549	0.06945768	0.06043792	0.10259297	0.036630705	0.042614557	0.04255263	0.03271798	0.06516975	0.019561052	0.036018915	0.10400917	0.027970072	0.023226073	0.050898902	0.054704078	0.051413834
SRR24759596_binette_bin28	0.2156476	0.11376614	0.018553607	0.023155037	0.0559754	0.22162628	0.046420135	0.11721775	0.04634699	0.08816878	0.088702664	0.1268231	0.05568845	0.055591907	0.049312852	0.032387555	0.07221854	0.08412212	0.04084271	0.06421667	0.049645804
