Genome	ERR9966616	ERR9966617	ERR9966618	ERR9966619	ERR9966620	ERR9966621	ERR9966622	ERR9966623	ERR9966624	ERR9966625	ERR9966626	ERR9966627	ERR9966628	ERR9966629
ERR9966616_bin_10	0.36277783	0.2187763	0.22507325	0.39991686	0.011404756	0	0	0.007638811	0.11444787	0.0064033964	0	0	0	0
ERR9966616_bin_138	0.18771717	0.09710349	0.093743354	0.19830109	0	0	0	0	0.07475244	0.0029479833	0	0	0	0
ERR9966616_bin_168	0.60342443	0.50292295	0.5131733	0.6222745	0	0	0	0	0.24820922	0.03324465	0.022294031	0	0	0
ERR9966616_bin_17	0.1851399	0.0931708	0.05893334	0.20096414	0	0	0	0	0.055885024	0.002455539	0	0	0	0
ERR9966616_bin_302	0.13176106	0.06470994	0.0434167	0.13651162	0	0	0	0	0.03896491	0	0	0	0	0
ERR9966616_bin_38	0.19232404	0.10505196	0.020827942	0.13353024	0	0	0	0	0.051133245	0	0	0	0	0
ERR9966616_bin_47	0.37556934	0.2777001	0.19725427	0.3646998	0	0	0	0	0.15565996	0.013507127	0	0	0	0
ERR9966616_bin_5	1.725829	0.99444294	0.7597627	1.6865252	0	0	0	0	0.5169251	0.01588564	0	0	0	0
ERR9966616_bin_50	0.8286362	0.41802776	0.25019518	0.97536486	0	0	0	0	0.270373	0.010471179	0	0	0	0
ERR9966616_bin_55	0.8079878	0.41499433	0.27422488	0.67010844	0	0.002933382	0	0.37539616	0.2553496	0.012172076	0.0023750018	0	0	0
ERR9966616_bin_7	0.26786423	0.14772387	0.042545516	0.27994698	0	0	0	0	0.08415201	0	0	0	0	0
ERR9966616_bin_77	0.2832717	1.5671388	2.2541573	0.07466976	0.0119352415	0.002477344	0	0	0.20859244	0.02908739	0.013010349	0	0	0.003964817
ERR9966616_bin_92	0.15992111	0.07800019	0.05491319	0.17165963	0	0	0	0	0.046274792	0.0020121636	0	0	0	0
ERR9966617_bin_59	0.31437677	0.4688406	0.6929329	0.31873783	0	0	0	0	0.2017915	0.05954152	0.044797495	0	0	0
ERR9966619_bin_103	0	0	0	0.07037972	0	0	0	0	0	0	0	0	0	0
ERR9966619_bin_134	0	0	0	0.08763186	0.029653447	0.06354322	0.023160908	0.1300325	0.04167248	0.028423859	0.036558397	0.026693879	0.051410075	0.013668439
ERR9966619_bin_15	0	0	0	0.3087756	0.1089807	0.39440867	0.07122754	0.20712319	0.082288	0.14513257	0.23255366	0.17662884	0.51459855	0.05466841
ERR9966619_bin_170	0.16578108	0.09116623	0.03616168	0.19998534	0	0	0	0	0.05802027	0.007877541	0	0	0	0
ERR9966619_bin_246	0.16143326	0.08465863	0.05318671	0.20504417	0	0	0	0	0.04951009	0	0	0	0	0
ERR9966619_bin_298	0	0	0	0.101146884	0.054732263	0.07956578	0.031556617	0.14536329	0.058219478	0.041278243	0.048593003	0.034989145	0.057517916	0.021724539
ERR9966619_bin_328	0.24363334	0.12541725	0.09698001	0.3309513	0	0	0	0	0.07901754	0.0039452263	0	0	0	0
ERR9966619_bin_352	0.16335396	0.10491071	0.047524247	0.19817357	0	0	0	0	0.056909762	0.007723007	0	0	0	0
ERR9966619_bin_48	0.01699044	0.018235967	0.0049571074	0.30091763	0.22530124	0.48386705	0.11002204	0.30699095	0.3840877	0.21504974	0.15897098	0.105822414	0.27278757	0.073863134
ERR9966619_bin_50	0.5330645	0.29591036	0.2495679	0.7136448	0.054931156	0.026747776	0.007839401	0.03022632	0.19194154	0.01952056	0.0097326385	0.011446976	0.022331784	0.0155095635
ERR9966619_bin_58	0.017831028	0	0	0.21201216	0.23960893	0.36593273	0.13266796	0.3508782	0.36341196	0.24695723	0.1597071	0.08791504	0.11053713	0.0750985
ERR9966619_bin_59	0.0142346285	0	0.009594992	0.08593404	0	0	0	0.016954575	0.04167286	0.033746205	0	0	0	0
ERR9966619_bin_63	0.2723753	0.14105926	0.081502154	0.41648516	0	0	0	0	0.096057326	0.01466974	0	0	0	0
