Genome	SRR22878281	SRR22878282	SRR22878283
SRR22878281_binette_bin1	0.09577371	0.0013791784	0
SRR22878281_binette_bin10	0.25971863	0.0052991337	0.0034578363
SRR22878281_binette_bin100	0.13851319	0.004988624	0
SRR22878281_binette_bin101	0.040637434	0	0
SRR22878281_binette_bin102	0.039070502	0.038870588	0.016728027
SRR22878281_binette_bin103	0.048923943	0	0
SRR22878281_binette_bin104	0.345287	0.0323313	0
SRR22878281_binette_bin105	0.2692766	0	0
SRR22878281_binette_bin106	0.039421234	0.0032669958	0.0013515775
SRR22878281_binette_bin107	0.03498067	0	0
SRR22878281_binette_bin108	0.042972814	0.0019206186	0.0021986202
SRR22878281_binette_bin109	0.03634567	0.0050760717	0
SRR22878281_binette_bin11	0.104652196	0.00668284	0.0025658105
SRR22878281_binette_bin110	0.036044013	0	0
SRR22878281_binette_bin111	0.040592268	0	0
SRR22878281_binette_bin112	0.04334375	0.0019265072	0.020358266
SRR22878281_binette_bin113	0.039460838	0	0
SRR22878281_binette_bin114	0.046262383	0	0
SRR22878281_binette_bin115	0.03658693	0.039020743	0.0015499047
SRR22878281_binette_bin116	0.03537096	0.0016922716	0.010505637
SRR22878281_binette_bin117	0.032740556	0	0
SRR22878281_binette_bin118	0.05789709	0	0
SRR22878281_binette_bin119	0.036372647	0	0
SRR22878281_binette_bin12	0.07046646	0	0
SRR22878281_binette_bin120	0.10170328	0.0041841124	0.0015977534
SRR22878281_binette_bin121	0.037163157	0	0
SRR22878281_binette_bin122	0.035290543	0.02074823	0.0059226365
SRR22878281_binette_bin123	0.03564521	0.0025483186	0.033892725
SRR22878281_binette_bin124	0.04456727	0.0017792278	0
SRR22878281_binette_bin126	0.04264417	0.0023998148	0
SRR22878281_binette_bin127	0.15866084	0	0
SRR22878281_binette_bin128	0.059546214	0	0
SRR22878281_binette_bin129	0.035832983	0.0037362084	0.004708283
SRR22878281_binette_bin13	0.39953578	0	0
SRR22878281_binette_bin130	0.037928175	0	0
SRR22878281_binette_bin131	0.035898566	0	0
