Genome	DE96NGSUKBD140734Dm	DE91NGSUKBD140727Sc	DE90NGSUKBD140745Dm	DE86NGSUKBD140720Sc	DE85NGSUKBD140738Dm	DE80NGSUKBD140731Sc	DE75NGSUKBD140724Sc	DE74NGSUKBD140742Dm	DE69NGSUKBD140735Dm	DE64NGSUKBD140728Sc	DE63NGSUKBD140746Dm	DE59NGSUKBD140721Sc	DE58NGSUKBD140739Dm	DE53NGSUKBD140732Sc	DE48NGSUKBD140725Sc	DE47NGSUKBD140743Dm	DE42NGSUKBD140736Dm	DE37NGSUKBD140729Sc	DE32NGSUKBD140722Sc	DE31NGSUKBD140740Dm	DE26NGSUKBD140733Dm	DE21NGSUKBD140726Sc	DE20NGSUKBD140744Dm	DE16NGSUKBD140719Sc	DE15NGSUKBD140737Dm	DE10NGSUKBD140730Sc	DE05NGSUKBD140723Sc	DE04NGSUKBD140741Dm
1_binette_bin2	0.88381094	0.20061909	0.16275018	0.16440527	0.14270745	0.20731488	0.17823099	0.121079974	0.8609802	0.16570602	0.13375159	0.14837454	0.18764126	0.18063214	0.21535882	0.1072881	0.86253434	0.2246985	0.16268186	0.12599428	1.261375	0.24163397	0.09944945	0.19155516	0.1578525	0.21224408	0.16379182	0.07958379
1_binette_bin23	0	0	0.10851592	0.02195219	0.24653786	0	0	0.20091306	0	0	0.1615158	0	0.22560838	0	0	0.19624102	0	0	0	0.24681702	0	0	0.19882654	0	0.25864765	0	0	0.116346575
1_binette_bin47	0.821822	0.16373563	0.13421103	0.14379233	0.20537922	0.17525572	0.14852862	0.13771099	0.6688566	0.14133947	0.13399442	0.11986808	0.23554997	0.15468578	0.15620726	0.14086325	0.7371697	0.16476013	0.119854435	0.1512045	0.9789561	0.20624602	0.13254182	0.15315948	0.20978583	0.15694751	0.14185403	0.1162146
1_binette_bin48	1.237963	0.19779629	0.122465216	0.16088095	0.10043989	0.17421283	0.17454526	0.04590384	1.052761	0.16614948	0.070243895	0.1640836	0.16029458	0.19566758	0.18639238	0.047289275	0.9954287	0.23641379	0.16586708	0.05016076	1.5460769	0.19314037	0.04729806	0.18031508	0.11531783	0.25029042	0.15138522	0.027919758
1_binette_bin5	0.48213896	0.10638073	0.06264747	0.08242587	0.038615145	0.10349717	0.0909363	0.029259989	0.5104604	0.084799975	0.0396558	0.080919065	0.0727009	0.09417598	0.10966109	0.02691867	0.48159173	0.11680646	0.08905301	0.03046981	0.79540586	0.11841358	0.025248917	0.094003566	0.0492385	0.11490575	0.081979215	0.017965598
1_binette_bin53	0	0	0	0	0	0.019191409	0	0.007416046	0.30093676	0	0	0	0.0075165853	0	0	0	0.57599086	0	0	0.083494864	0	0	0	0	0	0	0	0
1_binette_bin56	0	4.3425083	2.8040407	4.3628244	0.006819607	3.7818124	4.4361444	0.91677064	0.47039473	4.762458	1.2387433	5.0398536	0.08418294	4.108476	3.8593974	1.1470594	0	3.115939	4.834423	1.264886	0	3.2152472	1.1811677	4.724014	0.006578518	3.1050115	4.850114	0.36289665
1_binette_bin7	1.7093679	0	0	0	0.08375789	0	0	0	1.4423486	0	0	0	0.24504876	0	0	0	1.4283072	0	0	0	1.883691	0	0	0	0.21864222	0	0	0
2_binette_bin1	0.011660127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09190191
2_binette_bin100	0.23121233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15009242
2_binette_bin101	0.029197065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03870164
