contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
1_binette_bin2.fasta	M00083	100.0	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00665	
1_binette_bin2.fasta	M00142	85.71	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03878,K03879,K03881,K03882,K03883,K03884	K03880
1_binette_bin2.fasta	M00082	50.0	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00665	K11262
1_binette_bin2.fasta	M00555	50.0	Betaine biosynthesis, choline => betaine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00108	K00130
1_binette_bin2.fasta	M00087	33.33	beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K09479	K00022,K00632,K01692
1_binette_bin2.fasta	M00861	33.33	beta-Oxidation, peroxisome, VLCFA	Pathway modules; Lipid metabolism; Fatty acid metabolism	K12405	K00232,K07513
1_binette_bin2.fasta	M00862	33.33	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	Pathway modules; Lipid metabolism; Sterol biosynthesis	K12405	K08764,K10214
1_binette_bin2.fasta	M00880	33.33	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K15376	K03635,K03637,K03639
1_binette_bin2.fasta	M00007	25.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615	K00616,K01783,K01807
1_binette_bin2.fasta	M00056	25.0	O-glycan biosynthesis, mucin type core	Pathway modules; Glycan metabolism; Glycan biosynthesis	K00710	K00727,K00731,K00739
1_binette_bin2.fasta	M00089	25.0	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K13506	K00655,K01080,K11155
1_binette_bin2.fasta	M00130	25.0	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K13711	K00889,K00911,K01116
1_binette_bin2.fasta	M00148	25.0	Succinate dehydrogenase (ubiquinone)	Pathway modules; Energy metabolism; ATP synthesis	K00236	K00234,K00235,K00237
1_binette_bin2.fasta	M00854	25.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00750	K00693,K00963
1_binette_bin2.fasta	M00154	20.0	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02256,K02261,K02262	K02257,K02258,K02259,K02260,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02272
1_binette_bin2.fasta	M00034	18.75	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K08967,K09880	K00789,K00797,K00815,K00899,K01243,K01611,K08963,K08964
1_binette_bin2.fasta	M00004	16.67	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615	K00033,K00616,K01783,K01807,K01810,K13937
1_binette_bin2.fasta	M00129	14.29	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00103,K00963,K01053,K01195
1_binette_bin2.fasta	M00165	9.09	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00615	K00855,K00927,K01100,K01601,K01623,K01783,K01803,K01807,K03841,K05298
1_binette_bin2.fasta	M00104	8.33	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Pathway modules; Lipid metabolism; Sterol biosynthesis	K12405	K00037,K00251,K00488,K00489,K01796,K07431,K08748,K08764,K10214,K11992,K12408
1_binette_bin2.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00854,K01195,K03331,K05351,K13247
1_binette_bin2.fasta	M00158	6.67	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02126	K02125,K02127,K02128,K02129,K02130,K02132,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141
1_binette_bin2.fasta	M00011	5.0	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00236	K00026,K00164,K00234,K00235,K00237,K00382,K00658,K01676,K01902,K01903
1_binette_bin2.fasta	M00009	3.12	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00236	K00026,K00031,K00164,K00234,K00235,K00237,K00382,K00658,K01647,K01676,K01681,K01902,K01903
1_binette_bin23.fasta	M00077	25.0	Chondroitin sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01195	K01132,K01135,K01197
1_binette_bin23.fasta	M00854	25.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00750	K00693,K00963
1_binette_bin23.fasta	M00076	20.0	Dermatan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01195	K01135,K01136,K01197,K01217
1_binette_bin23.fasta	M00129	14.29	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01195	K00002,K00012,K00103,K00699,K00963,K01053
1_binette_bin23.fasta	M00078	12.5	Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K01195	K01136,K01137,K01205,K01217,K01565,K07964,K10532
1_binette_bin23.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01195	K00002,K00012,K00699,K00854,K03331,K05351,K13247
1_binette_bin47.fasta	M00142	28.57	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03881,K03883	K03878,K03879,K03880,K03882,K03884
1_binette_bin48.fasta	M00050	25.0	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01951	K00088,K00940,K00942
1_binette_bin48.fasta	M00129	14.29	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00103,K00963,K01053,K01195
1_binette_bin48.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00854,K01195,K03331,K05351,K13247
1_binette_bin5.fasta	M00067	50.0	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	Pathway modules; Lipid metabolism; Lipid metabolism	K04628	K01019
1_binette_bin5.fasta	M00142	28.57	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03881,K03883	K03878,K03879,K03880,K03882,K03884
1_binette_bin5.fasta	M00130	25.0	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K13711	K00889,K00911,K01116
1_binette_bin5.fasta	M00129	14.29	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00103,K00963,K01053,K01195
1_binette_bin5.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699	K00002,K00012,K00854,K01195,K03331,K05351,K13247
1_binette_bin53.fasta	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
1_binette_bin53.fasta	M00082	100.0	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00665,K11262	
1_binette_bin53.fasta	M00083	100.0	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00665	
1_binette_bin53.fasta	M00086	100.0	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01897	
1_binette_bin53.fasta	M00579	100.0	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules; Energy metabolism; Carbon fixation	K00925,K13788	
1_binette_bin53.fasta	M00135	66.67	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K00128,K00274	K00657
1_binette_bin53.fasta	M00002	60.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00873,K00927,K15633	K01689,K01803
1_binette_bin53.fasta	M00003	57.14	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00927,K01596,K15633	K01623,K01689,K01803,K03841
1_binette_bin53.fasta	M00001	55.56	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00844,K00873,K00927,K01810,K15633	K00850,K01623,K01689,K01803
1_binette_bin53.fasta	M00015	50.0	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00286	K00147,K00931
1_binette_bin53.fasta	M00089	50.0	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K01080,K13517	K00629,K11155
1_binette_bin53.fasta	M00098	50.0	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	K12298	K01054
1_binette_bin53.fasta	M00169	50.0	CAM (Crassulacean acid metabolism), light	Pathway modules; Energy metabolism; Carbon fixation	K00029	K01006
1_binette_bin53.fasta	M00415	50.0	Fatty acid elongation in endoplasmic reticulum	Pathway modules; Lipid metabolism; Fatty acid metabolism	K10247,K10251	K10258,K10703
1_binette_bin53.fasta	M00881	50.0	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K03801
1_binette_bin53.fasta	M00882	50.0	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K23735
1_binette_bin53.fasta	M00884	50.0	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K23750
1_binette_bin53.fasta	M00885	44.44	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00645,K02078	K11263,K11608,K11609,K11610,K11611,K18472,K27689
1_binette_bin53.fasta	M00886	44.44	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00645,K02078	K11263,K11608,K11609,K11610,K11611,K18472,K27070,K27071,K27072,K27073
1_binette_bin53.fasta	M00121	40.0	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01599,K01749,K01772,K01885	K00228,K00230,K01698,K01719,K01845,K02492
1_binette_bin53.fasta	M00552	40.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00134,K00927	K00883,K01631,K01684
1_binette_bin53.fasta	M00868	37.5	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01599,K01749,K01772	K00228,K00231,K00643,K01698,K01719
1_binette_bin53.fasta	M00010	33.33	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01681	K00031,K01647
1_binette_bin53.fasta	M00046	33.33	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01464	K00207,K01431
1_binette_bin53.fasta	M00047	33.33	Creatine pathway	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00933	K00542,K00613
1_binette_bin53.fasta	M00087	33.33	beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00249	K00022,K00632,K01692
1_binette_bin53.fasta	M00120	33.33	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K09680	K01598,K01922,K02318
1_binette_bin53.fasta	M00128	33.33	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00591	K06125,K06126,K06127,K06134
1_binette_bin53.fasta	M00133	33.33	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K00797	K01480,K01584,K01611
1_binette_bin53.fasta	M00367	33.33	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00787	K00804,K01823
