,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
0,3_binette_bin197.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
1,2_binette_bin219.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
2,2_binette_bin90.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
3,2_binette_bin83.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
4,3_binette_bin176.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
5,3_binette_bin6.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
6,3_binette_bin82.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
7,2_binette_bin195.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
8,3_binette_bin180.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
9,3_binette_bin123.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
10,4_binette_bin18.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
11,4_binette_bin121.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
12,3_binette_bin52.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
13,8_binette_bin79.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
14,3_binette_bin66.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
15,3_binette_bin216.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
16,3_binette_bin208.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
17,7_binette_bin70.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
18,2_binette_bin67.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
19,2_binette_bin199.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
20,1_binette_bin47.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
21,2_binette_bin198.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
22,7_binette_bin78.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
23,2_binette_bin12.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
24,3_binette_bin51.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
25,3_binette_bin75.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
26,3_binette_bin59.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
27,3_binette_bin198.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
28,3_binette_bin50.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
29,3_binette_bin38.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
30,3_binette_bin211.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
31,2_binette_bin211.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
32,3_binette_bin116.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
33,8_binette_bin85.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
34,3_binette_bin56.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
35,2_binette_bin70.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
36,4_binette_bin6.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
37,2_binette_bin35.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
38,4_binette_bin138.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
39,4_binette_bin1.fasta.fasta,1.0,649638,332249,332248,332247,2762275,188787,1297,2,Truepera radiovictrix DSM 17093
40,3_binette_bin159.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
41,3_binette_bin193.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
42,3_binette_bin10.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
43,8_binette_bin71.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
44,3_binette_bin143.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
45,3_binette_bin4.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
46,2_binette_bin190.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
47,3_binette_bin69.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
48,3_binette_bin238.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
49,7_binette_bin3.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
50,3_binette_bin161.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
51,3_binette_bin128.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
52,8_binette_bin83.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
53,3_binette_bin125.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
54,2_binette_bin110.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
55,7_binette_bin8.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
56,4_binette_bin8.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
57,3_binette_bin19.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
58,2_binette_bin93.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
59,2_binette_bin44.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
60,2_binette_bin210.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
61,2_binette_bin41.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
62,3_binette_bin231.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
63,3_binette_bin32.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
64,3_binette_bin96.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
65,2_binette_bin84.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
66,2_binette_bin186.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
67,2_binette_bin76.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
68,2_binette_bin23.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
69,2_binette_bin95.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
70,2_binette_bin46.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
71,1_binette_bin56.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
72,7_binette_bin18.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
73,7_binette_bin66.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
74,3_binette_bin160.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
75,1_binette_bin2.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
76,4_binette_bin128.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
77,7_binette_bin9.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
78,8_binette_bin88.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
79,2_binette_bin9.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
80,4_binette_bin135.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
81,2_binette_bin182.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
82,2_binette_bin193.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
83,2_binette_bin52.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
84,2_binette_bin55.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
85,3_binette_bin228.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
86,3_binette_bin29.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
87,2_binette_bin24.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
88,3_binette_bin43.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
89,2_binette_bin89.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
90,7_binette_bin67.fasta.fasta,0.0003237293622531564,1490030,1490030,265,31989,204455,28211,1224,2,Paracoccus lutimaris
91,2_binette_bin108.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
92,2_binette_bin2.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
93,3_binette_bin150.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
