Genome	SRR22878283.fastq Relative Abundance (%)
unmapped	63.900536
SRR22878281.fastq_bin_1030637	0
SRR22878281.fastq_bin_1047037	0.009928763
SRR22878281.fastq_bin_1048668	0
SRR22878281.fastq_bin_1065179	0
SRR22878281.fastq_bin_1069559	0
SRR22878281.fastq_bin_1070024	0
SRR22878281.fastq_bin_1078928	0.0052381614
SRR22878281.fastq_bin_1177133	0
SRR22878281.fastq_bin_1190068	0.014216178
SRR22878281.fastq_bin_1223417	0
SRR22878281.fastq_bin_1272423	0.01512928
SRR22878281.fastq_bin_1299134	0
SRR22878281.fastq_bin_1315445	0.13054536
SRR22878281.fastq_bin_1318659	0
SRR22878281.fastq_bin_1327645	0
SRR22878281.fastq_bin_1330403	0.009100302
SRR22878281.fastq_bin_1348881	0.046155784
SRR22878281.fastq_bin_1355362	0.020655349
SRR22878281.fastq_bin_1360208	0.045819905
SRR22878281.fastq_bin_1380972	0
SRR22878281.fastq_bin_1406449	0
SRR22878281.fastq_bin_1415033	0
SRR22878281.fastq_bin_1437311	0
SRR22878281.fastq_bin_1475309	0
SRR22878281.fastq_bin_1479957	0
SRR22878281.fastq_bin_1483024	0
SRR22878281.fastq_bin_1505020	0
SRR22878281.fastq_bin_1506086	0
SRR22878281.fastq_bin_1524409	0.0059991074
SRR22878281.fastq_bin_1532639	0.034833368
SRR22878281.fastq_bin_1633526	0.009334989
SRR22878281.fastq_bin_1641228	0
SRR22878281.fastq_bin_1700770	0
SRR22878281.fastq_bin_1734399	0
SRR22878281.fastq_bin_1837401	0
SRR22878281.fastq_bin_1874621	0.00778561
SRR22878281.fastq_bin_1875330	0.009061471
SRR22878281.fastq_bin_1885024	0.10577517
SRR22878281.fastq_bin_1944003	0.033023387
SRR22878281.fastq_bin_1964116	0.22732975
SRR22878281.fastq_bin_2009255	0
SRR22878281.fastq_bin_2019818	0
SRR22878281.fastq_bin_2040905	0.003615983
SRR22878281.fastq_bin_2069221	0
SRR22878281.fastq_bin_2091047	0.015535827
SRR22878281.fastq_bin_2104421	0
SRR22878281.fastq_bin_2115589	0
SRR22878281.fastq_bin_2131671	0.0061085443
SRR22878281.fastq_bin_2147531	0
SRR22878281.fastq_bin_2694	0.09061662
SRR22878281.fastq_bin_34384	0.0053943796
SRR22878281.fastq_bin_3891	0.0140720345
SRR22878281.fastq_bin_47153	0.018522413
SRR22878281.fastq_bin_6555	0
SRR22878281.fastq_bin_681284	0.010149484
