task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	02/c261d1	54726429	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_1)	CACHED	0	2025-10-08 10:54:04.806	3m 27s	2m 55s	320.7%	213.3 MB	2.6 GB	14.6 GB	14.2 GB
1	16/8f7168	54726423	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_0)	CACHED	0	2025-10-08 10:54:04.203	2m 47s	2m 30s	105.1%	8.6 MB	441 MB	1.4 GB	1.4 GB
13	cc/316487	54726432	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_2)	CACHED	0	2025-10-08 10:54:05.093	2m 46s	2m 15s	105.2%	7.9 MB	441 MB	1.3 GB	1.2 GB
14	7d/26c8ea	54726430	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_3)	CACHED	0	2025-10-08 10:54:04.905	2m 47s	2m 28s	105.2%	8.2 MB	441 MB	1.4 GB	1.4 GB
4	d7/fc92ee	54726425	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_2)	CACHED	0	2025-10-08 10:54:04.417	3m 27s	3m 4s	309.3%	275.9 MB	2.6 GB	14.7 GB	14.2 GB
6	db/0d3bda	54726434	GGP:FASTQC_BEFORE (sample_runs_0)	CACHED	0	2025-10-08 10:54:05.312	6m 6s	5m 22s	100.1%	3.3 GB	63.6 GB	4.8 GB	1.6 MB
5	ee/6f9b32	54726428	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_1)	CACHED	0	2025-10-08 10:54:04.721	2m 47s	2m 20s	105.2%	8.2 MB	441 MB	1.3 GB	1.3 GB
2	fc/018cf4	54726427	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_0)	CACHED	0	2025-10-08 10:54:04.633	4m 37s	3m 40s	306.5%	272.1 MB	2.6 GB	14.7 GB	14.2 GB
11	ac/a9f7bd	54726426	GGP:FASTQC_BEFORE (sample_runs_3)	CACHED	0	2025-10-08 10:54:04.526	4m 37s	4m 10s	100.8%	3.6 GB	63.6 GB	4.8 GB	1.7 MB
9	9a/de8640	54726424	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_3)	CACHED	0	2025-10-08 10:54:04.299	3m 57s	3m 43s	310.5%	217.1 MB	2.6 GB	14.7 GB	14.2 GB
8	c6/a980f2	54726422	GGP:FASTQC_BEFORE (sample_runs_2)	CACHED	0	2025-10-08 10:54:04.110	5m 47s	5m 20s	99.8%	3.6 GB	63.7 GB	4.8 GB	1.7 MB
7	f2/6797f8	54726431	GGP:FASTQC_BEFORE (sample_runs_1)	CACHED	0	2025-10-08 10:54:04.979	5m 6s	4m 55s	98.7%	3.4 GB	63.6 GB	4.8 GB	1.6 MB
15	d2/a1a016	54726436	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_4)	CACHED	0	2025-10-08 10:54:05.522	3m 26s	2m 49s	105.0%	8.2 MB	441 MB	1.4 GB	1.4 GB
22	86/2b877c	54726445	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_5)	CACHED	0	2025-10-08 10:54:06.334	2m 45s	2m 17s	104.8%	8.2 MB	441 MB	1.4 GB	1.3 GB
10	09/2facbf	54726437	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_4)	CACHED	0	2025-10-08 10:54:05.647	3m 26s	3m 2s	308.6%	275.9 MB	2.6 GB	14.7 GB	14.2 GB
29	46/c7e1e9	54726450	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_8)	CACHED	0	2025-10-08 10:54:06.701	2m 45s	2m 6s	105.4%	8.6 MB	441 MB	1.2 GB	1.2 GB
30	aa/0286e3	54726990	GGP:GUNZIP_ASSEMBLY (sample_runs_2)	CACHED	0	2025-10-08 10:57:31.605	9.8s	6.9s	60.3%	5.6 MB	435.2 MB	343.5 MB	723.2 MB
23	b8/7aa7d0	54726441	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_7)	CACHED	0	2025-10-08 10:54:06.049	3m 55s	3m 35s	308.3%	215.3 MB	2.6 GB	14.7 GB	14.2 GB
28	9e/99e835	54726442	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_7)	CACHED	0	2025-10-08 10:54:06.152	2m 45s	2m 21s	105.1%	8.2 MB	441 MB	1.3 GB	1.3 GB
17	7e/740833	54726435	GGP:PROCESS_INPUT:ERR_TO_ERZ (sample_runs_5)	CACHED	0	2025-10-08 10:54:05.437	3m 56s	3m 38s	304.5%	221.3 MB	2.6 GB	14.7 GB	14.2 GB
24	97/c7c487	54726443	GGP:PROCESS_INPUT:MODIFY_CONTIGS (sample_runs_6)	CACHED	0	2025-10-08 10:54:06.234	2m 45s	2m 18s	105.2%	8.6 MB	441 MB	1.3 GB	1.3 GB
33	66/a94f7d	54726995	GGP:GUNZIP_ASSEMBLY (sample_runs_1)	CACHED	0	2025-10-08 10:57:31.799	9.6s	6.5s	67.1%	5.6 MB	435.2 MB	355.2 MB	748.3 MB
