contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERR9966616_bin_138.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
ERR9966616_bin_138.fasta	M00368	33.33	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K05933	K00789,K01762
ERR9966616_bin_138.fasta	M00549	33.33	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00844,K01835
ERR9966616_bin_138.fasta	M00987	33.33	Assimilatory sulfate reduction, plants, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	K13811	K00392,K05907
ERR9966616_bin_138.fasta	M00371	16.67	Castasterone biosynthesis, campesterol => castasterone	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	K20623	K09587,K09588,K09590,K09591,K12637
ERR9966616_bin_138.fasta	M00082	12.5	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01962	K00665,K01961,K01963,K02160
ERR9966616_bin_138.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00002,K00012,K00854,K03331,K05351,K13247,K16190
ERR9966616_bin_138.fasta	M00376	1.39	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	K01962	K00239,K00240,K00241,K01679,K01847,K01961,K01963,K02160,K05606,K08691,K09709,K14449,K14468,K14469,K14470,K14471,K14472,K15052
ERR9966616_bin_168.fasta	M00081	100.0	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01051,K01184,K01213	
ERR9966616_bin_168.fasta	M00142	100.0	NADH	Pathway modules; Energy metabolism; ATP synthesis	K03878,K03879,K03880,K03881,K03882,K03883,K03884	
ERR9966616_bin_168.fasta	M00161	100.0	Photosystem II	Pathway modules; Energy metabolism; Photosynthesis	K02703,K02704,K02705,K02706,K02707,K02708	
ERR9966616_bin_168.fasta	M00082	50.0	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11262	K00665
ERR9966616_bin_168.fasta	M00157	50.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02111,K02112,K02114	K02109,K02110,K02113,K02115
ERR9966616_bin_168.fasta	M00580	50.0	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01807	K08093,K08094
ERR9966616_bin_168.fasta	M00145	45.45	NAD(P)H	Pathway modules; Energy metabolism; ATP synthesis	K05572,K05573,K05574,K05579,K05582	K05575,K05576,K05577,K05578,K05580,K05581
ERR9966616_bin_168.fasta	M00162	37.5	Cytochrome b6f complex	Pathway modules; Energy metabolism; ATP synthesis	K02634,K02635,K02637	K02636,K02640,K02642,K02643,K03689
ERR9966616_bin_168.fasta	M00110	33.33	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K07434
ERR9966616_bin_168.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
ERR9966616_bin_168.fasta	M00307	33.33	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00627	K00163,K00382
ERR9966616_bin_168.fasta	M00368	33.33	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K05933	K00789,K01762
ERR9966616_bin_168.fasta	M00549	33.33	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00844,K01835
ERR9966616_bin_168.fasta	M00987	33.33	Assimilatory sulfate reduction, plants, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	K13811	K00392,K05907
ERR9966616_bin_168.fasta	M00007	25.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01807	K00615,K00616,K01783
ERR9966616_bin_168.fasta	M00089	25.0	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K13513	K00629,K01080,K11155
ERR9966616_bin_168.fasta	M00109	25.0	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00497,K00513,K15680
ERR9966616_bin_168.fasta	M00151	25.0	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413
ERR9966616_bin_168.fasta	M00415	25.0	Fatty acid elongation in endoplasmic reticulum	Pathway modules; Lipid metabolism; Fatty acid metabolism	K15397	K10251,K10258,K10703
ERR9966616_bin_168.fasta	M00959	25.0	Guanine ribonucleotide degradation, GMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	K03787	K00106,K01487,K03783
ERR9966616_bin_168.fasta	M00976	25.0	C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K04119,K12343
ERR9966616_bin_168.fasta	M00126	20.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K13998	K01077,K01495,K11754,K13939
ERR9966616_bin_168.fasta	M00154	20.0	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	K02256,K02261,K02262	K02257,K02258,K02259,K02260,K02263,K02264,K02265,K02266,K02267,K02268,K02270,K02272
ERR9966616_bin_168.fasta	M00372	20.0	Abscisic acid biosynthesis, beta-carotene => abscisic acid	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	K09842	K09838,K09840,K09841,K15746
ERR9966616_bin_168.fasta	M00841	20.0	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K13998	K01495,K11754,K13941,K22101
ERR9966616_bin_168.fasta	M00938	20.0	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K13998	K00525,K00526,K00940,K00943,K01520
ERR9966616_bin_168.fasta	M00977	20.0	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K04119,K12343,K13369
ERR9966616_bin_168.fasta	M00004	16.67	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01807	K00033,K00615,K00616,K01783,K01810,K13937
ERR9966616_bin_168.fasta	M00163	16.67	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	K02689	K02690,K02691,K02692,K02693,K02694
ERR9966616_bin_168.fasta	M00874	16.67	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules; Lipid metabolism; Fatty acid metabolism	K11262	K00059,K00645,K03955,K07512,K09458,K22541
ERR9966616_bin_168.fasta	M00958	16.67	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules; Nucleotide metabolism; Purine metabolism	K03787	K00106,K01490,K03783
ERR9966616_bin_168.fasta	M00932	14.29	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K14760	K01661,K02549,K02551,K02552,K08680,K17872,K19222,K23094,K23095
ERR9966616_bin_168.fasta	M00158	13.33	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	K02126,K02128	K02125,K02127,K02129,K02130,K02132,K02133,K02134,K02135,K02136,K02137,K02138,K02140,K02141
ERR9966616_bin_168.fasta	M00143	10.0	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03935	K03934,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943
ERR9966616_bin_168.fasta	M00152	10.0	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420
ERR9966616_bin_168.fasta	M00165	9.09	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K01807	K00615,K00855,K00927,K01100,K01601,K01623,K01783,K01803,K03841,K05298
ERR9966616_bin_168.fasta	M00014	7.14	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K12447	K00002,K00012,K00854,K03331,K05351,K13247,K16190
ERR9966616_bin_168.fasta	M00532	5.56	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K11517	K00281,K00382,K00600,K00605,K00830,K01601,K02437,K03781,K14272,K15893,K15918,K19269
ERR9966616_bin_17.fasta	M00132	33.33	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572
ERR9966616_bin_17.fasta	M00002	20.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00873	K00134,K00927,K01689,K01803,K01834
ERR9966616_bin_17.fasta	M00371	16.67	Castasterone biosynthesis, campesterol => castasterone	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	K20623	K09587,K09588,K09590,K09591,K12637
ERR9966616_bin_17.fasta	M00001	11.11	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00873	K00134,K00844,K00850,K00927,K01623,K01689,K01803,K01810,K01834
