Genome	DE04NGSUKBD140741Dm	DE05NGSUKBD140723Sc	DE10NGSUKBD140730Sc	DE15NGSUKBD140737Dm	DE16NGSUKBD140719Sc	DE20NGSUKBD140744Dm	DE21NGSUKBD140726Sc	DE26NGSUKBD140733Dm	DE31NGSUKBD140740Dm	DE32NGSUKBD140722Sc	DE37NGSUKBD140729Sc	DE42NGSUKBD140736Dm	DE47NGSUKBD140743Dm	DE48NGSUKBD140725Sc	DE53NGSUKBD140732Sc	DE58NGSUKBD140739Dm	DE59NGSUKBD140721Sc	DE63NGSUKBD140746Dm	DE64NGSUKBD140728Sc	DE69NGSUKBD140735Dm	DE74NGSUKBD140742Dm	DE75NGSUKBD140724Sc	DE80NGSUKBD140731Sc	DE85NGSUKBD140738Dm	DE86NGSUKBD140720Sc	DE90NGSUKBD140745Dm	DE91NGSUKBD140727Sc	DE96NGSUKBD140734Dm
DE04NGSUKBD140741Dm_binette_bin1	0.5245553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06757245
DE04NGSUKBD140741Dm_binette_bin10	0.8378219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23446195
DE04NGSUKBD140741Dm_binette_bin11	0.74523056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30988532
DE04NGSUKBD140741Dm_binette_bin12	0.37368345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin13	0.8397657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin14	3.2738588	0.0	0.0	8.99733	0.0	5.671011	0.0	0.0	5.647227	0.0	0.0	0.0	5.151724	0.0	0.0	8.6048155	0.0	3.9946012	0.0	0.0	5.4470468	0.0	0.0	9.255982	0.0	2.327025	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin15	2.5497959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29967427
DE04NGSUKBD140741Dm_binette_bin16	0.34541154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin17	0.4516175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin18	1.1277852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28495148
DE04NGSUKBD140741Dm_binette_bin19	0.332308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin2	1.5784134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81713015
DE04NGSUKBD140741Dm_binette_bin20	0.28396073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin21	1.3370675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin22	0.56640404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DE04NGSUKBD140741Dm_binette_bin23	0.423643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081384815
