contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00001	100.0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00845,K00850,K00873,K00927,K01624,K01689,K01803,K01810,K15633	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00002	100.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00873,K00927,K01689,K01803,K15633	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00015	100.0	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00147,K00286,K00931	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00019	100.0	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00053,K00826,K01652,K01653,K01687	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00021	100.0	Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00640,K01738	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00023	100.0	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K01695,K01696,K13497,K13498	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00026	100.0	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	K00013,K00765,K00817,K01496,K01523,K01693,K01814,K02500,K02501,K02502,K05602	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00048	100.0	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00602,K00764,K01756,K01923,K01933,K01945,K01952,K11175	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00082	100.0	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00645,K00648,K01961,K01962,K01963,K02160	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00083	100.0	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00059,K00208,K02372,K09458	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00086	100.0	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01897	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00115	100.0	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00278,K00767,K00969,K01916,K03517	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00120	100.0	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00859,K00954,K03525,K13038	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00123	100.0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652,K00833,K01012,K01935	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00307	100.0	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00169,K00170,K00171,K00172	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00432	100.0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00052,K01649,K01703,K01704	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00527	100.0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00928,K01586,K01714,K01778,K10206	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00549	100.0	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00845,K00963,K01835	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00572	100.0	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00059,K00208,K02169,K02170,K02372,K09458	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00577	100.0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652,K00833,K01012,K01906,K01935	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00579	100.0	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules; Energy metabolism; Carbon fixation	K00625,K00925	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00621	100.0	Glycine cleavage system	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00282,K00283,K00382,K00605	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00793	100.0	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	K00067,K00973,K01710,K01790	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00844	100.0	Arginine biosynthesis, ornithine => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00611,K01755,K01940	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00855	100.0	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00688,K00705,K01835,K02438	
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00051	94.44	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00226,K00609,K01465,K01955,K01956,K13421	K00610
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00022	93.75	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K00800,K01735,K01736,K03786,K03856,K13829	K00014
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00125	88.89	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00793,K00794,K11752,K11753,K14652	K22912
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00096	87.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00099,K00919,K00991,K01662,K01770,K03526,K03527	K01823
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00157	87.5	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02109,K02110,K02111,K02112,K02113,K02115	K02114
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00017	85.71	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00003,K00133,K00548,K00641,K00928,K01739	K01760
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00526	83.33	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00133,K00215,K00928,K01586,K01714	K03340
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00846	83.33	Siroheme biosynthesis, glutamyl-tRNA => siroheme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01698,K01845,K02303,K02304,K02492,K13542	K01749
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00978	83.33	Ornithine-ammonia cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00611,K01755,K01915,K01940,K01955,K01956	K27542
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00018	80.0	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00003,K00133,K00928,K01733	K00872
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00570	80.0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00053,K00826,K01652,K01653,K01687	K17989
DE04NGSUKBD140741Dm_binette_bin1.fasta	M00909	80.0	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00820,K00845,K01810,K03431	K04042
