contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
SRR22878281.fastq_bin_1030637.fasta	M00001	100.0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00845,K00873,K00927,K01623,K01689,K01803,K01810,K15633,K21071	
SRR22878281.fastq_bin_1030637.fasta	M00002	100.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00873,K00927,K01689,K01803,K15633	
SRR22878281.fastq_bin_1030637.fasta	M00003	100.0	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00134,K00927,K01610,K01623,K01689,K01803,K02446,K15633	
SRR22878281.fastq_bin_1030637.fasta	M00004	100.0	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00033,K00036,K00615,K00616,K01057,K01783,K01808,K01810	
SRR22878281.fastq_bin_1030637.fasta	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
SRR22878281.fastq_bin_1030637.fasta	M00006	100.0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00033,K00036,K01057	
SRR22878281.fastq_bin_1030637.fasta	M00007	100.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615,K00616,K01783,K01808	
SRR22878281.fastq_bin_1030637.fasta	M00009	100.0	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00024,K00031,K00164,K00239,K00240,K00241,K00382,K00658,K01647,K01676,K01681,K01902,K01903	
SRR22878281.fastq_bin_1030637.fasta	M00010	100.0	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00031,K01647,K01681	
SRR22878281.fastq_bin_1030637.fasta	M00011	100.0	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00024,K00164,K00239,K00240,K00241,K00382,K00658,K01676,K01902,K01903	
