	Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	source_dataset	collection	tag
0	SemiBin_0	13.27	0.53	Neural Network (Specific Model)	11	0.881	3353	294.2596685082873	723179	0.57	724	208	10963		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
1	SemiBin_10	70.8	10.21	Neural Network (Specific Model)	11	0.875	7048	292.2509316770186	2415562	0.34	2415	376	40559		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
2	SemiBin_11	72.71	34.25	Neural Network (Specific Model)	11	0.838	4719	278.59503276992064	2887137	0.46	2899	615	31365		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
3	SemiBin_14	16.93	0.01	Neural Network (Specific Model)	11	0.853	3336	248.67225325884544	469014	0.46	537	138	7827		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
4	SemiBin_18	4.42	0.11	Neural Network (Specific Model)	11	0.742	5886	256.3963133640553	224649	0.4	217	41	17592		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
5	SemiBin_25	11.64	0.02	Neural Network (Specific Model)	11	0.821	3952	237.9692307692308	507745	0.41	585	131	32118		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
6	SemiBin_26	6.6	0.0	Neural Network (Specific Model)	11	0.786	4618	273.5560975609756	213783	0.35	205	50	9408		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
7	SemiBin_27	68.42	8.58	Neural Network (Specific Model)	11	0.875	5590	279.1412289395441	1928684	0.34	2018	373	23767		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
8	SemiBin_30	4.57	0.01	Neural Network (Specific Model)	4	0.811	4247	237.9114391143912	236749	0.51	271	57	8995		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
9	SemiBin_33	56.24	4.8	Neural Network (Specific Model)	11	0.816	15233	285.7984934086629	1670606	0.45	1593	168	84597		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
10	SemiBin_38	72.66	1.29	Neural Network (Specific Model)	11	0.862	7252	287.5817157169693	1596253	0.43	1597	263	21261		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
11	SemiBin_39	6.39	0.01	Neural Network (Specific Model)	11	0.886	164069	271.29296875	234847	0.4	256	9	164069		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
12	SemiBin_4	82.68	31.08	Neural Network (Specific Model)	11	0.902	6092	285.8730991085475	1810073	0.37	1907	331	39661		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
13	SemiBin_42	7.81	0.0	Neural Network (Specific Model)	11	0.891	7061	261.9098712446352	204962	0.35	233	29	14066		SRR24759596	checkm2 on collection 41: Quality report	semibin-single-sample-binning
