user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
DE04NGSUKBD140741Dm_binette_bin1.fasta	d__Bacteria;p__Margulisbacteria;c__Termititenacia;o__Termititenacales;f__Termititenacaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Margulisbacteria;c__Termititenacia;o__Termititenacales;f__Termititenacaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.81	11	0.86647	N/A
DE04NGSUKBD140741Dm_binette_bin10.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__WQXQ01 sp031257385	GCA_031257385.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__WQXQ01 sp031257385	98.67	0.739	GCA_031257385.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__WQXQ01 sp031257385	98.67	0.739	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_031279635.1, s__WQXQ01 sp031279635, 95.0, 86.81, 0.247; GCA_031270205.1, s__WQXQ01 sp031270205, 95.0, 86.14, 0.246	66.36	11	N/A	N/A
DE04NGSUKBD140741Dm_binette_bin11.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRLK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRLK01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031259515.1, s__JAIRLK01 sp031259515, 95.0, 88.91, 0.322; GCA_031278025.1, s__JAIRLK01 sp031278025, 95.0, 87.9, 0.191	69.22	11	0.96578	N/A
DE04NGSUKBD140741Dm_binette_bin12.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIROH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257595.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIROH01;s__JAIROH01 sp031257595	90.98	0.165	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIROH01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	57.3	11	0.97071	N/A
DE04NGSUKBD140741Dm_binette_bin13.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__	N/A	N/A	N/A	N/A	N/A	GCA_031258135.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__Bacteroides_H sp031258135	96.5	0.642	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031259755.1, s__Bacteroides_H sp031259755, 95.0, 84.12, 0.212	57.72	11	0.99585	N/A
DE04NGSUKBD140741Dm_binette_bin14.fasta	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_031282525.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__Endomicrobium_A sp031282525	94.21	0.66	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	67.94	11	0.98661	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
DE04NGSUKBD140741Dm_binette_bin15.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031258615.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__JAIRMY01 sp031258615	92.86	0.359	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	56.92	11	0.98678	N/A
DE04NGSUKBD140741Dm_binette_bin16.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__JAIRKS01 sp031257615	94.98	0.599	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	54.84	11	0.99504	N/A
DE04NGSUKBD140741Dm_binette_bin17.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAIRKX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257455.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAIRKX01;s__JAIRKX01 sp031257455	98.12	0.462	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAIRKX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031278495.1, s__JAIRKX01 sp031278495, 95.0, 88.69, 0.152	51.6	11	0.99454	N/A
DE04NGSUKBD140741Dm_binette_bin18.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRNN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257995.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRNN01;s__JAIRNN01 sp031257995	96.97	0.538	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRNN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	59.6	11	0.99197	Genome has more than 11.7% of markers with multiple hits
