,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
0,SRR22878282_binette_bin75.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
1,SRR22878283_binette_bin21.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
2,SRR22878282_binette_bin125.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
3,SRR22878282_binette_bin96.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
4,SRR22878283_binette_bin13.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
5,SRR22878282_binette_bin110.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
6,SRR22878281_binette_bin224.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
7,SRR22878281_binette_bin256.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
8,SRR22878281_binette_bin92.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
9,SRR22878281_binette_bin23.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
10,SRR22878282_binette_bin53.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
11,SRR22878283_binette_bin130.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
12,SRR22878281_binette_bin100.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
13,SRR22878281_binette_bin203.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
14,SRR22878281_binette_bin235.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
15,SRR22878281_binette_bin48.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
16,SRR22878281_binette_bin117.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
17,SRR22878281_binette_bin91.fasta.fasta,0.019027484143763214,3429813,60137,60136,2854170,204455,28211,1224,2,Sulfitobacter pontiacus
18,SRR22878282_binette_bin195.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
19,SRR22878283_binette_bin88.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
20,SRR22878281_binette_bin160.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
21,SRR22878282_binette_bin64.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
22,SRR22878282_binette_bin172.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
23,SRR22878281_binette_bin180.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
24,SRR22878283_binette_bin106.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
25,SRR22878283_binette_bin23.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
26,SRR22878281_binette_bin101.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
27,SRR22878282_binette_bin33.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
28,SRR22878283_binette_bin50.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
29,SRR22878281_binette_bin213.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
30,SRR22878281_binette_bin107.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
31,SRR22878283_binette_bin8.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
32,SRR22878283_binette_bin72.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
33,SRR22878282_binette_bin77.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
34,SRR22878281_binette_bin254.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
35,SRR22878282_binette_bin57.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
36,SRR22878281_binette_bin196.fasta.fasta,0.012086513994910942,3093854,3093854,252356,49546,200644,117743,976,2,Maribacter sp. R86514
37,SRR22878282_binette_bin113.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
38,SRR22878283_binette_bin216.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
39,SRR22878281_binette_bin13.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
40,SRR22878283_binette_bin114.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
41,SRR22878283_binette_bin9.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
42,SRR22878281_binette_bin276.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
43,SRR22878282_binette_bin34.fasta.fasta,0.11952191235059761,3434094,174713,104267,49546,200644,117743,976,2,uncultured Tenacibaculum sp.
44,SRR22878281_binette_bin108.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
45,SRR22878282_binette_bin115.fasta.fasta,0.029064486830154404,3032586,3032586,112040,49546,200644,117743,976,2,Zobellia alginiliquefaciens
46,SRR22878281_binette_bin184.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
47,SRR22878281_binette_bin227.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
48,SRR22878283_binette_bin109.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
49,SRR22878281_binette_bin119.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
50,SRR22878283_binette_bin135.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
51,SRR22878283_binette_bin112.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
52,SRR22878283_binette_bin226.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
53,SRR22878283_binette_bin231.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
