genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
2_binette_bin16.fasta,1_0,0.050000000000000044,average,ANImf,1
2_binette_bin76.fasta,2_0,0.050000000000000044,average,ANImf,2
2_binette_bin110.fasta,3_0,0.050000000000000044,average,ANImf,3
2_binette_bin53.fasta,4_0,0.050000000000000044,average,ANImf,4
2_binette_bin15.fasta,5_0,0.050000000000000044,average,ANImf,5
2_binette_bin55.fasta,6_0,0.050000000000000044,average,ANImf,6
2_binette_bin191.fasta,7_0,0.050000000000000044,average,ANImf,7
2_binette_bin95.fasta,8_0,0.050000000000000044,average,ANImf,8
2_binette_bin201.fasta,9_0,0.050000000000000044,average,ANImf,9
2_binette_bin4.fasta,10_0,0.050000000000000044,average,ANImf,10
2_binette_bin69.fasta,11_0,0.050000000000000044,average,ANImf,11
2_binette_bin34.fasta,12_0,0.050000000000000044,average,ANImf,12
2_binette_bin18.fasta,13_0,0.050000000000000044,average,ANImf,13
2_binette_bin22.fasta,14_0,0.050000000000000044,average,ANImf,14
2_binette_bin88.fasta,15_0,0.050000000000000044,average,ANImf,15
2_binette_bin43.fasta,16_0,0.050000000000000044,average,ANImf,16
4_binette_bin19.fasta,17_0,0.050000000000000044,average,ANImf,17
2_binette_bin41.fasta,18_0,0.050000000000000044,average,ANImf,18
2_binette_bin68.fasta,19_0,0.050000000000000044,average,ANImf,19
2_binette_bin12.fasta,20_0,0.050000000000000044,average,ANImf,20
2_binette_bin31.fasta,21_0,0.050000000000000044,average,ANImf,21
2_binette_bin208.fasta,22_0,0.050000000000000044,average,ANImf,22
2_binette_bin11.fasta,23_1,0.050000000000000044,average,ANImf,23
2_binette_bin24.fasta,23_2,0.050000000000000044,average,ANImf,23
2_binette_bin91.fasta,24_0,0.050000000000000044,average,ANImf,24
2_binette_bin97.fasta,25_0,0.050000000000000044,average,ANImf,25
2_binette_bin51.fasta,26_0,0.050000000000000044,average,ANImf,26
2_binette_bin209.fasta,27_0,0.050000000000000044,average,ANImf,27
2_binette_bin64.fasta,28_0,0.050000000000000044,average,ANImf,28
2_binette_bin52.fasta,29_0,0.050000000000000044,average,ANImf,29
2_binette_bin84.fasta,30_0,0.050000000000000044,average,ANImf,30
2_binette_bin74.fasta,31_0,0.050000000000000044,average,ANImf,31
