Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SRR24759596_binette_bin14.fasta	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	24.14	0.00	0.00
SRR24759596_binette_bin16.fasta	root (UID1)	5656	56	24	55	1	0	0	0	0	1.04	0.00	0.00
SRR24759596_binette_bin17.fasta	f__Bifidobacteriaceae (UID1458)	77	464	220	393	61	8	1	1	0	15.20	2.58	76.47
SRR24759596_binette_bin18.fasta	k__Bacteria (UID203)	5449	104	58	83	18	2	1	0	0	30.52	6.90	100.00
SRR24759596_binette_bin19.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin20.fasta	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	15.52	0.00	0.00
SRR24759596_binette_bin22.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin23.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin27.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin28.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin33.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759596_binette_bin58.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin1.fasta	c__Gammaproteobacteria (UID4387)	965	277	177	6	269	2	0	0	0	97.46	0.85	50.00
SRR24759597_binette_bin23.fasta	k__Bacteria (UID203)	5449	104	58	90	13	1	0	0	0	16.18	1.72	100.00
SRR24759597_binette_bin26.fasta	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	7.47	0.00	0.00
SRR24759597_binette_bin27.fasta	k__Bacteria (UID203)	5449	104	58	83	20	1	0	0	0	32.76	1.72	100.00
SRR24759597_binette_bin28.fasta	k__Bacteria (UID203)	5449	104	58	95	7	2	0	0	0	14.66	3.45	100.00
SRR24759597_binette_bin29.fasta	k__Bacteria (UID203)	5449	104	58	99	4	1	0	0	0	7.76	1.72	100.00
SRR24759597_binette_bin32.fasta	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	3.92	0.00	0.00
SRR24759597_binette_bin33.fasta	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
SRR24759597_binette_bin34.fasta	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.34	0.00	0.00
SRR24759597_binette_bin35.fasta	k__Bacteria (UID203)	5449	104	58	85	18	1	0	0	0	27.59	1.72	100.00
SRR24759597_binette_bin36.fasta	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
SRR24759597_binette_bin37.fasta	k__Bacteria (UID203)	5449	104	58	91	12	1	0	0	0	10.27	1.72	0.00
SRR24759597_binette_bin39.fasta	k__Bacteria (UID203)	5449	104	58	88	12	4	0	0	0	22.41	3.45	100.00
SRR24759597_binette_bin42.fasta	k__Bacteria (UID203)	5449	104	58	95	8	1	0	0	0	14.66	1.72	100.00
SRR24759597_binette_bin44.fasta	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
SRR24759597_binette_bin45.fasta	k__Bacteria (UID203)	5449	103	57	96	7	0	0	0	0	4.31	0.00	0.00
SRR24759597_binette_bin46.fasta	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	9.25	0.00	0.00
SRR24759597_binette_bin47.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin48.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin49.fasta	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	4.02	0.00	0.00
SRR24759597_binette_bin50.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin51.fasta	root (UID1)	5656	56	24	54	2	0	0	0	0	5.21	0.00	0.00
SRR24759597_binette_bin52.fasta	k__Bacteria (UID203)	5449	104	58	90	12	2	0	0	0	12.98	3.45	50.00
SRR24759597_binette_bin53.fasta	c__Alphaproteobacteria (UID3305)	564	349	230	289	43	17	0	0	0	10.23	2.68	88.24
SRR24759597_binette_bin54.fasta	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	5.09	0.00	0.00
SRR24759597_binette_bin55.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin57.fasta	k__Archaea (UID2)	207	149	107	148	1	0	0	0	0	0.07	0.00	0.00
SRR24759597_binette_bin60.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin61.fasta	c__Gammaproteobacteria (UID4387)	965	277	177	262	15	0	0	0	0	0.87	0.00	0.00
SRR24759597_binette_bin62.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin64.fasta	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	6.64	0.00	0.00
SRR24759597_binette_bin7.fasta	c__Gammaproteobacteria (UID4442)	899	311	184	110	192	9	0	0	0	71.54	3.35	33.33
SRR24759597_binette_bin74.fasta	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.00	0.00
SRR24759597_binette_bin75.fasta	k__Bacteria (UID203)	5449	103	57	100	3	0	0	0	0	3.51	0.00	0.00
SRR24759597_binette_bin76.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin77.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759597_binette_bin78.fasta	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	2.59	0.00	0.00
SRR24759598_binette_bin100.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin101.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin103.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin104.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin105.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin106.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin107.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin108.fasta	k__Bacteria (UID203)	5449	104	58	97	5	2	0	0	0	11.21	3.45	100.00
SRR24759598_binette_bin109.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR24759598_binette_bin110.fasta	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
SRR24759598_binette_bin111.fasta	root (UID1)	5656	56	24	55	1	0	0	0	0	1.04	0.00	0.00
SRR24759598_binette_bin113.fasta	k__Bacteria (UID203)	5449	104	58	93	5	5	1	0	0	18.10	12.07	87.50
