Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin_19238	88.44	0.75	Gradient Boost (General Model)	11	0.904	12605	289.09954896907215	2972941	0.42	3104	291	36448	None
bin_220	99.28	0.13	Gradient Boost (General Model)	11	0.876	287431	329.764263322884	3599547	0.41	3190	33	815078	None
bin_262063	81.94	25.9	Neural Network (Specific Model)	11	0.922	6786	284.9733877233877	4762285	0.56	5148	794	37332	None
bin_262641	77.42	6.1	Neural Network (Specific Model)	11	0.91	9966	298.12896903175226	2503240	0.33	2551	348	53099	None
bin_270555	94.39	0.14	Gradient Boost (General Model)	11	0.92	11567	300.142146705346	2358580	0.53	2413	252	54195	None
bin_27333	84.58	6.06	Gradient Boost (General Model)	11	0.917	7162	279.56650750341066	2674534	0.5	2932	426	26059	None
bin_286550	98.39	0.78	Gradient Boost (General Model)	11	0.94	196012	315.0865573770492	3056717	0.32	3050	21	522479	None
bin_288467	80.5	11.46	Gradient Boost (General Model)	4	0.819	12382	259.8893402808443	10673024	0.49	11323	1053	42107	None
bin_293487	90.81	2.33	Gradient Boost (General Model)	11	0.934	34516	338.4166125892278	5013626	0.56	4623	269	213465	None
bin_299277	90.83	0.52	Gradient Boost (General Model)	11	0.932	4675	276.8726322664925	2722517	0.57	3062	660	19830	None
bin_309632	100.0	1.2	Gradient Boost (General Model)	11	0.914	42205	329.78449744463376	5073252	0.48	4696	215	216361	None
bin_315588	90.59	0.04	Neural Network (Specific Model)	11	0.843	26329	355.5285857572718	3781724	0.46	2991	205	86248	None
bin_319289	99.79	0.04	Gradient Boost (General Model)	11	0.918	212699	315.1967706622879	3758108	0.47	3654	37	441201	None
bin_339306	76.89	2.11	Neural Network (Specific Model)	11	0.918	4659	276.43428403410763	3069937	0.32	3401	823	15181	None
bin_357648	86.3	18.17	Gradient Boost (General Model)	11	0.927	10095	322.388	4169537	0.34	4000	479	35953	None
bin_361576	92.34	0.61	Neural Network (Specific Model)	11	0.891	90934	360.8110151187905	3371644	0.33	2778	81	217352	None
bin_374669	93.88	0.1	Neural Network (Specific Model)	11	0.914	58686	358.4264162561576	3817054	0.32	3248	106	212585	None
bin_385075	68.43	1.47	Neural Network (Specific Model)	11	0.92	9270	287.72644376899694	2157827	0.54	2303	323	39209	None
bin_389652	99.92	4.31	Gradient Boost (General Model)	11	0.851	47345	347.9031484257871	4085326	0.45	3335	147	132247	None
bin_442058	99.2	11.65	Gradient Boost (General Model)	11	0.912	67851	314.95030674846623	3370057	0.5	3260	120	196214	None
bin_450015	79.69	3.22	Neural Network (Specific Model)	11	0.926	4316	257.5418980312973	3299023	0.62	3962	901	21944	None
bin_452711	100.0	1.54	Gradient Boost (General Model)	11	0.872	101075	345.64508632138114	7148864	0.57	6024	120	429908	None
bin_455268	96.04	2.78	Neural Network (Specific Model)	11	0.915	110206	309.50342603788795	2512388	0.43	2481	51	211912	None
bin_464441	84.28	5.38	Gradient Boost (General Model)	11	0.884	4552	279.9106569343066	3249151	0.48	3425	811	19048	None
bin_468788	99.94	0.0	Neural Network (Specific Model)	11	0.904	48214	301.8838014621008	2599649	0.44	2599	106	130016	None
bin_469571	99.61	0.05	Gradient Boost (General Model)	11	0.929	154782	339.56674907292955	3540428	0.54	3236	33	345644	None
bin_481744	77.63	2.38	Neural Network (Specific Model)	11	0.898	6990	290.6031102096011	2868679	0.4	2958	463	25772	None
bin_484169	98.6	5.12	Gradient Boost (General Model)	11	0.909	142620	334.1953597848016	3278880	0.42	2974	74	326856	None
bin_492641	84.68	1.96	Gradient Boost (General Model)	11	0.889	6704	312.6800458715596	5517440	0.48	5232	1035	43026	None
bin_495986	97.8	1.53	Gradient Boost (General Model)	11	0.91	86352	327.0564607805987	2840074	0.51	2639	50	224217	None
bin_555399	98.83	3.41	Gradient Boost (General Model)	11	0.916	19789	338.42573193661025	4121452	0.32	3723	337	115113	None
bin_563799	90.59	0.3	Neural Network (Specific Model)	11	0.874	23798	338.7346254193067	3116776	0.33	2683	182	109528	None
bin_572327	100.0	7.84	Gradient Boost (General Model)	11	0.898	212247	339.5414206477008	6329345	0.33	5589	68	582543	None
bin_576957	94.21	34.6	Gradient Boost (General Model)	11	0.926	68940	306.65422713660445	4302734	0.48	4341	281	247868	None
bin_597359	78.42	13.48	Gradient Boost (General Model)	11	0.921	8719	293.42291371994344	2696810	0.56	2828	334	53999	None
bin_599096	88.96	0.95	Neural Network (Specific Model)	11	0.935	52839	332.2561191912026	3002354	0.32	2819	103	127760	None
bin_617109	79.81	14.68	Gradient Boost (General Model)	11	0.919	2130	222.73082942097025	926899	0.43	1278	464	9461	None
bin_617325	100.0	2.99	Gradient Boost (General Model)	11	0.88	17819	314.3693379790941	3992849	0.38	3731	352	50461	None
bin_626659	96.68	0.92	Gradient Boost (General Model)	11	0.895	7922	309.51300665456745	3426055	0.38	3306	555	34231	None
bin_631081	84.54	17.59	Neural Network (Specific Model)	11	0.908	4919	256.69552790854067	5032269	0.55	5948	1049	32908	None
bin_631942	90.8	26.93	Gradient Boost (General Model)	11	0.883	1476	206.671809256662	7491820	0.5	10695	4993	5997	None
bin_640648	88.26	3.69	Gradient Boost (General Model)	11	0.943	8262	292.7095282146161	2007155	0.37	2162	327	28688	None
bin_670273	100.0	2.68	Gradient Boost (General Model)	11	0.883	119511	336.35402455661665	6691166	0.52	5864	141	345821	None
bin_680001	90.81	1.71	Neural Network (Specific Model)	11	0.914	10004	293.5874213836478	3060766	0.38	3180	545	39342	None
bin_681399	87.1	4.12	Neural Network (Specific Model)	11	0.936	18604	318.02030124426983	3109036	0.34	3054	229	65936	None
bin_712505	90.94	0.78	Neural Network (Specific Model)	11	0.877	21104	323.2291359480979	3747012	0.44	3391	267	69273	None
bin_758824	97.05	1.93	Neural Network (Specific Model)	11	0.883	30748	333.2477766287487	5469760	0.33	4835	326	105840	None
bin_763129	84.14	4.69	Gradient Boost (General Model)	11	0.926	3681	280.2999299229152	3881682	0.4	4281	1178	19340	None
bin_766374	94.23	0.86	Neural Network (Specific Model)	11	0.917	23918	298.26363888119636	3517508	0.56	3611	244	93066	None
bin_767030	81.52	11.54	Gradient Boost (General Model)	4	0.892	6678	266.97387939374397	2776806	0.27	3101	520	90411	None
bin_770595	96.52	0.51	Neural Network (Specific Model)	11	0.916	150883	326.6898481215028	2674098	0.49	2502	41	289161	None
bin_7858	84.39	4.39	Neural Network (Specific Model)	11	0.924	27601	344.908913213448	2863580	0.3	2558	140	117673	None
bin_7869	86.58	2.68	Neural Network (Specific Model)	11	0.9	26559	331.42520641087907	4544123	0.29	4118	273	103181	None
bin_8829	95.11	2.08	Neural Network (Specific Model)	11	0.921	121283	349.0103726469458	2955559	0.31	2603	43	267739	None
