genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
group_1_bin_197.fasta,1_1,0.050000000000000044,average,ANImf,1
group_2_bin_553606.fasta,1_1,0.050000000000000044,average,ANImf,1
group_3_bin_76160.fasta,1_1,0.050000000000000044,average,ANImf,1
group_4_bin_95.fasta,1_1,0.050000000000000044,average,ANImf,1
group_7_bin_7843.fasta,1_1,0.050000000000000044,average,ANImf,1
group_8_bin_70.fasta,1_1,0.050000000000000044,average,ANImf,1
group_5_bin_1238.fasta,2_1,0.050000000000000044,average,ANImf,2
group_6_bin_565.fasta,2_1,0.050000000000000044,average,ANImf,2
group_8_bin_5662.fasta,2_1,0.050000000000000044,average,ANImf,2
group_1_bin_6175.fasta,3_0,0.050000000000000044,average,ANImf,3
group_4_bin_37618.fasta,4_0,0.050000000000000044,average,ANImf,4
group_1_bin_2234.fasta,5_0,0.050000000000000044,average,ANImf,5
group_1_bin_4477.fasta,6_0,0.050000000000000044,average,ANImf,6
group_3_bin_91253.fasta,7_0,0.050000000000000044,average,ANImf,7
group_2_bin_374764.fasta,8_0,0.050000000000000044,average,ANImf,8
group_2_bin_94618.fasta,9_0,0.050000000000000044,average,ANImf,9
group_2_bin_247412.fasta,10_0,0.050000000000000044,average,ANImf,10
group_2_bin_518144.fasta,11_0,0.050000000000000044,average,ANImf,11
group_2_bin_694446.fasta,12_0,0.050000000000000044,average,ANImf,12
group_2_bin_644216.fasta,13_0,0.050000000000000044,average,ANImf,13
group_2_bin_224439.fasta,14_0,0.050000000000000044,average,ANImf,14
group_2_bin_256516.fasta,15_0,0.050000000000000044,average,ANImf,15
group_2_bin_453546.fasta,16_0,0.050000000000000044,average,ANImf,16
group_2_bin_360825.fasta,17_0,0.050000000000000044,average,ANImf,17
group_2_bin_649630.fasta,18_0,0.050000000000000044,average,ANImf,18
group_2_bin_645825.fasta,19_0,0.050000000000000044,average,ANImf,19
group_2_bin_296798.fasta,20_0,0.050000000000000044,average,ANImf,20
group_2_bin_643563.fasta,21_0,0.050000000000000044,average,ANImf,21
group_2_bin_292293.fasta,22_0,0.050000000000000044,average,ANImf,22
group_2_bin_253990.fasta,23_0,0.050000000000000044,average,ANImf,23
group_2_bin_507704.fasta,24_0,0.050000000000000044,average,ANImf,24
group_2_bin_312419.fasta,25_0,0.050000000000000044,average,ANImf,25
group_2_bin_352194.fasta,26_0,0.050000000000000044,average,ANImf,26
