user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
group_2_bin_247412.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257385.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__WQXQ01 sp031257385	98.34	0.617	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031279635.1, s__WQXQ01 sp031279635, 95.0, 86.87, 0.323; GCA_031270205.1, s__WQXQ01 sp031270205, 95.0, 86.22, 0.358	82.9	11	0.99045	N/A
group_2_bin_253990.fasta	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.04	11	0.9711	N/A
group_2_bin_256516.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031283755.1, s__JAIRMO01 sp031283755, 95.0, 86.46, 0.415; GCA_031275595.1, s__JAIRMO01 sp031275595, 95.0, 86.39, 0.377; GCA_031278575.1, s__JAIRMO01 sp031278575, 95.0, 85.68, 0.315; GCA_031282145.1, s__JAIRMO01 sp031282145, 95.0, 84.2, 0.295; GCA_031258625.1, s__JAIRMO01 sp031258625, 95.0, 83.98, 0.228	72.35	11	0.9628	N/A
group_2_bin_312419.fasta	d__Bacteria;p__Margulisbacteria;c__Termititenacia;o__Termititenacales;f__Termititenacaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Margulisbacteria;c__Termititenacia;o__Termititenacales;f__Termititenacaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.35	11	0.8666	N/A
group_2_bin_360825.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	GCA_031258505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	97.82	0.69	GCA_031258505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	97.82	0.69	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_031281685.1, s__JAIRMT01 sp031281685, 95.0, 88.87, 0.523; GCA_031266875.1, s__JAIRMT01 sp031266875, 95.0, 87.28, 0.407; GCA_031279205.1, s__JAIRMT01 sp031279205, 95.0, 86.59, 0.407; GCA_031267685.1, s__JAIRMT01 sp031267685, 95.0, 86.24, 0.392	56.62	11	N/A	N/A
group_2_bin_374764.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	GCA_031258265.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	96.42	0.658	GCA_031258265.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	96.42	0.658	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.64	11	N/A	N/A
group_2_bin_453546.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257615.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__JAIRKS01 sp031257615	94.66	0.669	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__JAIRKS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	55.87	11	0.99496	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
group_2_bin_518144.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRRR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRRR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.57	11	0.94649	N/A
group_2_bin_643563.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__JAITMY01 sp031257655	92.99	0.487	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031290835.1, s__JAITMY01 sp031290835, 95.0, 84.36, 0.22; GCA_031284065.1, s__JAITMY01 sp031284065, 95.0, 84.06, 0.235; GCA_031288885.1, s__JAITMY01 sp031288885, 95.0, 83.9, 0.209	89.97	11	0.98818	N/A
group_2_bin_645825.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257875.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__WRFZ01 sp031257875	93.68	0.466	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031271125.1, s__WRFZ01 sp031271125, 95.0, 86.44, 0.176	66.71	11	0.99259	N/A
