Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
ERR9966616_bin_10	65_0	1	2.59	0.04	96880	0.66								Neural Network (Specific Model)	11	0.647	1206	182.59130434782608	115	79	1757		ERR9966616_bin_10	0.05	average	ANImf	65	ERR9966616_bin_10	Unclassified	65.76	35.0	70.0	1757.0	1206.0	1025.0	96880.0	96880.0	96880.0	1253.7	105	0	0	94	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_138	52_1	2	61.47	11.21	2136354	0.42								Gradient Boost (General Model)	4	0.849	1759	195.7218840115348	3121	1205	7725		ERR9966616_bin_138	0.05	average	ANImf	52	ERR9966616_bin_138	Unclassified	41.58	402.0	1006.0	7725.0	1759.0	1146.0	2136354.0	2136354.0	2136354.0	2204.1	2623	0	0	2605	0	0	0	0	0	1	0	0	0	0	0
ERR9966616_bin_168	56_0	1	52.13	12.44	3383121	0.41								Gradient Boost (General Model)	4	0.714	1440	129.33280607402722	6322	2278	16651		ERR9966616_bin_168	0.05	average	ANImf	56	ERR9966616_bin_168	Unclassified Bacteria	40.74	848.0	1951.0	16651.0	1440.0	1067.0	3383121.0	3383121.0	3383121.0	1764.0	4621	0	0	4509	0	1	0	0	0	8	12	0	0	38	0
ERR9966616_bin_17	53_0	1	19.38	7.91	1131174	0.39								Neural Network (Specific Model)	11	0.586	1880	87.87973447871926	2561	622	6230		ERR9966616_bin_17	0.05	average	ANImf	53	ERR9966616_bin_17	Unclassified	38.95	207.0	517.0	6230.0	1880.0	1153.0	1131174.0	1131174.0	1131174.0	2178.7	2225	0	0	2218	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_302	60_0	1	19.41	4.68	1031205	0.47								Neural Network (Specific Model)	4	0.804	1957	192.4327122153209	1449	571	5900		ERR9966616_bin_302	0.05	average	ANImf	60	ERR9966616_bin_302	Unclassified	46.56	193.0	476.0	5900.0	1957.0	1154.0	1031205.0	1031205.0	1031205.0	2094.7	1296	0	0	1296	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_38	43_0	1	6.38	0.0	73276	0.26								Gradient Boost (General Model)	11	0.113	1107	64.5813953488372	43	61	2969		ERR9966616_bin_38	0.05	average	ANImf	43	ERR9966616_bin_38	Unclassified	26.42	27.0	54.0	2969.0	1107.0	1030.0	73276.0	73276.0	73276.0	1280.1	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_47	54_0	1	22.88	6.38	2354018	0.37								Neural Network (Specific Model)	11	0.434	1203	88.35250511247443	3912	1871	12268		ERR9966616_bin_47	0.05	average	ANImf	54	ERR9966616_bin_47	Unclassified Bacteria	36.67	787.0	1639.0	12268.0	1203.0	1029.0	2354018.0	2354018.0	2354018.0	1402.1	3133	1	0	3053	0	0	0	0	0	5	1	2	0	35	0
ERR9966616_bin_5	67_0	1	6.38	0.0	64116	0.49								Gradient Boost (General Model)	11	0.195	1259	71.49152542372882	59	49	2747		ERR9966616_bin_5	0.05	average	ANImf	67	ERR9966616_bin_5	Unclassified	48.61	20.0	43.0	2747.0	1259.0	1057.0	64116.0	64116.0	64116.0	1400.1	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_50	50_0	1	6.38	0.0	59711	0.37								Gradient Boost (General Model)	11	0.21	1396	88.14583333333333	48	43	2263		ERR9966616_bin_50	0.05	average	ANImf	50	ERR9966616_bin_50	Unclassified	37.35	18.0	38.0	2263.0	1396.0	1048.0	59711.0	59711.0	59711.0	1466.1	8	0	0	7	0	0	0	0	0	1	0	0	0	0	0
ERR9966616_bin_55	45_0	1	6.85	0.05	334327	0.38								Neural Network (Specific Model)	11	0.433	6992	105.05399568034558	463	77	18155		ERR9966616_bin_55	0.05	average	ANImf	45	ERR9966616_bin_55	Unclassified Archaea	37.62	15.0	54.0	18155.0	6992.0	1877.0	334327.0	334327.0	334327.0	7950.6	418	0	0	410	0	0	0	0	0	0	2	0	0	11	0
ERR9966616_bin_7	44_0	1	6.38	0.0	74034	0.32								Gradient Boost (General Model)	11	0.118	1347	60.75	48	57	2030		ERR9966616_bin_7	0.05	average	ANImf	44	ERR9966616_bin_7	Unclassified	31.73	25.0	50.0	2030.0	1347.0	1042.0	74034.0	74034.0	74034.0	1343.5	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_77	64_0	1	2.52	0.0	53748	0.46								Neural Network (Specific Model)	11	0.869	1727	347.0444444444444	45	32	4776		ERR9966616_bin_77	0.05	average	ANImf	64	ERR9966616_bin_77	Unclassified	45.58	11.0	27.0	4776.0	1727.0	1073.0	53748.0	53748.0	53748.0	2064.0	30	0	0	28	0	0	0	0	0	0	0	0	0	0	0
ERR9966616_bin_92	62_0	1	4.46	0.02	246746	0.41								Neural Network (Specific Model)	11	0.758	2777	177.8413597733711	353	89	4093		ERR9966616_bin_92	0.05	average	ANImf	62	ERR9966616_bin_92	Unclassified	40.84	43.0	80.0	4093.0	2777.0	2556.0	246746.0	246746.0	246746.0	2787.7	329	0	0	327	0	0	0	0	0	0	0	0	0	0	0
ERR9966617_bin_59	57_0	1	44.25	11.68	3460624	0.44								Gradient Boost (General Model)	4	0.735	1538	170.81516966067863	5010	1985	25379		ERR9966617_bin_59	0.05	average	ANImf	57	ERR9966617_bin_59	Unclassified Bacteria	44.26	545.0	1650.0	25379.0	1538.0	1067.0	3460624.0	3460624.0	3460624.0	3254.7	4331	0	0	4255	0	0	0	0	0	5	9	0	0	55	0
ERR9966619_bin_103	208_0	1	18.25	0.07	974837	0.64	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp002013775	Neural Network (Specific Model)	11	0.915	1349	203.641638225256	1465	701	4826		ERR9966619_bin_103	0.05	average	ANImf	208	ERR9966619_bin_103	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp002013775	63.55	274.0	606.0	4826.0	1349.0	1050.0	974837.0	974837.0	974837.0	1549.3	1202	0	0	560	1	0	0	0	0	14	0	0	0	7	0
ERR9966619_bin_134	149_0	1	32.41	10.7	3796853	0.54								Gradient Boost (General Model)	11	0.763	1182	131.25983089518186	7451	3062	11160	Low confidence prediction - substantial (32%) disagreement between completeness prediction models	ERR9966619_bin_134	0.05	average	ANImf	149	ERR9966619_bin_134	Unclassified Archaea	54.06	1301.0	2688.0	11160.0	1182.0	1027.0	3796853.0	3796853.0	3796853.0	1385.2	6285	0	0	6264	0	0	0	0	0	5	0	0	0	15	0
