Name	Species-level MAG count	Completeness	Contamination	Genome Size	GC Content	Domain	Phylum	Class	Order	Family	Genus	Species
ERR9966620_bin_1469	6	55.92	3.73	43499712	0.52	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	
ERR9966625_bin_1350	1	96.13	3.94	5413774	0.64	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	
ERR9966616_bin_138	2	61.47	11.21	2136354	0.42							
ERR9966616_bin_168	1	52.13	12.44	3383121	0.41							
ERR9966619_bin_328	2	61.13	12.73	2788710	0.48							
ERR9966620_bin_1091	1	57.06	8.82	2744751	0.48							
ERR9966623_bin_17123	1	67.63	15.74	99179557	0.47							
ERR9966623_bin_8232	1	58.16	11.43	1984814	0.5							
ERR9966624_bin_1915	1	59.49	8.7	2579262	0.6							
ERR9966624_bin_349	1	59.92	10.24	2313143	0.6							
ERR9966626_bin_259	1	64.49	15.57	3816164	0.51							
ERR9966626_bin_5617	1	62.23	11.88	3176812	0.49							
ERR9966626_bin_792	1	61.88	15.76	3245570	0.5							
ERR9966627_bin_265	1	57.75	14.71	3204204	0.5							
ERR9966627_bin_517	1	57.79	12.77	2371370	0.5							
ERR9966627_bin_720	1	67.19	10.72	3797809	0.52							
ERR9966627_bin_841	1	56.66	7.14	1301435	0.45							
ERR9966628_bin_3376	1	55.18	9.69	1583889	0.5							
ERR9966628_bin_9656	1	53.35	15.32	5484422	0.47							
ERR9966629_bin_15813	1	56.09	6.45	1765345	0.53							
ERR9966629_bin_2487	4	59.71	8.55	2282670	0.46							
ERR9966629_bin_25257	1	59.06	18.76	4634711	0.47							
