Name	Species-level MAG count	Completeness	Contamination	Genome Size	GC Content	Domain	Phylum	Class	Order	Family	Genus	Species
group_2_bin_264176	1	88.33	14.67	3999403	0.43	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Azobacteroidaceae	WRFZ01	
group_2_bin_200650	1	90.98	3.61	3667314	0.53	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	JAITMY01	
group_4_bin_63579	6	99.37	0.43	3205413	0.68	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	Truepera radiovictrix
group_2_bin_427243	1	75.62	9.21	797721	0.32	Bacteria	Elusimicrobiota	Endomicrobiia	Endomicrobiales	Endomicrobiaceae	Endomicrobium_A	
group_2_bin_314733	1	99.78	0.15	1619161	0.5	Bacteria	Margulisbacteria	Termititenacia	Termititenacales	Termititenacaceae		
group_5_bin_1251	3	98.38	0.42	9112787	0.4	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia sp000829315
group_2_bin_507945	1	86.87	3.58	2650450	0.55	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAIRMO01	
group_2_bin_519274	1	80.85	6.34	2978507	0.52	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAIRMT01	JAIRMT01 sp031258505
group_2_bin_262042	1	76.83	2.48	2085008	0.54	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAIRMY01	
group_2_bin_268054	1	75.2	19.01	4242791	0.54	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAIRNN01	
group_2_bin_344446	1	92.35	3.89	2937916	0.54	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAIRRR01	
group_2_bin_217611	1	82.05	2.73	2896590	0.56	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAISFT01	
group_2_bin_31139	1	84.24	5.53	2902726	0.58	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	JAISFT01	JAISFT01 sp031258225
group_2_bin_410381	1	89.07	0.39	2902894	0.55	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Breznakiellaceae	WQXQ01	
group_2_bin_394029	1	81.68	14.18	1301016	0.44	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	LL51	JAIDVZ01	
group_4_bin_41700	2	100.0	6.15	664088092	0.41							
