Assembly	DE04NGSUKBD140741Dm_B_22.fasta	DE04NGSUKBD140741Dm_binette_bin1.fasta	DE04NGSUKBD140741Dm_binette_bin10.fasta	DE04NGSUKBD140741Dm_binette_bin11.fasta	DE04NGSUKBD140741Dm_binette_bin12.fasta	DE04NGSUKBD140741Dm_binette_bin13.fasta	DE04NGSUKBD140741Dm_binette_bin14.fasta	DE04NGSUKBD140741Dm_binette_bin15.fasta	DE04NGSUKBD140741Dm_binette_bin16.fasta	DE04NGSUKBD140741Dm_binette_bin17.fasta	DE04NGSUKBD140741Dm_binette_bin18.fasta	DE04NGSUKBD140741Dm_binette_bin19.fasta	DE04NGSUKBD140741Dm_binette_bin2.fasta	DE04NGSUKBD140741Dm_binette_bin20.fasta	DE04NGSUKBD140741Dm_binette_bin21.fasta	DE04NGSUKBD140741Dm_binette_bin22.fasta	DE04NGSUKBD140741Dm_binette_bin23.fasta	DE04NGSUKBD140741Dm_binette_bin24.fasta	DE04NGSUKBD140741Dm_binette_bin25.fasta	DE04NGSUKBD140741Dm_binette_bin26.fasta	DE04NGSUKBD140741Dm_binette_bin27.fasta	DE04NGSUKBD140741Dm_binette_bin28.fasta	DE04NGSUKBD140741Dm_binette_bin3.fasta	DE04NGSUKBD140741Dm_binette_bin30.fasta	DE04NGSUKBD140741Dm_binette_bin31.fasta	DE04NGSUKBD140741Dm_binette_bin32.fasta	DE04NGSUKBD140741Dm_binette_bin33.fasta	DE04NGSUKBD140741Dm_binette_bin5.fasta	DE04NGSUKBD140741Dm_binette_bin6.fasta	DE04NGSUKBD140741Dm_binette_bin7.fasta	DE04NGSUKBD140741Dm_binette_bin8.fasta	DE04NGSUKBD140741Dm_binette_bin9.fasta	DE15NGSUKBD140737Dm_binette_bin1.fasta	DE16NGSUKBD140719Sc_binette_bin1.fasta	DE20NGSUKBD140744Dm_binette_bin3.fasta	DE20NGSUKBD140744Dm_binette_bin4.fasta	DE20NGSUKBD140744Dm_binette_bin5.fasta	DE20NGSUKBD140744Dm_binette_bin6.fasta	DE26NGSUKBD140733Dm_binette_bin1.fasta	DE26NGSUKBD140733Dm_binette_bin2.fasta	DE31NGSUKBD140740Dm_binette_bin1.fasta	DE31NGSUKBD140740Dm_binette_bin3.fasta	DE31NGSUKBD140740Dm_binette_bin4.fasta	DE31NGSUKBD140740Dm_binette_bin5.fasta	DE47NGSUKBD140743Dm_binette_bin3.fasta	DE47NGSUKBD140743Dm_binette_bin4.fasta	DE47NGSUKBD140743Dm_binette_bin5.fasta	DE47NGSUKBD140743Dm_binette_bin6.fasta	DE47NGSUKBD140743Dm_binette_bin7.fasta	DE63NGSUKBD140746Dm_binette_bin2.fasta	DE63NGSUKBD140746Dm_binette_bin3.fasta	DE63NGSUKBD140746Dm_binette_bin4.fasta	DE63NGSUKBD140746Dm_binette_bin5.fasta	DE74NGSUKBD140742Dm_binette_bin1.fasta	DE74NGSUKBD140742Dm_binette_bin2.fasta	DE74NGSUKBD140742Dm_binette_bin3.fasta	DE74NGSUKBD140742Dm_binette_bin4.fasta	DE74NGSUKBD140742Dm_binette_bin6.fasta	DE75NGSUKBD140724Sc_binette_bin1.fasta	DE90NGSUKBD140745Dm_binette_bin1.fasta	DE90NGSUKBD140745Dm_binette_bin4.fasta	DE90NGSUKBD140745Dm_binette_bin5.fasta	DE96NGSUKBD140734Dm_binette_bin1.fasta
Assembly	DE04NGSUKBD140741Dm_B_22_fasta	DE04NGSUKBD140741Dm_binette_bin1_fasta	DE04NGSUKBD140741Dm_binette_bin10_fasta	DE04NGSUKBD140741Dm_binette_bin11_fasta	DE04NGSUKBD140741Dm_binette_bin12_fasta	DE04NGSUKBD140741Dm_binette_bin13_fasta	DE04NGSUKBD140741Dm_binette_bin14_fasta	DE04NGSUKBD140741Dm_binette_bin15_fasta	DE04NGSUKBD140741Dm_binette_bin16_fasta	DE04NGSUKBD140741Dm_binette_bin17_fasta	DE04NGSUKBD140741Dm_binette_bin18_fasta	DE04NGSUKBD140741Dm_binette_bin19_fasta	DE04NGSUKBD140741Dm_binette_bin2_fasta	DE04NGSUKBD140741Dm_binette_bin20_fasta	DE04NGSUKBD140741Dm_binette_bin21_fasta	DE04NGSUKBD140741Dm_binette_bin22_fasta	DE04NGSUKBD140741Dm_binette_bin23_fasta	DE04NGSUKBD140741Dm_binette_bin24_fasta	DE04NGSUKBD140741Dm_binette_bin25_fasta	DE04NGSUKBD140741Dm_binette_bin26_fasta	DE04NGSUKBD140741Dm_binette_bin27_fasta	DE04NGSUKBD140741Dm_binette_bin28_fasta	DE04NGSUKBD140741Dm_binette_bin3_fasta	DE04NGSUKBD140741Dm_binette_bin30_fasta	DE04NGSUKBD140741Dm_binette_bin31_fasta	DE04NGSUKBD140741Dm_binette_bin32_fasta	DE04NGSUKBD140741Dm_binette_bin33_fasta	DE04NGSUKBD140741Dm_binette_bin5_fasta	DE04NGSUKBD140741Dm_binette_bin6_fasta	DE04NGSUKBD140741Dm_binette_bin7_fasta	DE04NGSUKBD140741Dm_binette_bin8_fasta	DE04NGSUKBD140741Dm_binette_bin9_fasta	DE15NGSUKBD140737Dm_binette_bin1_fasta	DE16NGSUKBD140719Sc_binette_bin1_fasta	DE20NGSUKBD140744Dm_binette_bin3_fasta	DE20NGSUKBD140744Dm_binette_bin4_fasta	DE20NGSUKBD140744Dm_binette_bin5_fasta	DE20NGSUKBD140744Dm_binette_bin6_fasta	DE26NGSUKBD140733Dm_binette_bin1_fasta	DE26NGSUKBD140733Dm_binette_bin2_fasta	DE31NGSUKBD140740Dm_binette_bin1_fasta	DE31NGSUKBD140740Dm_binette_bin3_fasta	DE31NGSUKBD140740Dm_binette_bin4_fasta	DE31NGSUKBD140740Dm_binette_bin5_fasta	DE47NGSUKBD140743Dm_binette_bin3_fasta	DE47NGSUKBD140743Dm_binette_bin4_fasta	DE47NGSUKBD140743Dm_binette_bin5_fasta	DE47NGSUKBD140743Dm_binette_bin6_fasta	DE47NGSUKBD140743Dm_binette_bin7_fasta	DE63NGSUKBD140746Dm_binette_bin2_fasta	DE63NGSUKBD140746Dm_binette_bin3_fasta	DE63NGSUKBD140746Dm_binette_bin4_fasta	DE63NGSUKBD140746Dm_binette_bin5_fasta	DE74NGSUKBD140742Dm_binette_bin1_fasta	DE74NGSUKBD140742Dm_binette_bin2_fasta	DE74NGSUKBD140742Dm_binette_bin3_fasta	DE74NGSUKBD140742Dm_binette_bin4_fasta	DE74NGSUKBD140742Dm_binette_bin6_fasta	DE75NGSUKBD140724Sc_binette_bin1_fasta	DE90NGSUKBD140745Dm_binette_bin1_fasta	DE90NGSUKBD140745Dm_binette_bin4_fasta	DE90NGSUKBD140745Dm_binette_bin5_fasta	DE96NGSUKBD140734Dm_binette_bin1_fasta
Total length (>= 0 bp)	2353499	1675299	2475114	1960999	2028210	2547034	2936241	2100542	2364188	1633805	3052082	1564181	3619015	751504	1147634	1893840	1704262	1720877	609163	1852919	2366962	1864572	2961133	3835872	1318788	8168898	8325388	3644591	3628583	2554595	3152006	2470382	4913232	2257317	7360042	3964277	4225334	7990708	3145455	4731250	5170380	3793385	4994877	4394809	6394080	3353430	5538453	3598472	8694585	9851470	5531604	8724665	6543873	9793961	5316127	6954045	7202793	6088080	3459913	204001698	4258488	3858859	3391344
Total length (>= 1000 bp)	2353499	1675299	2475114	1960999	2028210	2547034	2936241	2100542	2364188	1633805	3052082	1564181	3619015	751504	1147634	1893840	1704262	1720877	609163	1852919	2366962	1864572	2961133	3835872	1318788	8168898	8325388	3644591	3628583	2554595	3152006	2470382	4913232	2257317	7360042	3964277	4225334	7990708	3145455	4731250	5170380	3793385	4994877	4394809	6394080	3353430	5538453	3598472	8694585	9851470	5531604	8724665	6543873	9793961	5316127	6954045	7202793	6088080	3459913	204001698	4258488	3858859	3391344
Total length (>= 5000 bp)	838829	1583260	2030242	1161843	778438	2165147	830852	1254017	437956	410082	2016841	79261	3114664	67304	0	719538	126811	580421	434242	97920	1032707	882952	2390621	2246962	61094	0	0	2236379	2528723	1383596	2537333	2295362	302061	1049198	0	16385	780464	0	2611443	41145	986914	20899	48415	0	12731	0	0	0	0	0	0	0	592243	0	295087	0	0	242823	254191	3010582	5266	0	1681582
Total length (>= 10000 bp)	89820	1317528	1150188	291478	136486	1668254	55790	544151	35221	34585	759249	0	1959316	0	0	170938	24452	119224	322878	0	235961	230863	1408040	1028564	0	0	0	1096927	1252856	503528	1642372	1598710	73450	680597	0	0	47719	0	1813806	10863	235075	0	0	0	0	0	0	0	0	0	0	0	22231	0	47190	0	0	0	35206	253038	0	0	639403
Total length (>= 25000 bp)	0	750196	116368	0	0	371982	0	58906	0	0	0	0	278452	0	0	0	0	0	55292	0	0	27135	261712	75982	0	0	0	27022	58970	0	192002	327324	0	103478	0	0	0	0	348136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26660
Total length (>= 50000 bp)	0	262506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Largest contig	13642	87662	34127	21093	16128	40214	12538	33812	12536	12996	24701	7656	38207	7033	4827	17919	24452	17925	28352	8680	16852	27135	33796	41151	7791	4081	2340	27022	30188	19570	42368	46070	16711	39865	3888	5505	15434	2897	41525	10863	21284	9696	7898	3166	7574	3737	3475	4538	3788	1816	4086	3717	11150	4957	17718	2618	3717	7939	12617	19993	5266	4246	26660
Total length	2353499	1675299	2475114	1960999	2028210	2547034	2936241	2100542	2364188	1633805	3052082	1564181	3619015	751504	1147634	1893840	1704262	1720877	609163	1852919	2366962	1864572	2961133	3835872	1318788	8168898	8325388	3644591	3628583	2554595	3152006	2470382	4913232	2257317	7360042	3964277	4225334	7990708	3145455	4731250	5170380	3793385	4994877	4394809	6394080	3353430	5538453	3598472	8694585	9851470	5531604	8724665	6543873	9793961	5316127	6954045	7202793	6088080	3459913	204001698	4258488	3858859	3391344
GC (%)	61.63	50.37	55.07	55.16	54.24	49.18	35.66	53.87	59.33	48.30	54.64	57.03	51.24	52.08	34.29	52.76	52.55	54.33	43.54	60.64	54.70	53.08	54.27	53.20	44.06	44.60	34.63	53.51	54.35	43.92	57.44	54.77	44.28	37.12	42.82	48.26	47.99	43.39	68.05	41.08	41.69	40.74	39.52	40.41	38.28	43.52	44.71	46.38	46.05	43.73	46.55	43.60	44.82	43.85	42.78	45.72	42.46	41.49	43.09	41.57	45.88	42.33	51.49
