Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SRR22878281_binette_bin1.fasta	c__Alphaproteobacteria (UID3422)	26	529	308	10	513	6	0	0	0	97.89	1.41	16.67
SRR22878281_binette_bin10.fasta	c__Gammaproteobacteria (UID4444)	263	506	232	4	499	3	0	0	0	99.26	0.91	33.33
SRR22878281_binette_bin100.fasta	c__Gammaproteobacteria (UID4274)	112	581	290	258	300	21	2	0	0	59.97	6.26	77.78
SRR22878281_binette_bin101.fasta	k__Bacteria (UID2982)	88	229	147	107	120	2	0	0	0	53.86	0.38	0.00
SRR22878281_binette_bin102.fasta	k__Bacteria (UID203)	5449	104	58	69	33	2	0	0	0	47.59	3.45	0.00
SRR22878281_binette_bin103.fasta	k__Bacteria (UID203)	5449	102	56	71	29	2	0	0	0	47.48	3.57	0.00
SRR22878281_binette_bin104.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
SRR22878281_binette_bin105.fasta	k__Bacteria (UID203)	5449	103	58	59	39	5	0	0	0	53.21	6.38	100.00
SRR22878281_binette_bin106.fasta	k__Bacteria (UID203)	5449	103	57	64	34	5	0	0	0	48.84	8.77	20.00
SRR22878281_binette_bin107.fasta	c__Gammaproteobacteria (UID4443)	356	451	270	186	213	50	1	1	0	60.53	12.75	30.51
SRR22878281_binette_bin108.fasta	k__Bacteria (UID203)	5449	104	58	86	17	1	0	0	0	25.21	0.86	0.00
SRR22878281_binette_bin109.fasta	k__Bacteria (UID2329)	174	149	89	84	50	15	0	0	0	41.93	7.65	0.00
SRR22878281_binette_bin11.fasta	p__Proteobacteria (UID3880)	1495	261	164	3	256	2	0	0	0	98.17	0.91	50.00
SRR22878281_binette_bin110.fasta	k__Bacteria (UID203)	5449	104	58	75	28	1	0	0	0	35.45	0.86	0.00
SRR22878281_binette_bin111.fasta	k__Bacteria (UID2565)	2921	140	85	97	42	1	0	0	0	30.23	1.18	0.00
SRR22878281_binette_bin112.fasta	k__Bacteria (UID203)	5449	104	58	81	22	1	0	0	0	23.35	1.72	0.00
SRR22878281_binette_bin113.fasta	k__Bacteria (UID203)	5449	102	56	72	25	5	0	0	0	40.10	4.06	20.00
SRR22878281_binette_bin114.fasta	k__Bacteria (UID203)	5449	104	58	78	26	0	0	0	0	34.95	0.00	0.00
SRR22878281_binette_bin115.fasta	k__Bacteria (UID3187)	2258	188	117	119	69	0	0	0	0	32.11	0.00	0.00
SRR22878281_binette_bin116.fasta	k__Bacteria (UID203)	5449	104	58	81	22	1	0	0	0	25.77	1.72	0.00
SRR22878281_binette_bin117.fasta	c__Gammaproteobacteria (UID4443)	356	451	270	288	140	22	1	0	0	33.31	3.57	0.00
