Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR22878281.fastq_bin_1030637.fasta	95.14	1.29	Gradient Boost (General Model)	11	0.93	52200	325.7738043946575	4867065	0.62	4642	152	183065	None
SRR22878281.fastq_bin_1047037.fasta	88.64	0.91	Neural Network (Specific Model)	11	0.887	16112	303.63394109396916	3654981	0.6	3565	328	96306	None
SRR22878281.fastq_bin_1048668.fasta	99.72	0.06	Gradient Boost (General Model)	11	0.887	62436	316.7962445065921	2677092	0.43	2503	78	190839	None
SRR22878281.fastq_bin_1065179.fasta	86.85	0.2	Gradient Boost (General Model)	11	0.926	9080	353.5209824018565	5913631	0.64	5171	865	38672	None
SRR22878281.fastq_bin_1069559.fasta	88.48	1.66	Gradient Boost (General Model)	11	0.935	34002	320.358220603538	3943993	0.62	3844	176	77593	None
SRR22878281.fastq_bin_1070024.fasta	88.74	2.6	Gradient Boost (General Model)	11	0.927	35331	326.9496402877698	5282451	0.62	5004	221	108792	None
SRR22878281.fastq_bin_1078928.fasta	86.75	2.77	Neural Network (Specific Model)	11	0.821	69230	311.09817087288724	4908150	0.37	4319	138	242513	None
SRR22878281.fastq_bin_1177133.fasta	92.39	0.63	Gradient Boost (General Model)	11	0.932	28025	319.7195850361521	3267700	0.6	3181	164	82825	None
SRR22878281.fastq_bin_1190068.fasta	89.25	1.72	Neural Network (Specific Model)	11	0.916	12519	296.620232172471	2922806	0.57	3015	342	67190	None
SRR22878281.fastq_bin_1223417.fasta	77.49	1.77	Gradient Boost (General Model)	11	0.89	3747	254.5612658912632	3168983	0.36	3697	992	23988	None
SRR22878281.fastq_bin_1272423.fasta	84.38	3.84	Gradient Boost (General Model)	11	0.909	6996	292.7623095997166	2719894	0.6	2823	508	61870	None
SRR22878281.fastq_bin_1299134.fasta	77.63	6.93	Gradient Boost (General Model)	11	0.873	8341	329.2323682256867	4561391	0.55	4041	644	35390	None
SRR22878281.fastq_bin_1315445.fasta	91.29	1.28	Neural Network (Specific Model)	11	0.919	39816	326.4679310344828	3088916	0.31	2900	113	138684	None
SRR22878281.fastq_bin_1318659.fasta	100.0	0.04	Gradient Boost (General Model)	11	0.889	50168	310.5148131267092	4590481	0.57	4388	130	177035	None
SRR22878281.fastq_bin_1327645.fasta	99.54	1.39	Gradient Boost (General Model)	11	0.863	21481	299.104571818492	6081689	0.6	5862	445	118452	None
SRR22878281.fastq_bin_1330403.fasta	98.98	0.06	Gradient Boost (General Model)	11	0.891	68686	330.61006289308176	2653612	0.46	2385	91	258333	None
SRR22878281.fastq_bin_1348881.fasta	76.37	5.27	Neural Network (Specific Model)	11	0.911	7651	294.8991473096148	3298540	0.37	3401	607	41771	None
SRR22878281.fastq_bin_1355362.fasta	82.03	2.53	Gradient Boost (General Model)	11	0.91	8794	292.22293504410584	2398137	0.31	2494	361	28198	None
SRR22878281.fastq_bin_1360208.fasta	88.97	2.42	Gradient Boost (General Model)	11	0.915	8751	285.57834645669294	2372219	0.48	2540	342	60350	None
SRR22878281.fastq_bin_1380972.fasta	87.13	3.34	Gradient Boost (General Model)	11	0.889	7147	295.89283564118	4962372	0.55	4983	858	36651	None
SRR22878281.fastq_bin_1406449.fasta	94.03	1.76	Gradient Boost (General Model)	11	0.917	14074	308.1021882302953	4736166	0.68	4707	493	88231	None
SRR22878281.fastq_bin_1415033.fasta	100.0	0.04	Gradient Boost (General Model)	11	0.911	54633	308.0454760776883	2137595	0.54	2111	76	131178	None
SRR22878281.fastq_bin_1437311.fasta	97.04	0.71	Gradient Boost (General Model)	11	0.863	42257	335.32557502738223	4251695	0.5	3652	159	163661	None
SRR22878281.fastq_bin_1475309.fasta	99.99	0.14	Neural Network (Specific Model)	11	0.837	64550	323.6562612127736	3230427	0.43	2787	142	422613	None
SRR22878281.fastq_bin_1479957.fasta	99.08	3.86	Gradient Boost (General Model)	11	0.925	20588	321.10998810939356	3496563	0.5	3364	261	80439	None
SRR22878281.fastq_bin_1483024.fasta	84.33	4.98	Gradient Boost (General Model)	11	0.877	9977	291.3787132407822	6668004	0.47	6699	831	44650	None
SRR22878281.fastq_bin_1505020.fasta	95.14	0.24	Gradient Boost (General Model)	11	0.903	109932	336.0492058548739	3575065	0.63	3211	62	433823	None
SRR22878281.fastq_bin_1506086.fasta	96.37	3.14	Gradient Boost (General Model)	11	0.89	22840	304.55778756191523	3723407	0.56	3634	239	77208	None
SRR22878281.fastq_bin_1524409.fasta	90.63	0.35	Neural Network (Specific Model)	11	0.9	23164	316.2704049844237	3378960	0.36	3210	229	74056	None
SRR22878281.fastq_bin_1532639.fasta	84.47	4.45	Gradient Boost (General Model)	11	0.927	6914	282.72302794481783	2581184	0.49	2827	446	24601	None
SRR22878281.fastq_bin_1633526.fasta	91.26	3.99	Gradient Boost (General Model)	11	0.923	45117	306.10480349344977	2957249	0.5	2977	139	168272	None
SRR22878281.fastq_bin_1641228.fasta	95.39	1.22	Gradient Boost (General Model)	11	0.867	39831	327.9847005208333	3480346	0.43	3072	135	139088	None
SRR22878281.fastq_bin_1700770.fasta	81.52	7.86	Gradient Boost (General Model)	11	0.926	8199	294.6701540249927	3277101	0.46	3441	494	58571	None
SRR22878281.fastq_bin_1734399.fasta	94.32	1.02	Gradient Boost (General Model)	11	0.911	37010	329.988299086758	3803620	0.41	3504	198	160378	None
SRR22878281.fastq_bin_1837401.fasta	96.65	0.78	Neural Network (Specific Model)	11	0.853	25967	322.24859497939303	6043327	0.38	5338	324	95332	None
SRR22878281.fastq_bin_1874621.fasta	86.32	0.26	Neural Network (Specific Model)	11	0.826	12192	277.41774779449923	3877762	0.39	3854	470	52641	None
SRR22878281.fastq_bin_1875330.fasta	100.0	0.97	Gradient Boost (General Model)	11	0.897	68865	320.0200351493849	3039467	0.44	2845	95	209668	None
SRR22878281.fastq_bin_1885024.fasta	92.06	2.23	Neural Network (Specific Model)	11	0.889	16978	314.3954206328788	4118197	0.41	3887	377	70947	None
SRR22878281.fastq_bin_1944003.fasta	85.86	1.46	Neural Network (Specific Model)	11	0.927	16378	325.99436143219623	3738231	0.36	3547	307	61083	None
SRR22878281.fastq_bin_1964116.fasta	89.72	0.09	Gradient Boost (General Model)	4	0.906	27498	294.9542902967121	1217276	0.26	1247	78	67163	None
SRR22878281.fastq_bin_2009255.fasta	76.71	1.8	Gradient Boost (General Model)	11	0.88	7419	278.494301994302	3326077	0.56	3510	545	41688	None
SRR22878281.fastq_bin_2019818.fasta	100.0	1.39	Gradient Boost (General Model)	11	0.914	16819	294.4287825059102	3263350	0.56	3384	267	108948	None
SRR22878281.fastq_bin_2040905.fasta	95.65	1.49	Gradient Boost (General Model)	11	0.928	9898	302.05830784913354	4781456	0.55	4905	630	67003	None
SRR22878281.fastq_bin_2069221.fasta	82.88	0.34	Gradient Boost (General Model)	11	0.897	9990	287.3724696356275	3317590	0.49	3458	403	36983	None
SRR22878281.fastq_bin_2091047.fasta	89.26	0.87	Gradient Boost (General Model)	11	0.91	6984	276.8243039879609	2421442	0.45	2658	391	28816	None
SRR22878281.fastq_bin_2104421.fasta	82.81	0.2	Neural Network (Specific Model)	11	0.887	12467	321.17157490396926	2542180	0.31	2343	252	58185	None
SRR22878281.fastq_bin_2115589.fasta	98.48	0.13	Gradient Boost (General Model)	11	0.912	30516	287.83728536385934	1155611	0.46	1223	64	74767	None
SRR22878281.fastq_bin_2131671.fasta	92.41	2.84	Gradient Boost (General Model)	11	0.907	13243	279.25752904908705	3888192	0.55	4217	438	86823	None
SRR22878281.fastq_bin_2147531.fasta	94.88	2.02	Neural Network (Specific Model)	11	0.909	22391	303.1454171562867	3400018	0.51	3404	245	92989	None
SRR22878281.fastq_bin_2694.fasta	94.44	1.83	Neural Network (Specific Model)	11	0.924	30607	326.4631655725748	2904154	0.31	2742	148	97007	None
SRR22878281.fastq_bin_34384.fasta	90.8	7.41	Neural Network (Specific Model)	11	0.922	28298	315.2426319396847	2988272	0.49	2918	170	123118	None
SRR22878281.fastq_bin_3891.fasta	91.67	0.25	Gradient Boost (General Model)	11	0.907	30820	291.1977234401349	2283108	0.39	2372	116	102840	None
SRR22878281.fastq_bin_47153.fasta	95.31	7.6	Gradient Boost (General Model)	11	0.914	22830	325.82381465517244	5945377	0.68	5568	376	144641	None
