,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
0,SRR24759610_binette_bin73.fasta.fasta,0.125,1147128,1684,1678,31953,85004,1760,201174,2,Bifidobacterium asteroides PRL2011
1,SRR24759615_binette_bin92.fasta.fasta,0.01756756756756757,3432411,1686310,773,772,356,28211,1224,2,Bartonella apis
2,SRR24759598_binette_bin27.fasta.fasta,0.097669256381798,3429880,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
3,SRR24759604_binette_bin52.fasta.fasta,0.00821917808219178,3435480,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
4,SRR24759603_binette_bin57.fasta.fasta,0.009202453987730062,3153492,3153492,570,543,91347,1236,1224,2,Klebsiella sp. GW_Kp181
5,SRR24759598_binette_bin53.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
6,SRR24759612_binette_bin19.fasta.fasta,0.018518518518518517,3429881,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
7,SRR24759616_binette_bin31.fasta.fasta,0.01384083044982699,2738127,2738127,613,1903411,91347,1236,1224,2,Serratia sp. Z4
8,SRR24759608_binette_bin65.fasta.fasta,0.016467065868263474,3435478,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
9,SRR24759616_binette_bin82.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
10,SRR24759608_binette_bin42.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
11,SRR24759598_binette_bin110.fasta.fasta,0.00684931506849315,3435480,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
12,SRR24759597_binette_bin61.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
13,SRR24759610_binette_bin49.fasta.fasta,0.09382151029748284,2705034,2705034,1193515,481,206351,28216,1224,2,Snodgrassella sp. ESL0323
14,SRR24759604_binette_bin51.fasta.fasta,0.03523035230352303,1341694,1687,1678,31953,85004,1760,201174,2,Bifidobacterium [indicum] DSM 20214 = LMG 11587
15,SRR24759600_binette_bin66.fasta.fasta,0.008324084350721421,3429880,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
16,SRR24759602_binette_bin27.fasta.fasta,0.006342494714587738,3434805,1684,1678,31953,85004,1760,201174,2,Bifidobacterium asteroides
17,SRR24759614_binette_bin23.fasta.fasta,0.041891891891891894,3432411,1686310,773,772,356,28211,1224,2,Bartonella apis
18,SRR24759598_binette_bin109.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
19,SRR24759600_binette_bin63.fasta.fasta,0.023446658851113716,2750982,2750982,1193503,1240483,1240482,1236,1224,2,Gilliamella sp. W8136
20,SRR24759600_binette_bin103.fasta.fasta,0.019178082191780823,3435480,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
21,SRR24759600_binette_bin114.fasta.fasta,0.019178082191780823,3435480,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
22,SRR24759596_binette_bin22.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
23,SRR24759615_binette_bin43.fasta.fasta,0.025449101796407185,3435478,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
24,SRR24759600_binette_bin49.fasta.fasta,0.011098779134295227,3429880,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
25,SRR24759597_binette_bin1.fasta.fasta,0.6451612903225806,3436046,1267021,1335631,1240483,1240482,1236,1224,2,Frischella perrara
26,SRR24759599_binette_bin27.fasta.fasta,0.32608695652173914,1970465,1970465,1193503,1240483,1240482,1236,1224,2,Gilliamella sp. A7
27,SRR24759602_binette_bin21.fasta.fasta,0.037037037037037035,1168170,571,570,543,91347,1236,1224,2,Klebsiella oxytoca BRL6-2
28,SRR24759597_binette_bin26.fasta.fasta,0.006756756756756757,3430990,153152,1578,33958,186826,91061,1239,2,uncultured Lactobacillus sp.
29,SRR24759601_binette_bin27.fasta.fasta,0.014983351831298557,3429880,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
30,SRR24759605_binette_bin36.fasta.fasta,0.049166310389055154,2079002,2079002,1485,31979,186802,186801,1239,2,Clostridium sp. Cult1
31,SRR24759612_binette_bin24.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
32,SRR24759608_binette_bin68.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
33,SRR24759611_binette_bin75.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
34,SRR24759600_binette_bin2.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
35,SRR24759612_binette_bin28.fasta.fasta,0.01593625498007968,1196094,1196083,1193515,481,206351,28216,1224,2,Snodgrassella alvi wkB2
36,SRR24759608_binette_bin88.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
37,SRR24759604_binette_bin54.fasta.fasta,0.040939193257074055,3435479,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
38,SRR24759598_binette_bin61.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
39,SRR24759611_binette_bin28.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
40,SRR24759597_binette_bin51.fasta.fasta,0.019461077844311378,3435478,104108,773,772,356,28211,1224,2,uncultured Bartonella sp.
41,SRR24759605_binette_bin38.fasta.fasta,0.030035335689045935,3230739,3230739,1678,31953,85004,1760,201174,2,Bifidobacterium apicola
42,SRR24759610_binette_bin74.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
43,SRR24759600_binette_bin105.fasta.fasta,0.01603206412825651,3429883,1196095,1193503,1240483,1240482,1236,1224,2,Gilliamella apicola
