MAG	Taxonomy	Cluster members	L50	N50 (kb)	Completeness	Contamination
SRR24759608_bin_64934	Providencia alcalifaciens	2	7	200.0	100.0%	0.05%
SRR24759606_bin_47167	Providencia rettgeri_D	1	6	301.9	100.0%	0.37%
SRR24759616_bin_33137	Proteus mirabilis	12	6	209.5	100.0%	0.1%
SRR24759605_bin_35353	Arsenophonus apicola	1	10	112.7	100.0%	0.7%
SRR24759598_bin_98484	Klebsiella oxytoca	9	31	49.8	100.0%	0.21%
SRR24759598_bin_132977	Serratia ureilytica	1	137	11.8	100.0%	1.81%
SRR24759606_bin_22995	Entomomonas (genus)	4	5	271.8	100.0%	0.53%
SRR24759603_bin_51590	Entomomonas (genus)	3	7	188.0	100.0%	0.05%
SRR24759600_bin_66323	Apibacter sp945280365	6	8	118.5	99.9%	0.05%
SRR24759612_bin_52183	Virgibacillus proomii_B	1	31	48.8	99.8%	0.99%
SRR24759600_bin_132439	Schnuerera sp021655095	1	37	23.6	99.6%	0.55%
SRR24759597_bin_73064	Frischella perrara	17	16	33.8	99.6%	1.16%
SRR24759610_bin_19	Enterococcus faecalis	7	56	17.1	99.5%	0.39%
SRR24759613_bin_105744	Novisyntrophococcus liquoris	9	17	72.2	98.8%	0.13%
SRR24759606_bin_54634	Apilactobacillus kunkeei_C	15	20	23.5	98.7%	1.47%
SRR24759600_bin_59453	Bartonella_A (genus)	2	6	123.1	98.4%	0.53%
SRR24759613_bin_39911	Fructobacillus fructosus	17	4	132.4	97.5%	0.23%
SRR24759604_bin_107333	Bifidobacterium indicum	8	35	18.8	96.8%	2.42%
SRR24759600_bin_64602	Entomomonas moraniae	1	4	285.8	95.8%	0.1%
SRR24759614_bin_135650	Mobilisporobacter (genus)	1	99	10.3	93.0%	1.32%
SRR24759614_bin_135155	Snodgrassella alvi	8	59	10.8	88.6%	1.92%
SRR24759613_bin_38453	Bartonella_A sp945285915	1	69	11.1	88.2%	1.45%
SRR24759600_bin_138516	Bartonella_A choladocola	2	33	14.5	87.7%	1.61%
SRR24759602_bin_50685	Providencia rettgeri	1	304	4.4	87.1%	7.31%
SRR24759598_bin_119213	Gilliamella sp945271295	3	15	47.9	86.0%	0.91%
SRR24759613_bin_56459	Bombilactobacillus mellis	4	30	15.2	85.5%	0.83%
SRR24759603_bin_106630	Entomomonas sp945283395	1	119	6.3	85.3%	1.7%
SRR24759603_bin_355	Lactobacillus helsingborgensis	6	52	10.1	83.6%	2.45%
SRR24759610_bin_70833	Bartonella_A (genus)	2	90	7.2	80.6%	18.57%
SRR24759607_bin_27236	Gilliamella apicola_N	1	82	9.0	78.8%	7.15%
SRR24759611_bin_62503	Gilliamella apicola	2	80	8.9	78.7%	5.01%
SRR24759616_bin_28305	Lactobacillus melliventris	3	39	11.5	77.4%	3.09%
SRR24759600_bin_174831	Novisyntrophococcus (genus)	1	379	2.8	77.3%	5.66%
SRR24759611_bin_106297	Gilliamella apis_A	1	161	4.4	76.9%	9.79%
SRR24759605_bin_65734	Apilactobacillus apinorum	4	41	8.3	75.8%	1.2%
SRR24759615_bin_55433	Gilliamella apicola_R	1	65	11.8	75.7%	6.96%
SRR24759604_bin_148146	Lactobacillus apis	1	72	6.1	75.4%	2.08%
SRR24759604_bin_148585	Snodgrassella alvi_G	1	133	4.6	75.0%	2.84%
