genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
SRR22878282_binette_bin116.fasta,1_0,0.050000000000000044,average,ANImf,1
SRR22878283_binette_bin124.fasta,2_0,0.050000000000000044,average,ANImf,2
SRR22878281_binette_bin206.fasta,3_0,0.050000000000000044,average,ANImf,3
SRR22878281_binette_bin41.fasta,4_0,0.050000000000000044,average,ANImf,4
SRR22878281_binette_bin55.fasta,5_0,0.050000000000000044,average,ANImf,5
SRR22878283_binette_bin22.fasta,6_0,0.050000000000000044,average,ANImf,6
SRR22878283_binette_bin58.fasta,7_0,0.050000000000000044,average,ANImf,7
SRR22878281_binette_bin22.fasta,8_0,0.050000000000000044,average,ANImf,8
SRR22878283_binette_bin152.fasta,9_0,0.050000000000000044,average,ANImf,9
SRR22878283_binette_bin56.fasta,10_0,0.050000000000000044,average,ANImf,10
SRR22878281_binette_bin141.fasta,11_0,0.050000000000000044,average,ANImf,11
SRR22878281_binette_bin67.fasta,12_0,0.050000000000000044,average,ANImf,12
SRR22878281_binette_bin2.fasta,13_0,0.050000000000000044,average,ANImf,13
SRR22878281_binette_bin199.fasta,14_0,0.050000000000000044,average,ANImf,14
SRR22878283_binette_bin218.fasta,15_0,0.050000000000000044,average,ANImf,15
SRR22878283_binette_bin107.fasta,16_0,0.050000000000000044,average,ANImf,16
SRR22878283_binette_bin141.fasta,17_0,0.050000000000000044,average,ANImf,17
SRR22878283_binette_bin16.fasta,18_0,0.050000000000000044,average,ANImf,18
SRR22878283_binette_bin4.fasta,19_0,0.050000000000000044,average,ANImf,19
SRR22878281_binette_bin162.fasta,20_0,0.050000000000000044,average,ANImf,20
SRR22878281_binette_bin24.fasta,21_0,0.050000000000000044,average,ANImf,21
SRR22878282_binette_bin54.fasta,22_0,0.050000000000000044,average,ANImf,22
SRR22878281_binette_bin1.fasta,23_0,0.050000000000000044,average,ANImf,23
SRR22878283_binette_bin87.fasta,24_0,0.050000000000000044,average,ANImf,24
SRR22878282_binette_bin117.fasta,25_0,0.050000000000000044,average,ANImf,25
SRR22878283_binette_bin52.fasta,26_0,0.050000000000000044,average,ANImf,26
SRR22878283_binette_bin14.fasta,27_0,0.050000000000000044,average,ANImf,27
SRR22878283_binette_bin94.fasta,28_0,0.050000000000000044,average,ANImf,28
SRR22878283_binette_bin122.fasta,29_0,0.050000000000000044,average,ANImf,29
SRR22878283_binette_bin62.fasta,30_0,0.050000000000000044,average,ANImf,30
SRR22878281_binette_bin152.fasta,31_0,0.050000000000000044,average,ANImf,31
SRR22878283_binette_bin215.fasta,32_0,0.050000000000000044,average,ANImf,32
SRR22878281_binette_bin282.fasta,33_0,0.050000000000000044,average,ANImf,33
SRR22878281_binette_bin134.fasta,34_0,0.050000000000000044,average,ANImf,34
SRR22878283_binette_bin41.fasta,35_0,0.050000000000000044,average,ANImf,35
SRR22878281_binette_bin90.fasta,36_0,0.050000000000000044,average,ANImf,36
SRR22878282_binette_bin77.fasta,37_0,0.050000000000000044,average,ANImf,37
SRR22878283_binette_bin88.fasta,38_0,0.050000000000000044,average,ANImf,38
SRR22878281_binette_bin212.fasta,39_0,0.050000000000000044,average,ANImf,39
SRR22878283_binette_bin96.fasta,40_0,0.050000000000000044,average,ANImf,40
SRR22878281_binette_bin249.fasta,41_0,0.050000000000000044,average,ANImf,41
SRR22878281_binette_bin108.fasta,42_0,0.050000000000000044,average,ANImf,42
SRR22878281_binette_bin194.fasta,43_0,0.050000000000000044,average,ANImf,43
SRR22878281_binette_bin201.fasta,44_0,0.050000000000000044,average,ANImf,44
SRR22878281_binette_bin64.fasta,45_0,0.050000000000000044,average,ANImf,45
SRR22878281_binette_bin51.fasta,46_0,0.050000000000000044,average,ANImf,46
SRR22878283_binette_bin147.fasta,47_0,0.050000000000000044,average,ANImf,47
SRR22878283_binette_bin66.fasta,48_0,0.050000000000000044,average,ANImf,48
SRR22878281_binette_bin15.fasta,49_0,0.050000000000000044,average,ANImf,49
SRR22878283_binette_bin43.fasta,50_0,0.050000000000000044,average,ANImf,50
SRR22878281_binette_bin53.fasta,51_0,0.050000000000000044,average,ANImf,51
SRR22878281_binette_bin91.fasta,52_0,0.050000000000000044,average,ANImf,52
SRR22878281_binette_bin26.fasta,53_0,0.050000000000000044,average,ANImf,53
SRR22878281_binette_bin49.fasta,54_0,0.050000000000000044,average,ANImf,54
SRR22878281_binette_bin208.fasta,55_0,0.050000000000000044,average,ANImf,55
SRR22878281_binette_bin27.fasta,56_0,0.050000000000000044,average,ANImf,56
SRR22878281_binette_bin200.fasta,57_0,0.050000000000000044,average,ANImf,57
SRR22878282_binette_bin124.fasta,58_0,0.050000000000000044,average,ANImf,58
SRR22878281_binette_bin129.fasta,59_0,0.050000000000000044,average,ANImf,59
SRR22878281_binette_bin243.fasta,60_0,0.050000000000000044,average,ANImf,60
SRR22878281_binette_bin248.fasta,61_0,0.050000000000000044,average,ANImf,61
SRR22878281_binette_bin245.fasta,62_0,0.050000000000000044,average,ANImf,62
SRR22878281_binette_bin30.fasta,63_0,0.050000000000000044,average,ANImf,63
SRR22878281_binette_bin210.fasta,64_0,0.050000000000000044,average,ANImf,64
SRR22878281_binette_bin123.fasta,65_0,0.050000000000000044,average,ANImf,65
SRR22878283_binette_bin70.fasta,66_0,0.050000000000000044,average,ANImf,66
SRR22878281_binette_bin116.fasta,67_0,0.050000000000000044,average,ANImf,67
SRR22878281_binette_bin93.fasta,68_0,0.050000000000000044,average,ANImf,68
SRR22878283_binette_bin104.fasta,69_0,0.050000000000000044,average,ANImf,69
SRR22878281_binette_bin81.fasta,70_0,0.050000000000000044,average,ANImf,70
SRR22878283_binette_bin17.fasta,71_0,0.050000000000000044,average,ANImf,71
SRR22878281_binette_bin60.fasta,72_0,0.050000000000000044,average,ANImf,72
SRR22878281_binette_bin95.fasta,73_0,0.050000000000000044,average,ANImf,73
SRR22878283_binette_bin1.fasta,74_0,0.050000000000000044,average,ANImf,74
SRR22878283_binette_bin57.fasta,75_0,0.050000000000000044,average,ANImf,75
SRR22878283_binette_bin93.fasta,76_0,0.050000000000000044,average,ANImf,76
SRR22878283_binette_bin103.fasta,77_0,0.050000000000000044,average,ANImf,77
SRR22878283_binette_bin136.fasta,78_0,0.050000000000000044,average,ANImf,78
SRR22878283_binette_bin29.fasta,79_0,0.050000000000000044,average,ANImf,79
SRR22878283_binette_bin128.fasta,80_0,0.050000000000000044,average,ANImf,80
SRR22878283_binette_bin2.fasta,81_0,0.050000000000000044,average,ANImf,81
SRR22878283_binette_bin8.fasta,82_0,0.050000000000000044,average,ANImf,82
SRR22878283_binette_bin212.fasta,83_0,0.050000000000000044,average,ANImf,83
SRR22878283_binette_bin7.fasta,84_0,0.050000000000000044,average,ANImf,84
SRR22878282_binette_bin169.fasta,85_0,0.050000000000000044,average,ANImf,85
SRR22878283_binette_bin195.fasta,86_0,0.050000000000000044,average,ANImf,86
SRR22878283_binette_bin202.fasta,87_0,0.050000000000000044,average,ANImf,87
SRR22878281_binette_bin139.fasta,88_0,0.050000000000000044,average,ANImf,88
SRR22878283_binette_bin73.fasta,89_0,0.050000000000000044,average,ANImf,89
SRR22878281_binette_bin73.fasta,90_0,0.050000000000000044,average,ANImf,90
SRR22878283_binette_bin131.fasta,91_0,0.050000000000000044,average,ANImf,91
SRR22878281_binette_bin215.fasta,92_0,0.050000000000000044,average,ANImf,92
SRR22878283_binette_bin90.fasta,93_0,0.050000000000000044,average,ANImf,93
SRR22878281_binette_bin112.fasta,94_0,0.050000000000000044,average,ANImf,94
