Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
SRR22878281.fastq_bin_1030637	126_0	1	94.29	1.3	4867065	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SZUA-35	CALEWY01		Gradient Boost (General Model)	11	0.93	52200	325.7738043946575	4642	152	183065		SRR22878281.fastq_bin_1030637	0.05	average	ANImf	126	SRR22878281.fastq_bin_1030637	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CALEWY01;s__	62.04	30.0	95.0	183065.0	52200.0	17053.0	4867065.0	4867065.0	4867065.0	62773.7	4618	0	0	1918	4	5	0	0	0	0	2	0	0	49	2
SRR22878281.fastq_bin_1047037	21_0	1	88.85	0.9	3654981	0.6	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter		Neural Network (Specific Model)	11	0.887	16112	303.6339410939692	3565	328	96306		SRR22878281.fastq_bin_1047037	0.05	average	ANImf	21	SRR22878281.fastq_bin_1047037	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__	59.51	66.0	228.0	96306.0	16112.0	4927.0	3654981.0	3654981.0	3654981.0	22363.0	3431	0	0	374	10	7	0	0	0	22	1	0	0	35	0
SRR22878281.fastq_bin_1048668	81_0	1	99.62	0.07	2677092	0.43	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella		Gradient Boost (General Model)	11	0.887	62436	316.7962445065921	2503	78	190839		SRR22878281.fastq_bin_1048668	0.05	average	ANImf	81	SRR22878281.fastq_bin_1048668	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__	43.47	14.0	46.0	190839.0	62436.0	15915.0	2677092.0	2677092.0	2677092.0	74381.9	2440	0	0	661	6	3	0	0	0	0	1	0	0	41	1
SRR22878281.fastq_bin_1065179	29_0	1	87.59	0.36	5913631	0.64	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	JAUIGD01		Gradient Boost (General Model)	11	0.926	9080	353.5209824018565	5171	865	38672		SRR22878281.fastq_bin_1065179	0.05	average	ANImf	29	SRR22878281.fastq_bin_1065179	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JAUIGD01;s__	64.05	205.0	620.0	38672.0	9080.0	3224.0	5913631.0	5913631.0	5913631.0	10888.7	4889	0	0	2788	1	3	0	0	0	1	2	0	0	36	1
SRR22878281.fastq_bin_1069559	1_0	1	88.96	1.52	3943993	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SHLQ01	SHLQ01		Gradient Boost (General Model)	11	0.935	34002	320.358220603538	3844	176	77593		SRR22878281.fastq_bin_1069559	0.05	average	ANImf	1	SRR22878281.fastq_bin_1069559	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	61.6	39.0	117.0	77593.0	34002.0	10310.0	3943993.0	3943993.0	3943993.0	37323.4	3793	0	0	1555	4	3	0	0	0	0	1	0	0	41	1
SRR22878281.fastq_bin_1070024	3_0	1	88.62	2.32	5282451	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	UBA10347	UBA10347		Gradient Boost (General Model)	11	0.927	35331	326.9496402877698	5004	221	108792		SRR22878281.fastq_bin_1070024	0.05	average	ANImf	3	SRR22878281.fastq_bin_1070024	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA10347;g__UBA10347;s__	61.7	50.0	153.0	108792.0	35331.0	11615.0	5282451.0	5282451.0	5282451.0	39575.5	4940	0	0	1944	3	4	0	0	0	2	0	0	0	58	1
SRR22878281.fastq_bin_1078928	11_0	1	88.1	2.75	4908150	0.37	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya		Neural Network (Specific Model)	11	0.821	69230	311.09817087288724	4319	138	242513		SRR22878281.fastq_bin_1078928	0.05	average	ANImf	11	SRR22878281.fastq_bin_1078928	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Waterburya;s__	37.04	21.0	70.0	242513.0	69230.0	21706.0	4908150.0	4908150.0	4908150.0	86274.9	4214	0	0	932	6	12	0	0	0	2	0	1	0	49	1
SRR22878281.fastq_bin_1177133	2_0	1	91.53	1.3	3267700	0.6	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SHLQ01	SHLQ01		Gradient Boost (General Model)	11	0.932	28025	319.7195850361521	3181	164	82825		SRR22878281.fastq_bin_1177133	0.05	average	ANImf	2	SRR22878281.fastq_bin_1177133	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__SHLQ01;g__SHLQ01;s__	59.95	39.0	117.0	82825.0	28025.0	9593.0	3267700.0	3267700.0	3267700.0	31165.3	3114	0	0	1249	4	3	0	0	0	0	1	0	0	44	1
SRR22878281.fastq_bin_1190068	55_0	1	89.71	1.73	2922806	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter		Neural Network (Specific Model)	11	0.916	12519	296.620232172471	3015	342	67190		SRR22878281.fastq_bin_1190068	0.05	average	ANImf	55	SRR22878281.fastq_bin_1190068	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	56.79	72.0	232.0	67190.0	12519.0	4078.0	2922806.0	2922806.0	2922806.0	15996.3	2875	0	0	568	4	2	0	0	0	11	1	0	0	31	0
SRR22878281.fastq_bin_1223417	6_0	1	78.38	1.78	3168983	0.36	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Aridibacter		Gradient Boost (General Model)	11	0.89	3747	254.5612658912632	3697	992	23988		SRR22878281.fastq_bin_1223417	0.05	average	ANImf	6	SRR22878281.fastq_bin_1223417	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__	35.7	276.0	769.0	23988.0	3747.0	1707.0	3168983.0	3168983.0	3168983.0	4608.8	2921	0	0	1260	2	1	0	0	0	7	0	0	0	28	1
