genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
DE04NGSUKBD140741Dm_binette_bin13.fasta,1_0,0.050000000000000044,average,ANImf,1
DE04NGSUKBD140741Dm_binette_bin7.fasta,2_0,0.050000000000000044,average,ANImf,2
DE04NGSUKBD140741Dm_binette_bin30.fasta,3_0,0.050000000000000044,average,ANImf,3
DE04NGSUKBD140741Dm_binette_bin5.fasta,4_0,0.050000000000000044,average,ANImf,4
DE04NGSUKBD140741Dm_binette_bin17.fasta,5_0,0.050000000000000044,average,ANImf,5
DE04NGSUKBD140741Dm_binette_bin23.fasta,6_0,0.050000000000000044,average,ANImf,6
DE04NGSUKBD140741Dm_binette_bin31.fasta,7_0,0.050000000000000044,average,ANImf,7
DE04NGSUKBD140741Dm_binette_bin4.fasta,8_0,0.050000000000000044,average,ANImf,8
DE04NGSUKBD140741Dm_binette_bin14.fasta,9_0,0.050000000000000044,average,ANImf,9
DE04NGSUKBD140741Dm_binette_bin21.fasta,10_0,0.050000000000000044,average,ANImf,10
DE04NGSUKBD140741Dm_binette_bin2.fasta,11_1,0.050000000000000044,average,ANImf,11
DE96NGSUKBD140734Dm_binette_bin1.fasta,11_2,0.050000000000000044,average,ANImf,11
DE04NGSUKBD140741Dm_binette_bin29.fasta,12_1,0.050000000000000044,average,ANImf,12
DE20NGSUKBD140744Dm_binette_bin1.fasta,12_1,0.050000000000000044,average,ANImf,12
DE31NGSUKBD140740Dm_binette_bin1.fasta,12_1,0.050000000000000044,average,ANImf,12
DE47NGSUKBD140743Dm_binette_bin1.fasta,12_1,0.050000000000000044,average,ANImf,12
DE63NGSUKBD140746Dm_binette_bin1.fasta,12_1,0.050000000000000044,average,ANImf,12
DE90NGSUKBD140745Dm_binette_bin6.fasta,12_1,0.050000000000000044,average,ANImf,12
DE05NGSUKBD140723Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE10NGSUKBD140730Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE10NGSUKBD140730Sc_binette_bin2.fasta,13_1,0.050000000000000044,average,ANImf,13
DE16NGSUKBD140719Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE21NGSUKBD140726Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE32NGSUKBD140722Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE37NGSUKBD140729Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE48NGSUKBD140725Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE53NGSUKBD140732Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE59NGSUKBD140721Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE64NGSUKBD140728Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE75NGSUKBD140724Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE80NGSUKBD140731Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE86NGSUKBD140720Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE91NGSUKBD140727Sc_binette_bin1.fasta,13_1,0.050000000000000044,average,ANImf,13
DE74NGSUKBD140742Dm_binette_bin2.fasta,14_0,0.050000000000000044,average,ANImf,14
DE15NGSUKBD140737Dm_binette_bin1.fasta,15_1,0.050000000000000044,average,ANImf,15
DE26NGSUKBD140733Dm_binette_bin3.fasta,15_1,0.050000000000000044,average,ANImf,15
DE69NGSUKBD140735Dm_binette_bin2.fasta,15_1,0.050000000000000044,average,ANImf,15
DE26NGSUKBD140733Dm_binette_bin2.fasta,16_1,0.050000000000000044,average,ANImf,16
DE69NGSUKBD140735Dm_binette_bin1.fasta,16_1,0.050000000000000044,average,ANImf,16
DE31NGSUKBD140740Dm_binette_bin5.fasta,17_0,0.050000000000000044,average,ANImf,17
DE47NGSUKBD140743Dm_binette_bin3.fasta,18_0,0.050000000000000044,average,ANImf,18
DE31NGSUKBD140740Dm_binette_bin3.fasta,19_0,0.050000000000000044,average,ANImf,19
DE90NGSUKBD140745Dm_binette_bin5.fasta,20_0,0.050000000000000044,average,ANImf,20
DE31NGSUKBD140740Dm_binette_bin4.fasta,21_0,0.050000000000000044,average,ANImf,21
DE20NGSUKBD140744Dm_binette_bin2.fasta,22_1,0.050000000000000044,average,ANImf,22
DE47NGSUKBD140743Dm_binette_bin2.fasta,22_1,0.050000000000000044,average,ANImf,22
DE74NGSUKBD140742Dm_binette_bin1.fasta,22_1,0.050000000000000044,average,ANImf,22
DE63NGSUKBD140746Dm_binette_bin4.fasta,23_1,0.050000000000000044,average,ANImf,23
DE74NGSUKBD140742Dm_binette_bin7.fasta,23_1,0.050000000000000044,average,ANImf,23
DE74NGSUKBD140742Dm_binette_bin6.fasta,24_0,0.050000000000000044,average,ANImf,24
DE31NGSUKBD140740Dm_binette_bin7.fasta,25_1,0.050000000000000044,average,ANImf,25
DE47NGSUKBD140743Dm_binette_bin5.fasta,25_1,0.050000000000000044,average,ANImf,25
DE63NGSUKBD140746Dm_binette_bin6.fasta,25_1,0.050000000000000044,average,ANImf,25
DE20NGSUKBD140744Dm_binette_bin3.fasta,26_0,0.050000000000000044,average,ANImf,26
DE74NGSUKBD140742Dm_binette_bin4.fasta,27_0,0.050000000000000044,average,ANImf,27
DE20NGSUKBD140744Dm_binette_bin4.fasta,28_0,0.050000000000000044,average,ANImf,28
DE63NGSUKBD140746Dm_binette_bin3.fasta,29_0,0.050000000000000044,average,ANImf,29
DE47NGSUKBD140743Dm_binette_bin6.fasta,30_0,0.050000000000000044,average,ANImf,30
DE90NGSUKBD140745Dm_binette_bin4.fasta,31_0,0.050000000000000044,average,ANImf,31
DE47NGSUKBD140743Dm_binette_bin4.fasta,32_0,0.050000000000000044,average,ANImf,32
DE47NGSUKBD140743Dm_binette_bin7.fasta,33_0,0.050000000000000044,average,ANImf,33
