Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
DE04NGSUKBD140741Dm_binette_bin1.fasta	k__Bacteria (UID2495)	2993	143	89	9	134	0	0	0	0	90.91	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin10.fasta	k__Bacteria (UID2495)	2993	142	88	50	92	0	0	0	0	80.17	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin11.fasta	k__Bacteria (UID2495)	2993	142	88	43	97	1	1	0	0	81.64	3.41	50.00
DE04NGSUKBD140741Dm_binette_bin12.fasta	k__Bacteria (UID2495)	2993	142	88	58	84	0	0	0	0	70.80	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin13.fasta	o__Bacteroidales (UID2654)	163	486	266	154	331	1	0	0	0	74.06	0.38	100.00
DE04NGSUKBD140741Dm_binette_bin14.fasta	k__Bacteria (UID2495)	2993	143	89	25	107	10	1	0	0	81.05	9.28	0.00
DE04NGSUKBD140741Dm_binette_bin15.fasta	k__Bacteria (UID2495)	2993	142	88	55	83	4	0	0	0	75.72	3.51	100.00
DE04NGSUKBD140741Dm_binette_bin16.fasta	k__Bacteria (UID203)	5449	104	58	53	49	2	0	0	0	70.67	1.72	0.00
DE04NGSUKBD140741Dm_binette_bin17.fasta	p__Bacteroidetes (UID2605)	350	316	210	131	181	4	0	0	0	63.90	1.59	50.00
DE04NGSUKBD140741Dm_binette_bin18.fasta	k__Bacteria (UID2495)	2993	142	88	33	94	15	0	0	0	76.64	7.39	86.67
DE04NGSUKBD140741Dm_binette_bin19.fasta	k__Bacteria (UID209)	5443	105	59	40	65	0	0	0	0	59.63	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin2.fasta	k__Bacteria (UID2495)	2993	142	88	4	138	0	0	0	0	95.45	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin20.fasta	k__Bacteria (UID2982)	88	230	148	86	142	2	0	0	0	58.12	0.81	0.00
DE04NGSUKBD140741Dm_binette_bin21.fasta	k__Bacteria (UID2495)	2993	143	89	34	91	16	2	0	0	76.02	12.64	59.09
DE04NGSUKBD140741Dm_binette_bin22.fasta	k__Bacteria (UID2495)	2993	142	88	65	75	2	0	0	0	72.93	1.52	100.00
DE04NGSUKBD140741Dm_binette_bin23.fasta	p__Bacteroidetes (UID2605)	350	316	210	110	190	16	0	0	0	62.44	3.87	37.50
DE04NGSUKBD140741Dm_binette_bin24.fasta	k__Bacteria (UID203)	5449	100	55	62	35	3	0	0	0	54.30	1.98	0.00
DE04NGSUKBD140741Dm_binette_bin25.fasta	k__Bacteria (UID2982)	88	230	148	118	105	6	1	0	0	39.59	4.19	11.11
DE04NGSUKBD140741Dm_binette_bin26.fasta	k__Bacteria (UID2495)	2993	142	88	63	72	6	1	0	0	58.61	7.49	11.11
DE04NGSUKBD140741Dm_binette_bin27.fasta	k__Bacteria (UID203)	5449	100	55	57	30	13	0	0	0	55.29	11.16	84.62
DE04NGSUKBD140741Dm_binette_bin28.fasta	k__Bacteria (UID2495)	2993	142	88	55	74	12	1	0	0	68.96	9.40	46.67
DE04NGSUKBD140741Dm_binette_bin3.fasta	k__Bacteria (UID2495)	2993	142	88	3	135	4	0	0	0	97.35	3.03	75.00
DE04NGSUKBD140741Dm_binette_bin30.fasta	p__Bacteroidetes (UID2605)	350	316	210	146	166	4	0	0	0	55.69	1.52	50.00
DE04NGSUKBD140741Dm_binette_bin31.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin32.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin33.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin4.fasta	c__Betaproteobacteria (UID3971)	223	425	211	139	271	14	1	0	0	64.51	3.75	0.00
DE04NGSUKBD140741Dm_binette_bin5.fasta	p__Bacteroidetes (UID2605)	350	316	210	11	295	9	1	0	0	95.71	3.42	83.33
DE04NGSUKBD140741Dm_binette_bin6.fasta	k__Bacteria (UID2495)	2993	142	88	38	104	0	0	0	0	88.64	0.00	0.00
DE04NGSUKBD140741Dm_binette_bin7.fasta	k__Bacteria (UID2570)	433	273	183	40	230	3	0	0	0	82.90	1.64	100.00
DE04NGSUKBD140741Dm_binette_bin8.fasta	k__Bacteria (UID2495)	2993	142	88	31	108	3	0	0	0	94.32	1.43	66.67
DE04NGSUKBD140741Dm_binette_bin9.fasta	k__Bacteria (UID2495)	2993	142	88	18	123	1	0	0	0	82.89	1.14	0.00
DE15NGSUKBD140737Dm_binette_bin1.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE16NGSUKBD140719Sc_binette_bin1.fasta	o__Rickettsiales (UID3811)	63	368	234	23	344	1	0	0	0	93.48	0.14	0.00
DE20NGSUKBD140744Dm_binette_bin3.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE20NGSUKBD140744Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE20NGSUKBD140744Dm_binette_bin5.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE20NGSUKBD140744Dm_binette_bin6.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE26NGSUKBD140733Dm_binette_bin1.fasta	k__Bacteria (UID2142)	169	316	236	16	295	5	0	0	0	93.75	2.12	20.00
DE26NGSUKBD140733Dm_binette_bin2.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE31NGSUKBD140740Dm_binette_bin1.fasta	k__Bacteria (UID203)	5449	98	52	96	2	0	0	0	0	1.28	0.00	0.00
DE31NGSUKBD140740Dm_binette_bin3.fasta	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	0.16	0.00	0.00
DE31NGSUKBD140740Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE31NGSUKBD140740Dm_binette_bin5.fasta	k__Archaea (UID2)	207	149	107	148	1	0	0	0	0	0.93	0.00	0.00
DE47NGSUKBD140743Dm_binette_bin3.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE47NGSUKBD140743Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE47NGSUKBD140743Dm_binette_bin5.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE47NGSUKBD140743Dm_binette_bin6.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE47NGSUKBD140743Dm_binette_bin7.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE63NGSUKBD140746Dm_binette_bin2.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE63NGSUKBD140746Dm_binette_bin3.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE63NGSUKBD140746Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE63NGSUKBD140746Dm_binette_bin5.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE74NGSUKBD140742Dm_binette_bin1.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE74NGSUKBD140742Dm_binette_bin2.fasta	k__Bacteria (UID203)	5449	102	58	101	1	0	0	0	0	0.57	0.00	0.00
DE74NGSUKBD140742Dm_binette_bin3.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE74NGSUKBD140742Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE74NGSUKBD140742Dm_binette_bin6.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE90NGSUKBD140745Dm_binette_bin1.fasta	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	11.00	0.00	0.00
DE90NGSUKBD140745Dm_binette_bin4.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE90NGSUKBD140745Dm_binette_bin5.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
DE96NGSUKBD140734Dm_binette_bin1.fasta	k__Bacteria (UID2495)	2993	142	88	44	96	2	0	0	0	80.68	0.21	100.00
