Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
SRR22878281.fastq_bin_1030637.fasta	k__Bacteria (UID1453)	901	171	117	2	165	4	0	0	0	98.29	1.99	50.00
SRR22878281.fastq_bin_1047037.fasta	f__Rhodobacteraceae (UID3375)	32	625	283	71	545	9	0	0	0	88.35	1.69	66.67
SRR22878281.fastq_bin_1048668.fasta	p__Proteobacteria (UID3880)	1495	261	164	5	254	2	0	0	0	96.95	1.22	50.00
SRR22878281.fastq_bin_1065179.fasta	k__Bacteria (UID2982)	88	229	147	12	212	4	1	0	0	92.38	3.20	0.00
SRR22878281.fastq_bin_1069559.fasta	k__Bacteria (UID1453)	901	171	117	15	154	2	0	0	0	92.59	1.28	0.00
SRR22878281.fastq_bin_1070024.fasta	k__Bacteria (UID1453)	901	171	117	13	158	0	0	0	0	90.31	0.00	0.00
SRR22878281.fastq_bin_1078928.fasta	p__Cyanobacteria (UID2192)	79	584	458	64	516	4	0	0	0	93.46	0.73	0.00
SRR22878281.fastq_bin_1177133.fasta	k__Bacteria (UID1453)	901	171	117	13	157	1	0	0	0	90.17	0.85	0.00
SRR22878281.fastq_bin_1190068.fasta	o__Sphingomonadales (UID3310)	26	569	293	76	481	12	0	0	0	90.62	2.34	33.33
SRR22878281.fastq_bin_1223417.fasta	k__Bacteria (UID3187)	2258	188	117	46	140	1	1	0	0	74.81	0.95	0.00
SRR22878281.fastq_bin_1272423.fasta	c__Deltaproteobacteria (UID3216)	83	247	155	36	199	12	0	0	0	82.51	6.56	83.33
SRR22878281.fastq_bin_1299134.fasta	k__Bacteria (UID2565)	2921	140	85	26	112	2	0	0	0	79.69	2.35	0.00
SRR22878281.fastq_bin_1315445.fasta	s__algicola (UID2846)	47	571	303	41	523	7	0	0	0	96.50	0.99	42.86
SRR22878281.fastq_bin_1318659.fasta	o__Rhizobiales (UID3447)	356	413	248	7	405	1	0	0	0	98.31	0.10	0.00
SRR22878281.fastq_bin_1327645.fasta	o__Rhodospirillales (UID3754)	63	336	201	83	246	7	0	0	0	87.19	2.57	28.57
SRR22878281.fastq_bin_1330403.fasta	p__Proteobacteria (UID3880)	1495	261	164	5	251	5	0	0	0	97.26	1.07	0.00
SRR22878281.fastq_bin_1348881.fasta	s__algicola (UID2847)	33	496	263	119	342	34	1	0	0	74.22	7.23	67.57
SRR22878281.fastq_bin_1355362.fasta	k__Bacteria (UID203)	5449	104	58	66	35	3	0	0	0	56.03	3.45	33.33
SRR22878281.fastq_bin_1360208.fasta	k__Bacteria (UID203)	5449	104	58	60	40	4	0	0	0	63.09	6.90	75.00
SRR22878281.fastq_bin_1380972.fasta	k__Bacteria (UID2982)	88	229	147	14	202	13	0	0	0	94.01	3.30	15.38
SRR22878281.fastq_bin_1406449.fasta	c__Deltaproteobacteria (UID3216)	83	247	155	16	228	3	0	0	0	92.16	1.45	33.33
SRR22878281.fastq_bin_1415033.fasta	o__Sphingomonadales (UID3310)	26	569	293	108	460	1	0	0	0	86.50	0.17	0.00
SRR22878281.fastq_bin_1437311.fasta	c__Gammaproteobacteria (UID4267)	119	544	284	39	496	8	1	0	0	91.16	2.22	18.18
SRR22878281.fastq_bin_1475309.fasta	o__Pseudomonadales (UID4679)	87	674	364	8	659	7	0	0	0	98.62	1.57	28.57
SRR22878281.fastq_bin_1479957.fasta	c__Gammaproteobacteria (UID4267)	119	544	284	52	470	22	0	0	0	88.82	2.54	27.27
SRR22878281.fastq_bin_1483024.fasta	c__Gammaproteobacteria (UID4267)	119	544	284	117	405	17	4	1	0	82.21	5.95	2.86
SRR22878281.fastq_bin_1505020.fasta	c__Deltaproteobacteria (UID3216)	83	247	155	9	235	3	0	0	0	94.84	1.94	0.00
SRR22878281.fastq_bin_1506086.fasta	o__Rhizobiales (UID3447)	356	413	248	64	337	12	0	0	0	89.33	2.32	50.00
SRR22878281.fastq_bin_1524409.fasta	s__algicola (UID2846)	47	571	303	26	535	10	0	0	0	93.40	2.24	50.00
SRR22878281.fastq_bin_1532639.fasta	k__Bacteria (UID203)	5449	104	58	58	44	2	0	0	0	56.66	3.45	0.00
SRR22878281.fastq_bin_1633526.fasta	c__Alphaproteobacteria (UID3422)	26	529	308	54	463	12	0	0	0	87.20	2.87	41.67
SRR22878281.fastq_bin_1641228.fasta	k__Bacteria (UID3187)	2258	190	119	9	179	2	0	0	0	93.64	1.26	50.00
SRR22878281.fastq_bin_1700770.fasta	c__Gammaproteobacteria (UID4274)	112	581	290	139	385	54	0	3	0	74.12	12.08	62.50
SRR22878281.fastq_bin_1734399.fasta	k__Bacteria (UID3187)	2258	188	117	39	146	3	0	0	0	88.89	2.56	0.00
SRR22878281.fastq_bin_1837401.fasta	p__Cyanobacteria (UID2192)	79	584	458	10	564	9	1	0	0	97.82	2.18	16.67
SRR22878281.fastq_bin_1874621.fasta	p__Cyanobacteria (UID2192)	79	584	458	48	531	5	0	0	0	91.27	0.98	40.00
SRR22878281.fastq_bin_1875330.fasta	c__Gammaproteobacteria (UID4444)	263	506	232	36	467	3	0	0	0	98.40	0.91	33.33
SRR22878281.fastq_bin_1885024.fasta	c__Gammaproteobacteria (UID4787)	26	752	296	49	672	31	0	0	0	95.42	5.38	64.52
SRR22878281.fastq_bin_1944003.fasta	s__algicola (UID2846)	47	571	303	28	531	12	0	0	0	94.52	2.38	58.33
SRR22878281.fastq_bin_1964116.fasta	k__Bacteria (UID2329)	174	149	89	24	125	0	0	0	0	78.60	0.00	0.00
SRR22878281.fastq_bin_2009255.fasta	o__Rhizobiales (UID3447)	356	413	248	165	243	5	0	0	0	66.86	0.88	60.00
SRR22878281.fastq_bin_2019818.fasta	k__Bacteria (UID203)	5449	104	58	46	57	1	0	0	0	77.90	1.72	100.00
SRR22878281.fastq_bin_2040905.fasta	c__Gammaproteobacteria (UID4443)	356	451	270	48	386	17	0	0	0	88.22	4.26	11.76
SRR22878281.fastq_bin_2069221.fasta	c__Alphaproteobacteria (UID3337)	468	388	250	91	294	3	0	0	0	84.82	1.20	0.00
SRR22878281.fastq_bin_2091047.fasta	o__Rhizobiales (UID3449)	345	431	258	109	316	6	0	0	0	78.79	1.84	83.33
SRR22878281.fastq_bin_2104421.fasta	s__algicola (UID2847)	33	496	263	48	444	4	0	0	0	92.87	1.00	50.00
SRR22878281.fastq_bin_2115589.fasta	k__Bacteria (UID1452)	924	161	108	29	129	3	0	0	0	76.08	1.49	33.33
SRR22878281.fastq_bin_2131671.fasta	f__Rhodobacteraceae (UID3356)	67	617	330	55	522	40	0	0	0	91.06	7.96	17.50
