Name	Species-level MAG count	Completeness	Contamination	Genome Size	GC Content	Domain	Phylum	Class	Order	Family	Genus	Species
SRR22878281.fastq_bin_1223417	1	78.38	1.78	3168983	0.36	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Aridibacter	
SRR22878281.fastq_bin_1734399	1	94.69	1.07	3803620	0.41	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Aridibacter	
SRR22878281.fastq_bin_1069559	1	88.96	1.52	3943993	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SHLQ01	SHLQ01	
SRR22878281.fastq_bin_1177133	1	91.53	1.3	3267700	0.6	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SHLQ01	SHLQ01	
SRR22878281.fastq_bin_1030637	1	94.29	1.3	4867065	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SZUA-35	CALEWY01	
SRR22878281.fastq_bin_47153	1	95.33	7.73	5945377	0.68	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	SZUA-35	JAHELU01	
SRR22878281.fastq_bin_1070024	1	88.62	2.32	5282451	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	UBA10347	UBA10347	
SRR22878281.fastq_bin_6555	1	82.72	6.6	5111251	0.6	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	UBA10347	UBA10347	
SRR22878281.fastq_bin_952057	1	93.17	0.9	5062684	0.62	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	UBA10347	UBA10347	
SRR22878281.fastq_bin_843222	1	98.37	0.03	2493871	0.35	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	JAHQVX01	JAHQVX01	
SRR22878283.fastq_bin_626659	1	96.67	0.95	3426055	0.38	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
SRR22878282.fastq_bin_335615	2	78.89	2.67	2953807	0.4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	GYS-P2D	
SRR22878282.fastq_bin_649781	1	89.43	0.23	5157110	0.4	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	CANLOE01	
SRR22878281.fastq_bin_770942	1	98.64	0.01	3223627	0.39	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
SRR22878283.fastq_bin_599096	2	89.32	0.9	3002354	0.32	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
SRR22878281.fastq_bin_681284	1	81.88	0.95	2540319	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	AU392	
SRR22878281.fastq_bin_2104421	1	82.71	0.2	2542180	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878282.fastq_bin_289431	1	79.38	0.91	2638237	0.32	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878282.fastq_bin_596555	2	95.35	0.32	5737126	0.33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878283.fastq_bin_361576	1	92.58	0.64	3371644	0.33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878283.fastq_bin_563799	1	90.31	0.26	3116776	0.33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878283.fastq_bin_758824	1	96.89	2.07	5469760	0.33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
SRR22878282.fastq_bin_2024	2	84.49	0.61	3144490	0.32	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CALKXS01	
SRR22878283.fastq_bin_374669	3	93.9	0.08	3817054	0.32	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CALKXS01	
SRR22878281.fastq_bin_1944003	1	85.36	1.44	3738231	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CANMSI01	
SRR22878282.fastq_bin_590945	3	99.58	0.36	3567089	0.32	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica
SRR22878283.fastq_bin_357648	1	76.62	18.46	4169537	0.34	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	
SRR22878283.fastq_bin_681399	1	86.91	4.21	3109036	0.34	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	
SRR22878281.fastq_bin_1348881	1	76.66	5.27	3298540	0.37	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp000355805
SRR22878282.fastq_bin_901601	3	92.06	1.48	3103308	0.38	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp947496725
SRR22878281.fastq_bin_2694	2	93.54	1.84	2904154	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	Lacinutrix sp000211855
SRR22878282.fastq_bin_894258	2	93.78	1.52	4051604	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter litoralis
SRR22878281.fastq_bin_1355362	1	81.25	1.69	2398137	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter_B	Maribacter_B vaceletii
SRR22878281.fastq_bin_1524409	1	89.28	0.39	3378960	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter_C	
SRR22878282.fastq_bin_610670	1	97.58	0.63	3614142	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter_C	
SRR22878283.fastq_bin_262641	1	77.26	6.44	2503240	0.33	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ochrovirga	
SRR22878281.fastq_bin_1315445	1	91.52	1.34	3088916	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya sediminilitoris
SRR22878282.fastq_bin_870593	1	89.64	2.87	3378969	0.3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
SRR22878281.fastq_bin_2159216	2	86.46	2.56	2248886	0.3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp002005425
SRR22878281.fastq_bin_760565	2	89.11	2.28	4582822	0.29	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	
SRR22878283.fastq_bin_7858	1	84.34	4.36	2863580	0.3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	
SRR22878283.fastq_bin_8829	1	94.52	2.02	2955559	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia	
SRR22878283.fastq_bin_640648	1	86.22	3.6	2007155	0.37	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae		
SRR22878282.fastq_bin_892974	1	89.17	1.21	2919671	0.33	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	CAKZJW01	
SRR22878283.fastq_bin_286550	1	98.78	0.9	3056717	0.32	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	CAKZJW01	
SRR22878281.fastq_bin_1641228	1	95.77	1.02	3480346	0.43	Bacteria	Bdellovibrionota	UBA2361	UBA2361	J046		
SRR22878283.fastq_bin_492641	2	86.98	1.97	5517440	0.48	Bacteria	Chloroflexota	Anaerolineae	Promineifilales	Promineifilaceae	WTJY01	
SRR22878282.fastq_bin_892601	1	99.93	0.05	6126132	0.39	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Spirulinaceae		
SRR22878281.fastq_bin_1874621	1	85.93	0.31	3877762	0.39	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Hyella	
SRR22878281.fastq_bin_1078928	1	88.1	2.75	4908150	0.37	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya	
SRR22878281.fastq_bin_1837401	1	96.67	0.95	6043327	0.38	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya	
SRR22878282.fastq_bin_11756	1	99.25	1.27	4584276	0.39	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya	
SRR22878282.fastq_bin_885747	1	99.32	0.92	5561567	0.65	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	SZUA-265	
SRR22878281.fastq_bin_1406449	1	94.23	1.58	4736166	0.68	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	CALDCK01	
SRR22878281.fastq_bin_1505020	1	94.86	0.25	3575065	0.63	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	CALDCK01	
SRR22878281.fastq_bin_1272423	1	84.41	3.88	2719894	0.6	Bacteria	Myxococcota_A	UBA9160	UBA9160	UBA4427	UBA4427	
SRR22878281.fastq_bin_742824	1	95.87	1.99	4376436	0.6	Bacteria	Myxococcota_A	UBA9160	UBA9160	UBA4427	UBA4427	
SRR22878283.fastq_bin_617109	1	78.66	13.49	926899	0.43	Bacteria	Patescibacteria	Gracilibacteria	UBA4473	UBA4473	JAHDBZ01	
SRR22878281.fastq_bin_1964116	2	88.35	0.1	1217276	0.26	Bacteria	Patescibacteria	JAEDAM01	BD1-5	UBA6164	CAJXJP01	
SRR22878281.fastq_bin_2115589	1	98.23	0.29	1155611	0.46	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	CALFBO01		
