,shannon,simpson_d,pielou_e,berger_parker_d,doubles,chao1,ace,margalef,menhinick,observed_features,singles,brillouin_d,enspie,fisher_alpha,hill,inv_simpson,kempton_taylor_q,renyi,tsallis,heip_e,mcintosh_e,simpson_e,dominance,gini_index,mcintosh_d,strong,goods_coverage,robbins,total_count,unique_kmers,mean_count,median_count,max_count,min_count,std_count,count_range,num_singletons,num_doubletons,percent_singletons,file_size
SRR1611146,6.127422498622003,0.0024270367979622653,0.982530366424588,0.007553545687325146,0.0,511.0,511.0,22.54719671055584,0.006262095858900114,511.0,0.0,6.12742180561114,412.0250672917682,26.414685115907943,412.0250672917682,412.0250672917682,409.77862765496747,6.021084190439855,0.9975729632020377,0.8965754669950067,0.12020909374590712,0.8063112862852606,0.0024270367979622653,0.25537588896602526,0.9507466857931949,0.17979298137640493,1.0,0.0,6658898229.0,511.0,13031111.994129159,12138761.0,50298292.0,2084592.0,6386784.540218796,48213700.0,0.0,0.0,0.0,5977356076
SRR18243786,6.17687787813772,0.002186255901086203,0.9904605217497956,0.00448276982310514,0.0,511.0,511.0,22.646229084604627,0.006579587556330903,511.0,0.0,6.176877115351251,457.4029963752951,26.557901219069066,457.4029963752951,457.4029963752951,575.5795527568825,6.125564832453309,0.9978137440989138,0.9421300944620863,,0.8951134958420648,0.002186255901086203,0.1877206143899136,0.9532548585529098,0.1327637765126607,1.0,0.0,6031765642.0,511.0,11803846.657534247,11833162.0,27039017.0,1019339.0,4040585.6003243392,26019678.0,0.0,0.0,0.0,2612473254
ERR5032745,6.17716463337606,0.0022011659025703493,0.9905065028665644,0.004510588340291988,0.0,511.0,511.0,23.87135237297944,0.01172665621282244,511.0,0.0,6.177162364615352,454.3046931775012,28.35799152624569,454.3046931775012,454.3046931775012,574.3524771997099,6.118768103281007,0.9977988340974296,0.9424008562863767,0.046916597116132816,0.8890502801908046,0.0022011659025703493,0.19096591607098634,0.9531052877706175,0.13716550013821066,1.0,0.0,1898862045.0,511.0,3715972.6908023483,3455732.0,8564985.0,1286469.0,1312721.072917855,7278516.0,0.0,0.0,0.0,791809388
ERR9752780,6.063069119986753,0.0027499994450364907,0.9722113213929499,0.009226331684775662,0.0,511.0,511.0,23.261587938209786,0.008862656925238847,511.0,0.0,6.063067790049833,363.63643701998296,27.455415213059037,363.63643701998296,363.63643701998296,335.4288519126916,5.89615456910859,0.9972500005549635,0.8405729256483777,,0.71161729358118,0.0027499994450364907,0.32167315725591716,0.9475759974053193,0.23410063188212948,1.0,0.0,3324404980.0,511.0,6505684.892367906,5340032.0,30672063.0,982411.0,4141468.7042879583,29689652.0,0.0,0.0,0.0,1719291408
ERR4398757,6.170970532965731,0.0022157991258588486,0.9895132807169247,0.005069532347208695,0.0,511.0,511.0,22.313091960273336,0.005561437608453366,511.0,0.0,6.17096997795157,451.30444737963234,26.077462411640145,451.30444737963234,451.30444737963234,526.8435745690313,6.112142161381413,0.9977842008741411,0.9365694642191815,,0.8831789576900828,0.0022157991258588486,0.1990869283993546,0.9529380956898681,0.14157290715372828,1.0,0.0,8442433753.0,511.0,16521396.776908023,15847948.0,42799191.0,2011533.0,6008733.508037122,40787658.0,0.0,0.0,0.0,3697669370
SRR12181028,5.959542884808901,0.0035894981376903947,0.9556109205218286,0.01388516345755158,0.0,511.0,511.0,22.134788127903843,0.005072317164537394,511.0,0.0,5.9595424226918645,278.5904774541641,25.82186173018916,278.5904774541641,278.5904774541641,332.3333702674529,5.6297428807693235,0.9964105018623096,0.7577117299058842,,0.5451868443330022,0.0035894981376903947,0.3808083238764256,0.9400969110804739,0.28070915126791324,1.0,0.0,10149134249.0,511.0,19861319.46966732,14175618.0,140922388.0,3132338.0,18140611.498202305,137790050.0,0.0,0.0,0.0,4892394395
ERR7783799,6.0170172313965145,0.0029955675950563213,0.9648269148204821,0.012150443060467383,0.0,511.0,511.0,22.633878186189488,0.006539283481129427,511.0,0.0,6.017016484079937,333.8265514857122,26.540021573074547,333.8265514857122,333.8265514857122,274.8139714593533,5.810621551161152,0.9970044324049436,0.8026525119274743,0.5324577764939232,0.6532809226726266,0.0029955675950563213,0.3607967746262778,0.9452803181248285,0.25865217070714364,1.0,0.0,6106346874.0,511.0,11949798.187866928,10155483.0,74194820.0,1443283.0,8705614.902172837,72751537.0,0.0,0.0,0.0,2675985565
ERR9358601,6.094601790693563,0.0027279101411774673,0.9772675757169949,0.009696253246677439,0.0,511.0,511.0,32.375690648935816,0.19399745020968234,511.0,0.0,6.094189381738278,366.58098993259466,42.57906438302696,366.58098993259466,366.58098993259466,541.8726092066001,5.904219478994512,0.9972720898588225,0.8675635708640896,0.05223323863888496,0.7173796280481304,0.0027279101411774673,0.26606275638943433,0.9481305516955261,0.18588955167870858,1.0,0.0,6938247.0,511.0,13577.78277886497,11686.0,67275.0,3887.0,8522.285290529015,63388.0,0.0,0.0,0.0,3324980
SRR9006527,6.124519759078746,0.0024442676721384703,0.9820649130063337,0.007926921851832375,0.0,511.0,511.0,22.70306604960464,0.006767703246171226,511.0,0.0,6.1245189567258125,409.12049502545193,26.640248183259576,409.12049502545193,409.12049502545193,413.59359941430375,6.014009721518318,0.9975557323278615,0.8939710321140701,,0.80062719183063,0.0024442676721384703,0.257384807393748,0.9505730539083103,0.1809262276880298,1.0,0.0,5701106917.0,511.0,11156765.003913894,10370486.0,45192229.0,1576202.0,5567446.860792765,43616027.0,0.0,0.0,0.0,4992927459
ERR9360639,6.019138698706971,0.0030196854650469075,0.9651670914696963,0.010695539709972416,0.0,511.0,511.0,31.119279969481898,0.141153488994008,511.0,0.0,6.018909697698932,331.16031837589617,40.25759011374916,331.16031837589617,331.16031837589617,311.6423400073662,5.802602603666133,0.9969803145349531,0.8043612846448602,0.05495380330733772,0.6480632453540043,0.0030196854650469075,0.3568311138240725,0.9453094579488386,0.2614871317171334,1.0,0.0,13105650.0,511.0,25647.06457925636,19711.0,140172.0,4364.0,18899.977282256245,135808.0,0.0,0.0,0.0,6092336
