MAG	Taxonomy	Cluster members	L50	N50 (kb)	Completeness	Contamination
ERR9966624_bin_2765	unclassified	1	592	6.2	100.0%	26.55%
ERR9966625_bin_1350	CAHJXG01 (genus)	1	551	3.2	96.1%	3.94%
ERR9966623_bin_17123	unclassified	1	16535	2.0	67.6%	15.74%
ERR9966627_bin_720	unclassified	1	590	3.0	67.2%	10.72%
ERR9966626_bin_259	unclassified	1	269	6.3	64.5%	15.57%
ERR9966626_bin_5617	unclassified	1	396	3.0	62.2%	11.88%
ERR9966626_bin_792	unclassified	1	499	3.0	61.9%	15.76%
ERR9966616_bin_138	unclassified	2	402	1.8	61.5%	11.21%
ERR9966619_bin_328	unclassified	2	654	1.6	61.1%	12.73%
ERR9966624_bin_349	unclassified	1	535	1.9	59.9%	10.24%
ERR9966629_bin_2487	unclassified	4	167	4.4	59.7%	8.55%
ERR9966624_bin_1915	unclassified	1	922	1.2	59.5%	8.7%
ERR9966629_bin_25257	unclassified	1	1495	1.2	59.1%	18.76%
ERR9966623_bin_8232	unclassified	1	196	3.1	58.2%	11.43%
ERR9966627_bin_517	unclassified	1	483	1.6	57.8%	12.77%
ERR9966627_bin_265	unclassified	1	473	2.4	57.8%	14.71%
ERR9966620_bin_1091	unclassified	1	755	1.4	57.1%	8.82%
ERR9966627_bin_841	unclassified	1	114	3.5	56.7%	7.14%
ERR9966629_bin_15813	unclassified	1	132	4.2	56.1%	6.45%
ERR9966620_bin_1469	CAHJXG01 (genus)	6	5870	1.9	55.9%	3.73%
ERR9966628_bin_3376	unclassified	1	244	3.1	55.2%	9.69%
ERR9966628_bin_9656	unclassified	1	457	3.8	53.4%	15.32%
ERR9966616_bin_168	unclassified	1	848	1.4	52.1%	12.44%
ERR9966629_bin_199	unclassified	1	483	4.5	48.8%	23.2%
ERR9966627_bin_208	unclassified	1	762	3.0	48.6%	16.82%
ERR9966617_bin_59	unclassified	1	545	1.5	44.2%	11.68%
ERR9966627_bin_1226	unclassified	1	1543	1.2	44.2%	11.35%
ERR9966627_bin_171	unclassified	1	359	2.5	44.0%	11.03%
ERR9966627_bin_712	unclassified	1	437	3.1	44.0%	11.77%
ERR9966619_bin_352	unclassified	1	2904	1.2	42.5%	9.57%
ERR9966626_bin_165	unclassified	1	663	1.3	42.4%	6.97%
ERR9966624_bin_3347	unclassified	1	633	1.3	41.2%	8.76%
ERR9966623_bin_8245	unclassified	4	4251	1.6	40.9%	5.2%
ERR9966627_bin_336	unclassified	1	2203	1.2	39.4%	16.59%
ERR9966625_bin_335	unclassified	2	335	7.2	38.7%	8.98%
ERR9966627_bin_2078	unclassified	1	708	2.2	38.7%	17.5%
ERR9966621_bin_1406	unclassified	1	251	4.6	37.2%	10.88%
ERR9966624_bin_516	unclassified	1	455	1.9	36.8%	7.09%
ERR9966626_bin_4681	unclassified	1	942	1.2	35.3%	7.15%
ERR9966621_bin_599	unclassified	1	359	2.4	34.9%	11.07%
ERR9966624_bin_2717	unclassified	1	334	4.2	34.8%	8.04%
ERR9966627_bin_616	unclassified	1	1381	1.2	34.8%	13.47%
ERR9966626_bin_2992	unclassified	1	6914	1.3	33.7%	14.14%
ERR9966619_bin_134	unclassified	1	1301	1.2	32.4%	10.7%
ERR9966626_bin_57	Roseomonas mucosa	1	327	1.7	31.8%	0.35%
ERR9966624_bin_2591	unclassified	1	138	1.7	29.4%	0.13%
ERR9966629_bin_5695	unclassified	1	301	1.8	29.1%	5.9%
ERR9966624_bin_3643	unclassified	1	484	1.3	27.8%	6.58%
ERR9966626_bin_1669	unclassified	1	332	1.9	26.1%	5.5%
ERR9966629_bin_4769	unclassified	1	1731	2.3	25.9%	22.34%
ERR9966616_bin_47	unclassified	1	787	1.2	22.9%	6.38%
ERR9966629_bin_1408	unclassified	1	51	11.0	21.0%	5.88%
ERR9966629_bin_1422	unclassified	1	50	10.3	21.0%	4.33%
ERR9966620_bin_1002	unclassified	1	298	1.3	19.6%	5.15%
ERR9966616_bin_302	unclassified	1	193	2.0	19.4%	4.68%
ERR9966616_bin_17	unclassified	1	207	1.9	19.4%	7.91%
ERR9966626_bin_2059	unclassified	1	210	1.9	18.8%	5.13%
ERR9966629_bin_1506	unclassified	1	20	16.0	18.3%	0.11%
ERR9966625_bin_299	unclassified	1	116	2.7	18.3%	0.1%
ERR9966619_bin_103	Mycobacterium sp002013775	1	274	1.3	18.2%	0.07%
ERR9966629_bin_1569	unclassified	1	55	12.7	17.4%	7.84%
ERR9966629_bin_2368	unclassified	1	38	3.3	16.0%	0.1%
ERR9966625_bin_115	unclassified	1	111	2.8	15.3%	0.98%
ERR9966629_bin_1485	unclassified	1	38	8.4	14.6%	0.14%
