MAG	Taxonomy	Cluster members	L50	N50 (kb)	Completeness	Contamination
SRR22878281.fastq_bin_1875330	Pseudomonadota (phylum)	1	15	68.9	100.0%	0.89%
SRR22878281.fastq_bin_2019818	Sulfitobacter (genus)	1	59	16.8	100.0%	1.92%
SRR22878281.fastq_bin_861208	Marinagarivorans sp947494095	2	104	11.7	100.0%	0.14%
SRR22878281.fastq_bin_1318659	CAJQQK01 (genus)	1	30	50.2	100.0%	0.08%
SRR22878283.fastq_bin_617325	Thalassotalea_F (genus)	1	72	17.8	100.0%	2.95%
SRR22878283.fastq_bin_452711	CAKZSB01 (genus)	1	21	101.1	100.0%	1.56%
SRR22878283.fastq_bin_670273	GCA-1730015 (genus)	1	18	119.5	100.0%	2.53%
SRR22878282.fastq_bin_692197	Agarilytica (genus)	1	72	19.5	100.0%	1.86%
SRR22878283.fastq_bin_309632	Granulosicoccus (genus)	1	35	42.2	100.0%	1.25%
SRR22878281.fastq_bin_786708	CALLCD01 (genus)	1	18	62.3	100.0%	0.01%
SRR22878281.fastq_bin_1475309	Psychrobacter sp002377945	1	13	64.6	100.0%	0.12%
SRR22878282.fastq_bin_754860	Pseudomonadota (phylum)	1	12	131.2	99.9%	0.09%
SRR22878282.fastq_bin_892601	Cyanobacteriota (phylum)	1	59	32.6	99.9%	0.05%
SRR22878283.fastq_bin_389652	Marinagarivorans algicola	1	28	47.3	99.9%	4.59%
SRR22878283.fastq_bin_468788	Sphingorhabdus_B (genus)	1	19	48.2	99.8%	0.0%
SRR22878283.fastq_bin_319289	JAALLB01 (genus)	1	7	212.7	99.8%	0.05%
SRR22878283.fastq_bin_469571	Pseudomonadota (phylum)	1	8	154.8	99.6%	0.04%
SRR22878281.fastq_bin_1048668	Arenicella (genus)	1	14	62.4	99.6%	0.07%
SRR22878282.fastq_bin_590945	Cellulophaga lytica	3	29	37.5	99.6%	0.36%
SRR22878281.fastq_bin_1327645	JANQPX01 (genus)	1	83	21.5	99.5%	1.48%
SRR22878282.fastq_bin_885747	SZUA-265 (genus)	1	19	88.7	99.3%	0.92%
SRR22878282.fastq_bin_11756	Waterburya (genus)	1	166	8.9	99.2%	1.27%
SRR22878283.fastq_bin_220	CANLBN01 (genus)	1	5	287.4	99.2%	0.18%
SRR22878281.fastq_bin_1479957	Granulosicoccus (genus)	1	46	20.6	99.1%	3.72%
SRR22878281.fastq_bin_1415033	Sphingorhabdus_B (genus)	1	14	54.6	99.0%	0.03%
SRR22878281.fastq_bin_1330403	Arenicella (genus)	1	13	68.7	99.0%	0.07%
SRR22878283.fastq_bin_442058	Litorimonas (genus)	1	17	67.9	99.0%	11.64%
SRR22878283.fastq_bin_286550	CAKZJW01 (genus)	1	5	196.0	98.8%	0.9%
SRR22878281.fastq_bin_770942	Bacteroidota (phylum)	1	27	31.8	98.6%	0.01%
SRR22878283.fastq_bin_484169	Psychrosphaera (genus)	1	8	142.6	98.6%	5.13%
SRR22878281.fastq_bin_843222	JAHQVX01 (genus)	1	12	70.4	98.4%	0.03%
SRR22878281.fastq_bin_2115589	Patescibacteria (phylum)	1	13	30.5	98.2%	0.29%
SRR22878283.fastq_bin_495986	CALFVT01 (genus)	1	12	86.4	97.8%	1.62%
