task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar,sample_id,process_name,source_file,peak_rss_gb,peak_vmem_gb,cpu_percent,realtime_seconds,assembly_accession,run_accession,# N's per 100 kbp,# contigs,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 5000 bp),# contigs (>= 50000 bp),Assembly,GC (%),L50,L90,Largest contig,N50,N90,Total length,Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 5000 bp),Total length (>= 50000 bp),auN
74,83/d25ebc,29645347,GGP:BINNING:METABAT2_METABAT2 (SRR29873476 SRR29873476.fasta with SRR29873476.txt.gz),COMPLETED,0,2025-07-29 08:35:48.289,39.6s,20s,443.9%,1.2 GB,1.3 GB,220.9 MB,191.8 MB,SRR29873476,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,1.2,1.3,443.9,20.0,ERZ27315264,SRR29873476,0.0,217221.0,217221.0,31977.0,427.0,149.0,1148.0,34.0,SRR29873476_cleaned,61.19,63616.0,181665.0,153608.0,767.0,530.0,182834863.0,182834863.0,64103293.0,10698888.0,6476010.0,15520685.0,2508496.0,3428.2
76,52/ed9dac,29645394,GGP:BINNING:MAXBIN2 (SRR29873476 SRR29873476.fasta),COMPLETED,0,2025-07-29 08:35:58.115,2m,1m 32s,152.0%,320.9 MB,766.6 MB,2.3 GB,408.7 MB,SRR29873476,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.31337890625,0.7486328125,152.0,92.0,ERZ27315264,SRR29873476,0.0,217221.0,217221.0,31977.0,427.0,149.0,1148.0,34.0,SRR29873476_cleaned,61.19,63616.0,181665.0,153608.0,767.0,530.0,182834863.0,182834863.0,64103293.0,10698888.0,6476010.0,15520685.0,2508496.0,3428.2
77,48/dab41c,29645906,GGP:BINNING:METABAT2_METABAT2 (SRR29873479 SRR29873479.fasta with SRR29873479.txt.gz),COMPLETED,0,2025-07-29 08:37:28.365,49.5s,33s,464.4%,2 GB,2.1 GB,252 MB,219.8 MB,SRR29873479,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,2.0,2.1,464.4,33.0,ERZ27315265,SRR29873479,0.0,239993.0,239993.0,37728.0,620.0,175.0,1794.0,36.0,SRR29873479_cleaned,59.98,65626.0,199215.0,139161.0,796.0,532.0,210070277.0,210070277.0,80395687.0,13830216.0,7110042.0,21752805.0,2484934.0,3396.7
75,59/73bba6,29645348,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873476),COMPLETED,0,2025-07-29 08:35:48.369,3m 30s,3m 9s,172.5%,257.7 MB,725.4 MB,264.7 MB,38 MB,SRR29873476,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.25166015625,0.7083984375,172.5,189.0,ERZ27315264,SRR29873476,0.0,217221.0,217221.0,31977.0,427.0,149.0,1148.0,34.0,SRR29873476_cleaned,61.19,63616.0,181665.0,153608.0,767.0,530.0,182834863.0,182834863.0,64103293.0,10698888.0,6476010.0,15520685.0,2508496.0,3428.2
80,71/7f4ec6,29646041,GGP:BINNING:MAXBIN2 (SRR29873479 SRR29873479.fasta),COMPLETED,0,2025-07-29 08:37:38.073,2m,1m 43s,157.4%,286.2 MB,731.5 MB,3 GB,484.5 MB,SRR29873479,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.2794921875,0.71435546875,157.4,103.0,ERZ27315265,SRR29873479,0.0,239993.0,239993.0,37728.0,620.0,175.0,1794.0,36.0,SRR29873479_cleaned,59.98,65626.0,199215.0,139161.0,796.0,532.0,210070277.0,210070277.0,80395687.0,13830216.0,7110042.0,21752805.0,2484934.0,3396.7
82,71/77a21f,29646649,GGP:BINNING:METABAT2_METABAT2 (SRR29873475 SRR29873475.fasta with SRR29873475.txt.gz),COMPLETED,0,2025-07-29 08:38:58.151,39.8s,25s,440.5%,1.5 GB,1.5 GB,252.9 MB,218.8 MB,SRR29873475,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,1.5,1.5,440.5,25.0,ERZ27315263,SRR29873475,0.0,253710.0,253710.0,37110.0,354.0,84.0,1179.0,17.0,SRR29873475_cleaned,61.0,78194.0,213220.0,100878.0,756.0,530.0,208228627.0,208228627.0,68955405.0,7465252.0,3525006.0,12984642.0,1200950.0,2257.1
79,bf/ca00c4,29645905,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873479),COMPLETED,0,2025-07-29 08:37:28.250,2m 40s,2m 12s,160.3%,283.3 MB,747 MB,292.3 MB,48.1 MB,SRR29873479,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.27666015625,0.7294921875,160.3,132.0,ERZ27315265,SRR29873479,0.0,239993.0,239993.0,37728.0,620.0,175.0,1794.0,36.0,SRR29873479_cleaned,59.98,65626.0,199215.0,139161.0,796.0,532.0,210070277.0,210070277.0,80395687.0,13830216.0,7110042.0,21752805.0,2484934.0,3396.7
86,62/a6c704,29647088,GGP:BINNING:METABAT2_METABAT2 (SRR29873487 SRR29873487.fasta with SRR29873487.txt.gz),COMPLETED,0,2025-07-29 08:39:38.548,49.4s,21s,425.9%,1.3 GB,1.4 GB,234.9 MB,204.9 MB,SRR29873487,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,1.3,1.4,425.9,21.0,ERZ27315268,SRR29873487,0.0,222643.0,222643.0,35085.0,493.0,215.0,1179.0,88.0,SRR29873487_cleaned,60.89,60773.0,184626.0,804221.0,805.0,533.0,196015674.0,196015674.0,75161569.0,18509715.0,14247200.0,23015658.0,9699833.0,12562.3
90,f1/6961be,29647266,GGP:BINNING:METABAT2_METABAT2 (SRR29873480 SRR29873480.fasta with SRR29873480.txt.gz),COMPLETED,0,2025-07-29 08:39:48.714,49.3s,40s,476.7%,2.7 GB,2.8 GB,266.2 MB,231.8 MB,SRR29873480,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,2.7,2.8,476.7,40.0,ERZ27315271,SRR29873480,0.0,256201.0,256201.0,44525.0,337.0,91.0,1484.0,16.0,SRR29873480_cleaned,61.41,73446.0,213285.0,127000.0,805.0,533.0,221241965.0,221241965.0,84904383.0,7103933.0,3621532.0,14636879.0,1097753.0,2278.7
84,87/94bb19,29646827,GGP:BINNING:MAXBIN2 (SRR29873475 SRR29873475.fasta),COMPLETED,0,2025-07-29 08:39:08.112,2m 10s,2m 1s,138.6%,252.3 MB,696.1 MB,2.4 GB,439.1 MB,SRR29873475,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.24638671875,0.67978515625,138.6,121.0,ERZ27315263,SRR29873475,0.0,253710.0,253710.0,37110.0,354.0,84.0,1179.0,17.0,SRR29873475_cleaned,61.0,78194.0,213220.0,100878.0,756.0,530.0,208228627.0,208228627.0,68955405.0,7465252.0,3525006.0,12984642.0,1200950.0,2257.1
