genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
group_1_bin_189.fasta,1_1,0.050000000000000044,average,ANImf,1
group_2_bin_194574.fasta,1_1,0.050000000000000044,average,ANImf,1
group_3_bin_62.fasta,1_1,0.050000000000000044,average,ANImf,1
group_4_bin_63579.fasta,1_1,0.050000000000000044,average,ANImf,1
group_7_bin_6637.fasta,1_1,0.050000000000000044,average,ANImf,1
group_8_bin_49.fasta,1_1,0.050000000000000044,average,ANImf,1
group_5_bin_1251.fasta,2_1,0.050000000000000044,average,ANImf,2
group_6_bin_730.fasta,2_1,0.050000000000000044,average,ANImf,2
group_8_bin_4814.fasta,2_1,0.050000000000000044,average,ANImf,2
group_1_bin_5036.fasta,3_1,0.050000000000000044,average,ANImf,3
group_4_bin_41700.fasta,3_1,0.050000000000000044,average,ANImf,3
group_2_bin_200650.fasta,4_0,0.050000000000000044,average,ANImf,4
group_2_bin_264176.fasta,5_0,0.050000000000000044,average,ANImf,5
group_2_bin_427243.fasta,6_0,0.050000000000000044,average,ANImf,6
group_2_bin_262042.fasta,7_0,0.050000000000000044,average,ANImf,7
group_2_bin_268054.fasta,8_0,0.050000000000000044,average,ANImf,8
group_2_bin_519274.fasta,9_0,0.050000000000000044,average,ANImf,9
group_2_bin_217611.fasta,10_0,0.050000000000000044,average,ANImf,10
group_2_bin_31139.fasta,11_0,0.050000000000000044,average,ANImf,11
group_2_bin_344446.fasta,12_0,0.050000000000000044,average,ANImf,12
group_2_bin_410381.fasta,13_0,0.050000000000000044,average,ANImf,13
group_2_bin_507945.fasta,14_0,0.050000000000000044,average,ANImf,14
group_2_bin_314733.fasta,15_0,0.050000000000000044,average,ANImf,15
group_2_bin_394029.fasta,16_0,0.050000000000000044,average,ANImf,16
