genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERR9966621_bin_22.fasta,1_1,0.050000000000000044,average,ANImf,1
ERR9966628_bin_95.fasta,1_1,0.050000000000000044,average,ANImf,1
ERR9966628_bin_94.fasta,2_0,0.050000000000000044,average,ANImf,2
ERR9966626_bin_57.fasta,3_0,0.050000000000000044,average,ANImf,3
ERR9966627_bin_61.fasta,4_0,0.050000000000000044,average,ANImf,4
ERR9966619_bin_63.fasta,5_0,0.050000000000000044,average,ANImf,5
ERR9966629_bin_80.fasta,6_0,0.050000000000000044,average,ANImf,6
ERR9966627_bin_639.fasta,7_0,0.050000000000000044,average,ANImf,7
ERR9966629_bin_49.fasta,8_0,0.050000000000000044,average,ANImf,8
ERR9966626_bin_113.fasta,9_0,0.050000000000000044,average,ANImf,9
ERR9966628_bin_16.fasta,10_0,0.050000000000000044,average,ANImf,10
ERR9966629_bin_75.fasta,11_0,0.050000000000000044,average,ANImf,11
ERR9966619_bin_79.fasta,12_0,0.050000000000000044,average,ANImf,12
ERR9966619_bin_58.fasta,13_0,0.050000000000000044,average,ANImf,13
ERR9966625_bin_133.fasta,14_0,0.050000000000000044,average,ANImf,14
ERR9966629_bin_2368.fasta,15_0,0.050000000000000044,average,ANImf,15
ERR9966619_bin_48.fasta,16_0,0.050000000000000044,average,ANImf,16
ERR9966626_bin_121.fasta,17_0,0.050000000000000044,average,ANImf,17
ERR9966620_bin_86.fasta,18_0,0.050000000000000044,average,ANImf,18
ERR9966627_bin_671.fasta,19_0,0.050000000000000044,average,ANImf,19
ERR9966620_bin_16.fasta,20_0,0.050000000000000044,average,ANImf,20
ERR9966626_bin_19.fasta,21_0,0.050000000000000044,average,ANImf,21
ERR9966627_bin_820.fasta,22_0,0.050000000000000044,average,ANImf,22
ERR9966626_bin_36.fasta,23_0,0.050000000000000044,average,ANImf,23
ERR9966626_bin_24.fasta,24_0,0.050000000000000044,average,ANImf,24
ERR9966629_bin_9198.fasta,25_0,0.050000000000000044,average,ANImf,25
ERR9966620_bin_31.fasta,26_0,0.050000000000000044,average,ANImf,26
ERR9966626_bin_22.fasta,27_0,0.050000000000000044,average,ANImf,27
ERR9966626_bin_70.fasta,28_0,0.050000000000000044,average,ANImf,28
ERR9966619_bin_15.fasta,29_0,0.050000000000000044,average,ANImf,29
ERR9966626_bin_126.fasta,30_0,0.050000000000000044,average,ANImf,30
ERR9966620_bin_19.fasta,31_0,0.050000000000000044,average,ANImf,31
ERR9966626_bin_37.fasta,32_0,0.050000000000000044,average,ANImf,32
ERR9966627_bin_825.fasta,33_0,0.050000000000000044,average,ANImf,33
ERR9966626_bin_129.fasta,34_0,0.050000000000000044,average,ANImf,34
ERR9966626_bin_97.fasta,35_0,0.050000000000000044,average,ANImf,35
ERR9966627_bin_821.fasta,36_0,0.050000000000000044,average,ANImf,36
ERR9966626_bin_25.fasta,37_0,0.050000000000000044,average,ANImf,37
ERR9966627_bin_1000.fasta,38_0,0.050000000000000044,average,ANImf,38
ERR9966626_bin_40.fasta,39_0,0.050000000000000044,average,ANImf,39
ERR9966627_bin_594.fasta,40_0,0.050000000000000044,average,ANImf,40
ERR9966626_bin_124.fasta,41_0,0.050000000000000044,average,ANImf,41
ERR9966620_bin_7.fasta,42_0,0.050000000000000044,average,ANImf,42
