Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
1_binette_bin2.fasta	k__Bacteria (UID203)	5449	102	58	101	1	0	0	0	0	0.57	0.00	0.00
1_binette_bin23.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1_binette_bin47.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1_binette_bin48.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1_binette_bin5.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1_binette_bin53.fasta	k__Archaea (UID2)	207	149	107	140	9	0	0	0	0	5.92	0.00	0.00
1_binette_bin56.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
1_binette_bin7.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin1.fasta	k__Bacteria (UID2495)	2993	143	89	18	125	0	0	0	0	89.07	0.00	0.00
2_binette_bin100.fasta	k__Bacteria (UID203)	5449	100	55	99	1	0	0	0	0	0.17	0.00	0.00
2_binette_bin101.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin102.fasta	k__Archaea (UID2)	207	149	107	146	3	0	0	0	0	1.40	0.00	0.00
2_binette_bin103.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin104.fasta	k__Bacteria (UID203)	5449	100	55	99	1	0	0	0	0	0.91	0.00	0.00
2_binette_bin105.fasta	k__Bacteria (UID203)	5449	100	55	99	1	0	0	0	0	1.82	0.00	0.00
2_binette_bin106.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin107.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin108.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin109.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin11.fasta	k__Bacteria (UID2495)	2993	142	88	63	76	3	0	0	0	76.34	1.70	100.00
2_binette_bin110.fasta	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	5.17	0.00	0.00
2_binette_bin12.fasta	o__Bacteroidales (UID2654)	163	486	266	148	334	4	0	0	0	75.29	1.07	50.00
2_binette_bin13.fasta	k__Bacteria (UID2495)	2993	143	89	32	97	13	1	0	0	80.34	11.04	6.25
2_binette_bin14.fasta	k__Bacteria (UID2495)	2993	142	88	50	89	3	0	0	0	79.13	2.84	100.00
2_binette_bin15.fasta	k__Bacteria (UID2570)	433	273	183	82	182	8	1	0	0	63.54	4.10	81.82
2_binette_bin156.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2_binette_bin157.fasta	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
