genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
SRR24759602_binette_bin79.fasta,1_1,0.050000000000000044,average,ANImf,1
SRR24759613_binette_bin62.fasta,1_1,0.050000000000000044,average,ANImf,1
SRR24759616_binette_bin82.fasta,1_1,0.050000000000000044,average,ANImf,1
SRR24759607_binette_bin29.fasta,2_0,0.050000000000000044,average,ANImf,2
SRR24759609_binette_bin88.fasta,3_0,0.050000000000000044,average,ANImf,3
SRR24759602_binette_bin74.fasta,4_1,0.050000000000000044,average,ANImf,4
SRR24759607_binette_bin43.fasta,4_1,0.050000000000000044,average,ANImf,4
SRR24759607_binette_bin42.fasta,5_1,0.050000000000000044,average,ANImf,5
SRR24759615_binette_bin59.fasta,5_2,0.050000000000000044,average,ANImf,5
SRR24759600_binette_bin58.fasta,6_0,0.050000000000000044,average,ANImf,6
SRR24759599_binette_bin72.fasta,7_0,0.050000000000000044,average,ANImf,7
SRR24759610_binette_bin72.fasta,8_0,0.050000000000000044,average,ANImf,8
SRR24759597_binette_bin44.fasta,9_1,0.050000000000000044,average,ANImf,9
SRR24759600_binette_bin48.fasta,9_1,0.050000000000000044,average,ANImf,9
SRR24759606_binette_bin41.fasta,9_1,0.050000000000000044,average,ANImf,9
SRR24759598_binette_bin64.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759599_binette_bin91.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759602_binette_bin37.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759609_binette_bin40.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759610_binette_bin77.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759612_binette_bin59.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759614_binette_bin94.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759616_binette_bin32.fasta,10_1,0.050000000000000044,average,ANImf,10
SRR24759608_binette_bin68.fasta,11_0,0.050000000000000044,average,ANImf,11
SRR24759598_binette_bin50.fasta,12_1,0.050000000000000044,average,ANImf,12
SRR24759615_binette_bin65.fasta,12_1,0.050000000000000044,average,ANImf,12
SRR24759614_binette_bin98.fasta,13_0,0.050000000000000044,average,ANImf,13
SRR24759603_binette_bin41.fasta,14_1,0.050000000000000044,average,ANImf,14
SRR24759604_binette_bin49.fasta,14_1,0.050000000000000044,average,ANImf,14
SRR24759610_binette_bin50.fasta,14_1,0.050000000000000044,average,ANImf,14
SRR24759613_binette_bin23.fasta,15_0,0.050000000000000044,average,ANImf,15
SRR24759609_binette_bin55.fasta,16_0,0.050000000000000044,average,ANImf,16
SRR24759616_binette_bin75.fasta,17_0,0.050000000000000044,average,ANImf,17
SRR24759604_binette_bin87.fasta,18_0,0.050000000000000044,average,ANImf,18
SRR24759610_binette_bin58.fasta,19_0,0.050000000000000044,average,ANImf,19
SRR24759604_binette_bin35.fasta,20_1,0.050000000000000044,average,ANImf,20
SRR24759610_binette_bin61.fasta,20_1,0.050000000000000044,average,ANImf,20
SRR24759599_binette_bin36.fasta,21_1,0.050000000000000044,average,ANImf,21
SRR24759608_binette_bin51.fasta,21_1,0.050000000000000044,average,ANImf,21
SRR24759600_binette_bin64.fasta,22_0,0.050000000000000044,average,ANImf,22
SRR24759614_binette_bin42.fasta,23_0,0.050000000000000044,average,ANImf,23
SRR24759602_binette_bin28.fasta,24_0,0.050000000000000044,average,ANImf,24
SRR24759612_binette_bin36.fasta,25_0,0.050000000000000044,average,ANImf,25
SRR24759611_binette_bin70.fasta,26_0,0.050000000000000044,average,ANImf,26
SRR24759606_binette_bin25.fasta,27_0,0.050000000000000044,average,ANImf,27
SRR24759614_binette_bin40.fasta,28_0,0.050000000000000044,average,ANImf,28
SRR24759607_binette_bin17.fasta,29_1,0.050000000000000044,average,ANImf,29
SRR24759608_binette_bin38.fasta,29_1,0.050000000000000044,average,ANImf,29
SRR24759598_binette_bin31.fasta,30_1,0.050000000000000044,average,ANImf,30
SRR24759601_binette_bin12.fasta,30_1,0.050000000000000044,average,ANImf,30
SRR24759604_binette_bin32.fasta,30_1,0.050000000000000044,average,ANImf,30
SRR24759610_binette_bin28.fasta,30_1,0.050000000000000044,average,ANImf,30
SRR24759615_binette_bin31.fasta,30_1,0.050000000000000044,average,ANImf,30
SRR24759596_binette_bin11.fasta,30_2,0.050000000000000044,average,ANImf,30
